name,platform,r-date,score,user score,developer,genre,players,critics,users
Tengami,WiiU,"November 13, 2014",70,9.7,Nyamyam,"Adventure,General",No info,15,1018
Thief,PC,"February 25, 2014",70,5.9,NixxesSoftware,"Fantasy,Action Adventure,General,Fantasy",No Online Multiplayer,37,1602
MySims,PC,"October 28, 2008",70,7.1,EARedwoodShores,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",1 Player,12,14
Star Wars: The Force Unleashed,PSP,"September 16, 2008",70,7.9,KromeStudios,"Action,Action Adventure,General,General,Shooter,Linear,Third-Person,Arcade",1-2 ,10,65
Killzone,PlayStation2,"November 2, 2004",70,7.3,Guerrilla,"Action,Shooter,First-Person,Sci-Fi",16  Online,67,315
Arca's Path VR,PlayStation4,"December 4, 2018",70,tbd,Rebellion,"Action,General",No Online Multiplayer,13,0
The Swindle,PC,"July 28, 2015",70,5.3,SizeFiveGames,"Action,Platformer,3D",No Online Multiplayer,25,17
Sniper Elite V2,PlayStation3,"May 2, 2012",70,6.8,Rebellion,"Action,General,Shooter,Shooter,Third-Person,Tactical,Historic,Historic",2 ,21,108
Dynasty Warriors 8 Empires,PlayStationVita,"November 24, 2015",70,7.4,OmegaForce,"Action,Beat-'Em-Up,3D",2 ,15,10
Taiko no Tatsujin: Drum Session!,PlayStation4,"November 2, 2018",70,7.3,BandaiNamcoGames,"Action,Rhythm,Music",No Online Multiplayer,13,16
Magrunner: Dark Pulse,PC,"June 20, 2013",70,7.2,Frogwares,"Miscellaneous,Puzzle,Action,Puzzle,Action",No Online Multiplayer,31,69
James Bond 007: Blood Stone,DS,"September 14, 2010",70,7.0,n-Space,"Action,Driving,Shooter,Mission-based,Shooter,Third-Person,Modern,Modern,Arcade",No info,10,4
Stranger of Sword City,XboxOne,"March 22, 2016",70,7.3,ExperienceInc.,"Role-Playing,General",No info,12,21
Karaoke Revolution Presents: American Idol Encore,Xbox360,"February 5, 2008",70,7.0,BlitzGames,"Action,Miscellaneous,Rhythm,Music,Music",1-8 ,7,6
Luminous Arc,DS,"August 14, 2007",70,7.0,"ImageEpoch,Imageepoch","Strategy,Turn-Based,Fantasy,Fantasy,Tactics",1-2 ,25,28
Gekido Advance: Kintaro's Revenge,GameBoyAdvance,"November 25, 2003",70,7.0,NapsTeam,"Action,Beat-'Em-Up",1 Player,7,4
Voodoo Vince Remastered,XboxOne,"April 18, 2017",70,5.9,No info,No info,No info,0,0
Super Meat Boy Forever,PC,"December 23, 2020",70,4.2,TeamMeat,"Action,Platformer,2D",No Online Multiplayer,21,72
Cognition: An Erica Reed Thriller Episode 4 - The Cain Killer,PC,"September 19, 2013",70,7.1,PhoenixOnlineStudios,"Adventure,General,General,Point-and-Click",No info,11,23
Lumino City,PC,"December 2, 2014",70,7.8,StateofPlayGames,"Adventure,General",No Online Multiplayer,16,32
Kingdoms of Amalur: Re-Reckoning,PC,"September 8, 2020",70,6.7,Kaiko,"Role-Playing,Action RPG",No Online Multiplayer,33,35
Road Redemption,PC,"October 4, 2017",70,7.1,DarkSeasGames,"Driving,Car Combat,Car Combat,Simulation,Vehicle,Combat",Online Multiplayer,18,43
Harry Potter and the Goblet of Fire,PSP,"November 15, 2005",70,6.9,ElectronicArts,"Action Adventure,Fantasy,General,Fantasy",1-3 ,13,17
Cubixx HD,PlayStation3,"September 20, 2011",70,6.5,LaughingJackal,"Miscellaneous,Puzzle,General,Puzzle,General",No info,15,11
WRC 7,PlayStation4,"September 15, 2017",70,7.2,Kylotonn,"Racing,Simulation,Automobile",Up to 8 ,27,34
Dandara,PC,"February 6, 2018",70,7.5,LongHatHouse,"Action,General,Platformer,2D",No Online Multiplayer,8,28
Senran Kagura Shinovi Versus,PC,"June 1, 2016",70,7.2,"Tamsoft,MarvelousAQL","Action,General",No info,11,46
Abyss Odyssey,PlayStation3,"July 15, 2014",70,6.2,ACETeam,"Action Adventure,Fantasy,Linear",2 ,7,13
Evochron Mercenary,PC,"September 17, 2010",70,7.6,StarWraith,"Simulation,Sci-Fi,Space,Small Spaceship,Combat",No info,7,64
Mario Golf: Super Rush,Switch,"June 25, 2021",70,5.7,"Nintendo,CamelotSoftwarePlanning","Sports,Individual,Golf,Arcade",Up to 4 ,108,220
Sonic Classic Collection,DS,"March 2, 2010",70,7.6,CreativeAssembly,"Action,Miscellaneous,Platformer,Compilation,Compilation,2D",No info,24,34
Sacred 2: Fallen Angel,PlayStation3,"May 11, 2009",70,7.0,"AscaronEntertainmentGmbH,AscaronEntertainment","Role-Playing,Action RPG,Action RPG",Up to 4 ,45,58
Buzz! Junior: Jungle Party,PlayStation2,"October 2, 2007",70,8.0,MagentaSoftware,"Miscellaneous,Trivia / Game Show",1-4 ,13,9
Blue Fire,PC,"February 4, 2021",70,7.3,RobiStudios,"Action,Platformer,3D",No Online Multiplayer,15,13
Mosaic,PC,"December 5, 2019",70,6.3,KrillbiteStudio,"Adventure,General",No Online Multiplayer,24,22
Strider,PlayStation3,"February 18, 2014",70,7.3,DoubleHelixGames,"Action Adventure,Fantasy,General,Fantasy",No info,8,39
Pitfall: The Lost Expedition,PlayStation2,"February 18, 2004",70,8.6,EdgeofReality,"Action,Platformer,3D",1 Player,34,26
Sega Arcade Gallery,GameBoyAdvance,"May 21, 2003",70,tbd,BitsStudios,"Miscellaneous,Compilation",1 Player,12,0
Law & Order: Dead on the Money,PC,"September 24, 2002",70,7.5,LegacyInteractive,"Adventure,3D,First-Person,Modern,Modern",1 Player,14,14
AirBlade,PlayStation2,"January 28, 2002",70,6.1,CriterionGames,"Sports,Alternative,Futuristic",1-8 ,18,15
Batman: Vengeance,Xbox,"December 18, 2001",70,5.9,UbisoftMontreal,"Action Adventure,Sci-Fi",1 Player,14,7
Steel Soldiers,PC,"June 14, 2001",70,8.3,TheBitmapBrothers,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",1-8 ,9,9
Full Spectrum Warrior: Ten Hammers,PC,"March 28, 2006",70,7.8,PandemicStudios,"Strategy,Real-Time,Military,General,Military",1 Player,23,24
Beat Hazard,PC,"April 15, 2010",70,7.2,ShadowRage,"Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Top-Down",No info,11,184
Mother Russia Bleeds,PC,"September 5, 2016",70,6.9,LeCartelStudio,"Action,Beat-'Em-Up,2D",No info,42,114
Beat Cop,Switch,"March 5, 2019",70,6.4,11bitstudios,"Simulation,Virtual,Career",No Online Multiplayer,9,10
EA Sports UFC,XboxOne,"June 17, 2014",70,6.2,EASports,"General,Sports,General,Individual,Combat,Boxing / Martial Arts",2 ,23,163
Democracy 3,PC,"October 14, 2013",70,7.2,PositechGames,"Strategy,General,General",No Online Multiplayer,14,162
SingStar ABBA,PlayStation3,"December 2, 2008",70,5.5,SCEELondonStudio,"Action,Miscellaneous,Rhythm,Music,Music",1-8 ,26,4
Darkestville Castle,Switch,"August 13, 2020",70,tbd,Epicllamawarchief,"Adventure,Point-and-Click",No Online Multiplayer,16,0
Anomaly Defenders,PC,"May 29, 2014",70,6.5,11bitstudios,"Strategy,Real-Time,General,Sci-Fi,Defense",No info,14,31
Fatal Fury: Battle Archives Volume 2,PlayStation2,"April 8, 2008",70,tbd,SNKPlaymore,"Miscellaneous,Compilation",1-2 ,12,0
Shrek the Third,DS,"May 15, 2007",70,3.9,VicariousVisions,"Action,General,General",14  Online,16,11
Tom Clancy's Rainbow Six 3,PlayStation2,"March 24, 2004",70,8.2,UbisoftShanghai,"Action,Shooter,First-Person,Tactical,Modern",1-6 ,34,18
Silent Hill HD Collection,PlayStation3,"March 20, 2012",70,4.8,HijinxStudios,"Miscellaneous,Action Adventure,Horror,Compilation,Compilation",No Online Multiplayer,33,181
Remember Me,Xbox360,"June 4, 2013",70,7.6,DONTNODEntertainment,"Action Adventure,Sci-Fi,Sci-Fi,General",No info,42,290
Banner of the Maid,Switch,"August 12, 2020",70,8.0,"CE-Asia,AzureFlameStudio","Strategy,Turn-Based,Tactics",No Online Multiplayer,8,11
Graveyard Keeper,XboxOne,"August 15, 2018",70,4.8,LazyBearGames,"Simulation,Action Adventure,Virtual,Open-World,Career",No Online Multiplayer,8,19
Beyond: Two Souls,PlayStation3,"October 8, 2013",70,8.1,QuanticDream,"Adventure,3D,Modern,Third-Person,Modern",No Online Multiplayer,98,2838
WWE Legends of WrestleMania,PlayStation3,"March 24, 2009",70,6.7,Yuke's,"Action,Sports,Fighting,Fighting,Individual,Wrestling,Combat,Wrestling",No info,43,23
Crash of the Titans,PlayStation2,"October 4, 2007",70,6.7,RadicalEntertainment,"Action,General",1-2 ,12,124
Mercenary Kings,PlayStation4,"April 1, 2014",70,5.8,TributeGames,"Action,General,General,Shooter,Scrolling,Shoot-'Em-Up,Vertical,Horizontal",Up to 4 ,25,229
Worms Battlegrounds,XboxOne,"May 30, 2014",70,6.2,Team17,"Strategy,Turn-Based,Wargame,Artillery",No info,12,40
Ticket to Ride,Xbox360,"June 25, 2008",70,7.8,NextLevelGames,"Miscellaneous,Board Games,Board Games,Board / Card Game",5  Online,20,18
Cars,Xbox,"June 6, 2006",70,8.0,RainbowStudios,"Driving,Mission-based",1-2 ,22,4
Watch Dogs: Legion,PlayStation4,"October 29, 2020",70,5.4,Ubisoft,"Action Adventure,Open-World",Up to 8 ,35,825
Project CARS 3,PlayStation4,"August 25, 2020",70,3.7,SlightlyMadStudios,"Racing,Simulation,Automobile",Up to 20 ,36,111
Destroy All Humans!,PlayStation4,"July 28, 2020",70,8.0,BlackForestGames,"Action Adventure,General",No Online Multiplayer,40,127
Wailing Heights,PC,"April 27, 2016",70,7.0,OutsiderGames,"Adventure,Point-and-Click",No Online Multiplayer,7,8
Pearl Harbor Trilogy - 1941: Red Sun Rising,Wii,"July 5, 2010",70,8.4,ArcadeMoon,"Action,Simulation,General,Flight,WWII,WWII,Combat",1 Player,16,9
SimAnimals,DS,"January 27, 2009",70,8.2,ElectronicArts,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",No info,10,6
Blazing Angels 2: Secret Missions of WWII,PlayStation3,"November 6, 2007",70,7.2,UbisoftRomania,"Simulation,Flight,WWII,WWII,Combat",Up to 16 ,10,12
NFL Street 3,PlayStation2,"November 14, 2006",70,8.5,EATiburon,"Sports,Traditional,Football,Arcade",4  Online,29,11
Legacy of Kain: Defiance,PC,"December 17, 2003",70,8.7,NixxesSoftware,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer,11,94
Dance Dance Revolution SuperNOVA 2,PlayStation2,"September 25, 2007",70,tbd,Konami,"Miscellaneous,Rhythm,Dancing",4  Online,10,0
Greak: Memories of Azur,Switch,"August 17, 2021",70,9.1,"Bromio,NaveganteEntertainment","Action Adventure,General",No info,12,7
The Council - Episode 2: Hide and Seek,PC,"May 15, 2018",70,7.3,BigBadWolf,"Adventure,General",No Online Multiplayer,11,20
Nitroplus Blasterz: Heroines Infinite Duel,PlayStation4,"February 2, 2016",70,6.9,"Examu,MarvelousInc.","Action,Fighting,2D",2 ,33,41
Call of Duty: Black Ops II - Apocalypse,Xbox360,"August 27, 2013",70,5.7,Treyarch,"Action,Shooter,Shooter,First-Person,Historic,Modern,Arcade",No info,10,38
Fossil Fighters,DS,"August 10, 2009",70,8.4,REDEntertainment,"Role-Playing,General,General",No info,17,25
Sine Mora EX,Switch,"August 8, 2017",70,7.3,GrasshopperManufacture,"Action,Shooter,Shoot-'Em-Up,Horizontal",No info,11,25
Citizens of Earth,PlayStation4,"January 20, 2015",70,7.0,EdenIndustries,"Role-Playing,General,Japanese-Style",No Online Multiplayer,20,37
Call of Duty: Black Ops - Rezurrection,Xbox360,"August 23, 2011",70,5.0,Treyarch,"Action,Shooter,Shooter,First-Person,Historic,Tactical,Historic,Arcade",No info,7,42
Alice: Madness Returns,Xbox360,"June 14, 2011",70,8.2,SpicyHorse,"Action Adventure,Adventure,General,Horror,Horror,Survival",No Online Multiplayer,67,206
Batman: The Telltale Series - Episode 1: Realm of Shadows,PlayStation4,"August 2, 2016",70,6.4,TelltaleGames,"Adventure,Point-and-Click",No info,22,90
Naruto Shippuden: Ultimate Ninja Storm 3,Xbox360,"March 5, 2013",70,7.6,CyberConnect2,"Action,Fighting,Fighting,3D,3D",Up to 8 ,16,77
Glyph,Switch,"February 1, 2021",70,7.8,BolverkGames,"Action,General,Platformer,3D",No Online Multiplayer,15,8
1979 Revolution: Black Friday,PlayStation4,"July 31, 2018",70,5.9,iNKStories,"Adventure,General",No Online Multiplayer,10,13
Warriors All-Stars,PlayStation4,"August 29, 2017",70,6.4,OmegaForce,"Action,Beat-'Em-Up,3D",No Online Multiplayer,38,27
The Final Station,XboxOne,"September 2, 2016",70,7.0,"tinyBuild,DoMyBestGames","Action Adventure,General,Linear",No info,11,16
Hydrophobia: Prophecy,PlayStation3,"November 1, 2011",70,6.0,DarkEnergyDigital,"Action Adventure,Horror,Horror,Survival",No info,17,42
