name,platform,r-date,score,user score,developer,genre,players,critics,users
RiME,PC,"May 26, 2017",78,7.3,"TequilaWorks,QLOC","Action,Adventure,General,3D,Third-Person",No Online Multiplayer,19,206
Alien Hominid,PlayStation2,"November 21, 2004",78,8.3,TheBehemoth,"Action,Shooter,Scrolling",No info,47,19
Call of the Sea,PC,"December 8, 2020",78,7.8,"OutoftheBlue,Inc.,OutoftheBlueGamesS.L.","Adventure,3D,First-Person",No Online Multiplayer,24,128
Grand Slam Tennis,Wii,"June 8, 2009",78,7.4,EACanada,"Sports,Traditional,Individual,Tennis,Tennis",No Online Multiplayer,59,63
Switchball,Xbox360,"November 7, 2007",78,7.2,AtomicElbow,"Miscellaneous,Puzzle,Action,Puzzle,General,General",8  Online,25,11
Wario Land: Shake It!,Wii,"September 22, 2008",78,8.5,Good-Feel,"Action,Platformer,Platformer,2D,2D",1 Player,46,68
Star Wars Republic Commando,Xbox,"February 28, 2005",78,8.6,LucasArts,"Action,Shooter,First-Person,Sci-Fi",16  Online,54,109
The Awesome Adventures of Captain Spirit,XboxOne,"June 26, 2018",78,7.8,DONTNODEntertainment,"Action Adventure,General",No Online Multiplayer,21,42
Hue,XboxOne,"August 30, 2016",78,7.4,FiddlesticksGames,"Puzzle,Action",No info,14,24
Ibb & Obb,PlayStation3,"August 6, 2013",78,8.0,Sparpweed,"Miscellaneous,Puzzle,Action,General,General",2 ,16,40
Deadlight,PC,"October 25, 2012",78,7.4,TequilaWorks,"Action,General,Platformer,Platformer,2D,2D",No info,7,576
Fallout 3: The Pitt,PC,"March 24, 2009",78,6.9,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",1 Player,15,122
Samurai Shodown,XboxOne,"June 25, 2019",78,7.1,SNKCorporation,"Action,Fighting,2D",Up to 10 ,16,17
Far Cry 5,PC,"March 27, 2018",78,6.2,UbisoftMontreal,"Action,Shooter,First-Person,Arcade",Up to 12 ,31,1706
LEGO Indiana Jones: The Original Adventures,Wii,"June 3, 2008",78,6.9,Traveller'sTales,"Action Adventure,Adventure,General,General",No Online Multiplayer,22,38
Marvel's Guardians of the Galaxy,PC,"October 26, 2021",78,8.3,EidosMontreal,"Role-Playing,Action Adventure,Action RPG,Linear",No info,11,156
RIDE 4,XboxOne,"October 5, 2020",78,4.3,MilestoneS.r.l,"Racing,Simulation,Automobile",Up to 12 ,12,7
Going Under,PC,"September 24, 2020",78,7.6,AggroCrab,"Action Adventure,General",No Online Multiplayer,11,11
Pro Evolution Soccer 2014,PlayStation3,"September 24, 2013",78,4.0,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",2 ,39,317
Skylanders Giants,Wii,"October 21, 2012",78,7.1,ToysforBob,"Action,Platformer,Platformer,3D,3D",No info,8,40
Chibi-Robo! Park Patrol,DS,"September 24, 2007",78,7.7,SkipLtd.,"Action Adventure,Fantasy,General,Fantasy",1 Player,14,17
SNK 40th Anniversary Collection,Switch,"November 13, 2018",78,7.7,"DigitalEclipse,SNK","Miscellaneous,Compilation",No Online Multiplayer,26,23
Hot Wheels Unleashed,PC,"September 30, 2021",78,8.3,MilestoneS.r.l,"Racing,Arcade,Automobile",No info,16,27
Creature in the Well,XboxOne,"September 6, 2019",78,5.9,FlightSchoolStudio,"Action Adventure,General",No Online Multiplayer,15,16
Dead Space 3,Xbox360,"February 5, 2013",78,6.4,VisceralGames,"Action,Action Adventure,Shooter,Shooter,Linear,Third-Person,Sci-Fi,Sci-Fi",2 ,68,760
R.U.S.E.,Xbox360,"September 7, 2010",78,7.6,EugenSystems,"Strategy,Real-Time,Historic,General,Historic",1-8 ,45,37
Blue Reflection: Second Light,PlayStation4,"November 9, 2021",78,tbd,Gust,"Role-Playing,Japanese-Style",No info,10,0
Dragon Ball Z: Kakarot + A New Power Awakens Set,Switch,"September 24, 2021",78,8.1,CyberConnect2,"Role-Playing,Action RPG",No Online Multiplayer,23,15
Galak-Z: The Dimensional,PC,"October 29, 2015",78,6.0,17-Bit,"Action,Shooter,Shoot-'Em-Up,Vertical",No Online Multiplayer,7,10
Anomaly: Warzone Earth,PlayStation3,"September 11, 2012",78,7.1,11bitstudios,"Action,Strategy,General,Real-Time,Sci-Fi,General",No info,10,14
Boktai 2: Solar Boy Django,GameBoyAdvance,"October 19, 2004",78,8.2,KCEJ,"Role-Playing,Action RPG",1-4 ,20,15
ESPN Major League Baseball,Xbox,"April 6, 2004",78,7.4,BlueShift,"Sports,Traditional,Baseball,Sim",1-4 ,23,8
Road Rash: Jailbreak,GameBoyAdvance,"September 17, 2003",78,8.5,MagicPockets,"Driving,Racing,Motorcycle,Street",No info,15,24
Iridion II,GameBoyAdvance,"May 29, 2003",78,8.3,Shin'en,"Action,Shooter,Scrolling",1 Player,13,8
