name,platform,r-date,score,user score,developer,genre,players,critics,users
Trivial Pursuit Unhinged,Xbox,"March 24, 2004",58,8.0,ArtechStudios,"Miscellaneous,Trivia / Game Show",1-6 ,10,4
Egg Mania: Eggstreme Madness,Xbox,"September 11, 2002",58,tbd,HotGen,"Miscellaneous,Puzzle,General",1-2 ,7,0
Virtua Striker 2002,GameCube,"May 20, 2002",58,6.6,AmusementVision,"Sports,Traditional,Soccer,Sim",1-2 ,20,7
CART Fury Championship Racing,PlayStation2,"May 25, 2001",58,6.3,GratuitousGames,"Driving,Racing,Arcade",1-2 ,13,4
Q*Bert,Dreamcast,"November 30, 2000",58,7.2,ArtechDigitalEntertainment,"Action,General",No info,8,5
PGA European Tour,Nintendo64,"June 15, 2000",58,8.0,Infogrames,"Sports,Traditional,Golf,Sim",No info,12,4
Drakengard 2,PlayStation2,"February 14, 2006",58,6.9,CaviaInc.,"Role-Playing,Action RPG",1 Player,34,64
Blade Kitten,Xbox360,"September 22, 2010",58,6.4,KromeStudios,"Adventure,General,General",No info,27,15
Ninja Gaiden 3,Xbox360,"March 20, 2012",58,4.4,TeamNinja,"Action,Action Adventure,Platformer,General,Platformer,3D,3D",Up to 8 ,39,141
Pet Alien: An Intergalactic Puzzlepalooza,DS,"August 28, 2007",58,tbd,Shin'en,"Action,Platformer,Platformer,3D,3D",1 Player,16,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,DS,"November 1, 2005",58,7.4,Konami,"Action,Beat-'Em-Up,Beat-'Em-Up,2D,3D",No Online Multiplayer,10,10
Alone in the Dark,Xbox360,"June 23, 2008",58,5.5,EdenStudios,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer,53,172
Paradise Lost,PC,"March 24, 2021",58,6.8,PolyAmorous,"Adventure,3D,First-Person",No Online Multiplayer,12,29
Pro Evolution Soccer 2008,DS,"March 11, 2008",58,6.3,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,8,9
Assassin's Creed II: Battle of Forli,Xbox360,"January 28, 2010",58,6.5,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",No info,17,31
MySims Kingdom,DS,"October 28, 2008",58,6.5,TOSE,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",No Online Multiplayer,9,4
Hunter's Legacy,PC,"July 19, 2016",58,tbd,Lienzo,"Action,Action Adventure,Platformer,Open-World,2D",No Online Multiplayer,12,0
Space Hulk,PC,"August 15, 2013",58,6.6,"FullControlApS,FullControl","Strategy,Turn-Based,General,General",No info,22,167
WRC Powerslide,Xbox360,"March 8, 2013",58,5.8,MilestoneS.r.l,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",No info,8,10
The Church in the Darkness,PlayStation4,"August 2, 2019",58,5.0,ParanoidProductions,"Action Adventure,Open-World",No Online Multiplayer,11,7
Urban Trial Freestyle,PC,"September 18, 2013",58,6.8,TateMultimedia,"Driving,Racing,Arcade,Arcade,Automobile",No Online Multiplayer,9,29
Cars Race-O-Rama,Wii,"October 12, 2009",58,6.0,IncineratorGames,"Driving,Racing,Arcade,Arcade,Automobile",No Online Multiplayer,7,9
Classic NES Series: Metroid,GameBoyAdvance,"October 25, 2004",58,8.2,Nintendo,"Action Adventure,Sci-Fi",1 Player,9,34
Victoria: An Empire Under the Sun,PC,"November 18, 2003",58,8.7,ParadoxDevelopmentStudio,"Strategy,Real-Time,Historic,General,Historic",1-32 ,12,61
X2: Wolverine's Revenge,PlayStation2,"April 14, 2003",58,7.2,GenePool,"Action Adventure,Sci-Fi",1 Player,24,15
Whirl Tour,PlayStation2,"November 25, 2002",58,7.2,PapayaStudios,"Sports,Alternative,Biking",1-2 ,9,6
Wreckless: The Yakuza Missions,GameCube,"November 13, 2002",58,7.0,StealthStudios,"Driving,Mission-based",1-2 ,17,5
Takeda,PC,"November 14, 2001",58,7.1,Magitech,"Strategy,Real-Time,Historic,General,Historic",1-2 ,9,9
ESPN X Games Skateboarding,PlayStation2,"August 13, 2001",58,7.7,KCEO,"Sports,Alternative,Skateboarding",1-2 ,15,12
Fullmetal Alchemist: Dual Sympathy,DS,"December 12, 2006",58,6.8,Natsume,"Action,Role-Playing,Action RPG,Beat-'Em-Up,Beat-'Em-Up,2D",1 Player,15,13
Big Rumble Boxing: Creed Champions,XboxOne,"September 3, 2021",58,tbd,Survios,"Sports,Individual,Combat,Boxing / Martial Arts",No info,7,0
Kao the Kangaroo Round 2,PlayStation2,"March 29, 2006",58,8.3,TateInteractive,"Action,Platformer,3D",1 Player,12,14
The Fast and the Furious,PSP,"April 24, 2007",58,6.5,Eutechnyx,"Driving,Racing,Mission-based,Arcade,Mission-based,Automobile",1-4 ,7,8
Tom Clancy's Ghost Recon: Breakpoint,PC,"October 4, 2019",58,2.7,UbisoftParis,"Action Adventure,Open-World",Up to 8 ,30,858
Dynasty Warriors 7,Xbox360,"March 29, 2011",58,8.1,OmegaForce,"Action,Beat-'Em-Up,Beat-'Em-Up,3D",2 ,22,48
Code Lyoko: Quest for Infinity,Wii,"November 16, 2007",58,7.8,TheGameFactory,"Action,Action Adventure,General,General",1 Player,15,12
