name,platform,r-date,score,user score,developer,genre,players,critics,users
Namco Museum Essentials,PlayStation3,"July 16, 2009",64,5.3,NamcoBandaiGames,"Miscellaneous,Compilation,Compilation",No info,9,7
Nancy Drew: The Deadly Secret of Olde World Park,DS,"September 18, 2007",64,tbd,GorillaSystems,"Adventure,General,General",No info,7,0
Disney/Pixar Ratatouille,DS,"June 26, 2007",64,7.3,Helixe,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,10,6
Fantastic 4,PlayStation2,"June 27, 2005",64,7.1,7Studios,"Action,Beat-'Em-Up",1-2 ,42,25
Alias,Xbox,"April 5, 2004",64,6.0,AcclaimStudiosCheltenham,"Action Adventure,Modern",1 Player,37,4
Freaky Flyers,Xbox,"August 5, 2003",64,tbd,Midway,"Driving,Racing,Kart",1-2 ,22,0
IGI 2: Covert Strike,PC,"March 3, 2003",64,8.2,Innerloop,"Action,Action Adventure,Modern,General,Shooter,First-Person,Tactical",Up to 16 ,22,88
Harry Potter and the Sorcerer's Stone,GameBoyAdvance,"November 15, 2001",64,7.4,GriptoniteGames,"Action Adventure,Fantasy",No info,8,13
Sports Jam,Dreamcast,"July 18, 2001",64,8.0,WowEntertainment,"Sports,Alternative,Other",No info,7,4
Flipnic: Ultimate Pinball,PlayStation2,"July 13, 2005",64,8.2,SCEI,"Miscellaneous,Parlor,Pinball",1-2 ,28,13
NFL Head Coach,PC,"June 19, 2006",64,6.0,EATiburon,"Sports,Traditional,Team,Football,Management,Management,Sim",2  Online,19,4
3 on 3 NHL Arcade,Xbox360,"February 11, 2009",64,7.1,EACanada,"Sports,Traditional,Team,Ice Hockey,Arcade,Arcade",6  Online,21,28
Star Trek: Legacy,Xbox360,"December 12, 2006",64,5.7,MadDocSoftware,"Simulation,Sci-Fi,Space,Large Spaceship,Large Spaceship,Combat,Civilian",Up to 4 ,41,45
Tiny Brains,PlayStation4,"December 3, 2013",64,6.7,SpearheadGames,"Action,Puzzle,Miscellaneous,Puzzle,Action",No info,26,74
TNT Racers,Xbox360,"February 9, 2011",64,tbd,KeenGames,"Driving,Racing,Arcade,Arcade,Automobile",No info,10,0
PUSS!,Switch,"February 19, 2021",64,7.3,teamCOIL,"Puzzle,Action",No Online Multiplayer,15,12
The Simpsons Game,Wii,"October 30, 2007",64,6.1,"ElectronicArts,Rebellion","Action,Platformer,Platformer,3D,3D",No Online Multiplayer,19,40
The Caligula Effect: Overdose,PlayStation4,"March 12, 2019",64,6.2,"Aquria,historiaInc","Role-Playing,General",No Online Multiplayer,11,27
P-O-L-L-E-N,PC,"April 19, 2016",64,4.3,MindfieldGames,"Adventure,General,3D,First-Person",No Online Multiplayer,10,17
Pac-Man Museum,Xbox360,"February 26, 2014",64,5.2,NamcoBandaiGames,"Action,Miscellaneous,General,Compilation,Compilation",No info,8,5
Command & Conquer: Red Alert 3 - Uprising,PC,"March 12, 2009",64,6.8,EALA,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General",No info,33,107
Alien Breed 3: Descent,PlayStation3,"February 22, 2011",64,5.1,Team17,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",2 ,7,8
Mario Sports Mix,Wii,"February 7, 2011",64,7.9,SquareEnix,"Sports,General,General",No Online Multiplayer,54,57
Maid of Sker,PlayStation4,"July 28, 2020",64,6.3,WalesInteractive,"Action Adventure,Survival",No Online Multiplayer,19,16
