name,platform,r-date,score,user score,developer,genre,players,critics,users
Shift 2: Unleashed,Xbox360,"March 29, 2011",82,6.5,SlightlyMadStudios,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",Up to 12 ,70,108
No More Heroes 2: Desperate Struggle,Switch,"October 28, 2020",82,8.3,"EngineSoftware,GrasshopperManufacture","Action,Beat-'Em-Up,3D",No Online Multiplayer,21,23
Yooka-Laylee and the Impossible Lair,PlayStation4,"October 8, 2019",82,7.1,PlaytonicGames,"Action,Platformer,2D",No Online Multiplayer,36,103
LEGO The Lord of the Rings,PlayStation3,"November 13, 2012",82,8.3,TTGames,"Miscellaneous,Action Adventure,Adventure,General,General,Compilation,Linear",No Online Multiplayer,16,108
Iron Brigade,Xbox360,"June 22, 2011",82,8.1,DoubleFineProductions,"Action,Strategy,General,Real-Time,General,Defense",No info,43,79
Tomb Raider: Legend,PC,"April 11, 2006",82,7.9,NixxesSoftware,"Action Adventure,Modern,Modern,Linear",No Online Multiplayer,31,337
Peter Jackson's King Kong: The Official Game of the Movie,PlayStation2,"November 21, 2005",82,8.4,UbisoftMontpellier,"Action Adventure,Modern",1 Player,41,106
Asheron's Call 2: Fallen Kings,PC,"November 20, 2002",82,7.2,TurbineInc.,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",Massively Multiplayer,22,10
Super Monkey Ball Jr.,GameBoyAdvance,"November 19, 2002",82,7.6,RealismLtd,"Miscellaneous,Puzzle,General",1-4 ,20,17
WWE SmackDown! Shut Your Mouth,PlayStation2,"October 31, 2002",82,8.6,Yuke's,"Action,Fighting,Wrestling",1-6 ,27,79
Tom Clancy's The Division 2,XboxOne,"March 12, 2019",82,5.9,MassiveEntertainment,"First-Person,Action,Shooter,Third-Person,Tactical",Up to 16 ,30,431
Hotline Miami Collection,Switch,"August 19, 2019",82,7.8,Dennaton,"Miscellaneous,Compilation",No Online Multiplayer,22,29
Yakuza Kiwami 2,PC,"May 9, 2019",82,8.5,RyugaGotokuStudios,"Action Adventure,Open-World",No Online Multiplayer,20,119
Unreal Tournament III,Xbox360,"July 7, 2008",82,7.5,EpicGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",Up to 16 ,47,100
Mario + Rabbids: Kingdom Battle - Donkey Kong Adventure,Switch,"June 26, 2018",82,8.2,UbisoftMilan,"Strategy,Turn-Based,Tactics",No info,31,79
N++,PlayStation4,"July 28, 2015",82,6.6,MetanetSoftwareInc.,"Platformer,2D,Action,Platformer,2D",No info,47,68
Gemini Rue,PC,"February 24, 2011",82,8.3,"WadjetEyeGames,JoshuaNuernberger","Adventure,General,Third-Person,General,Point-and-Click,Sci-Fi",No info,24,215
Tadpole Treble Encore,Switch,"January 21, 2021",82,7.8,BitFinity,"Adventure,General,Action,Rhythm,Music",No Online Multiplayer,15,6
Valkyria Chronicles 4,Switch,"September 25, 2018",82,8.6,Sega,"Strategy,Turn-Based,Tactics",No Online Multiplayer,25,143
Sonic CD,Xbox360,"December 14, 2011",82,7.7,Sega,"Action,Platformer,Platformer,2D,2D",No info,20,70
Borderlands 3,XboxOne,"September 13, 2019",82,5.5,GearboxSoftware,"Action,Shooter,First-Person,Arcade",Up to 4 ,25,460
Pro Evolution Soccer 2015,PlayStation4,"November 11, 2014",82,7.1,Konami,"Action,General,Sports,Traditional,Team,Soccer,Sim",Up to 22 ,56,408
Dyad,PlayStation3,"July 17, 2012",82,5.9,RightSquareBracketLeftSquareBracketGames,"Driving,Racing,Arcade,Futuristic,Futuristic",No info,33,54
Antichamber,PC,"January 31, 2013",82,8.3,Demruth,"Miscellaneous,Puzzle,General,Puzzle,General",No info,50,613
Lost Judgment,PlayStation5,"September 24, 2021",82,8.7,"SegaSoft,RyugaGotokuStudios","Action Adventure,Open-World",No Online Multiplayer,76,123
Sonic & All-Stars Racing Transformed,PlayStation3,"November 18, 2012",82,8.3,SumoDigital,"Driving,Racing,Arcade,Kart,Other,Kart,Automobile",Up to 10 ,24,130
NBA 2K9,PlayStation3,"October 7, 2008",82,7.1,VisualConcepts,"Sports,Traditional,Team,Basketball,Sim,Sim",Up to 10 ,30,38
Neverwinter Nights 2,PC,"October 31, 2006",82,6.6,ObsidianEntertainment,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style",Online Multiplayer,46,651
Mega Man Powered Up,PSP,"March 14, 2006",82,8.7,Capcom,"Action,Platformer,Platformer,2D,2D",24  Online,28,84
Desperados III,PlayStation4,"June 16, 2020",82,7.8,MimimiProductions,"Strategy,Real-Time,Tactics",No Online Multiplayer,24,179
Darkstalkers Resurrection,Xbox360,"March 13, 2013",82,6.6,IronGalaxyStudios,"Action,Miscellaneous,Fighting,Compilation,2D",Up to 8 ,20,18
Dark Souls III: The Ringed City,PlayStation4,"March 28, 2017",82,8.4,FromSoftware,"Role-Playing,Action RPG",No info,28,255
Dragon Age: Origins - Awakening,PC,"March 16, 2010",82,7.9,BioWare,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style",No Online Multiplayer,38,523
Shadowverse: Champion's Battle,Switch,"August 10, 2021",82,8.3,Cygames,"Strategy,Turn-Based,Card Battle",2 ,18,24
Peter Jackson's King Kong: The Official Game of the Movie,Xbox,"November 21, 2005",82,7.9,UbisoftMontpellier,"Action Adventure,Modern",1 Player,43,14
Danganronpa: Trigger Happy Havoc,PC,"February 18, 2016",82,8.6,SpikeChunsoft,"Adventure,Visual Novel",No Online Multiplayer,10,271
Hearthstone: Heroes of Warcraft - Blackrock Mountain,PC,"April 2, 2015",82,5.6,BlizzardEntertainment,"Strategy,Turn-Based,Card Battle",No info,9,71
Madden NFL 07,GameCube,"August 22, 2006",82,7.8,EATiburon,"Sports,Traditional,Football,Sim",2  Online,14,6
Rome: Total War Barbarian Invasion,PC,"September 27, 2005",82,8.3,CreativeAssembly,"Strategy,Real-Time,Historic,General",8  Online,22,121
The Pinball Arcade,Xbox360,"April 4, 2012",82,6.8,FarsightStudios,"Action,Miscellaneous,Parlor,Pinball,Pinball",No info,12,14
Gradius V,PlayStation2,"September 14, 2004",82,8.8,Treasure,"Action,Shooter,Scrolling",1-2 ,46,25
Marvel: Ultimate Alliance,Xbox360,"October 24, 2006",82,7.6,RavenSoftware,"Role-Playing,Action RPG,Action RPG",Up to 4 ,68,141
Top Spin 4,PlayStation3,"March 15, 2011",82,8.1,2KCzech,"Sports,Traditional,Individual,Tennis,Tennis",Up to 4 ,37,65
Sega Ages: Virtua Racing,Switch,"June 27, 2019",82,8.4,"SegaAM2,M2","Racing,Arcade,Automobile",No Online Multiplayer,7,17
NCAA Football 12,Xbox360,"July 12, 2011",82,6.6,EASports,"Sports,Traditional,Team,Football,Sim,Sim",Online Multiplayer,25,55
Guitar Hero III: Legends of Rock,PlayStation2,"October 28, 2007",82,8.4,"NeversoftEntertainment,BudCat","Miscellaneous,Rhythm,Music",1-2 ,24,82
The Great Ace Attorney Chronicles,PlayStation4,"July 27, 2021",82,6.0,Capcom,"Miscellaneous,Compilation",No Online Multiplayer,39,117
The Darkness,Xbox360,"June 25, 2007",82,8.1,Starbreeze,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 8 ,63,234
Eastward,PC,"September 16, 2021",82,7.2,Pixpil,"Role-Playing,General",No Online Multiplayer,35,77
I Expect You To Die,PlayStation4,"December 13, 2016",82,7.6,SchellGames,"Adventure,3D,First-Person",No info,17,58
Etrian Odyssey 2 Untold: The Fafnir Knight,3DS,"August 4, 2015",82,8.0,Atlus,"Role-Playing,Japanese-Style,Western-Style",No Online Multiplayer,41,66
Disgaea DS,DS,"September 23, 2008",82,8.1,NipponIchiSoftware,"Strategy,Turn-Based,Fantasy,Fantasy,Tactics",No Online Multiplayer,32,42
Lunar Knights,DS,"February 6, 2007",82,7.8,KojimaProductions,"Role-Playing,Action RPG,Action RPG",1 Player,39,26
Blasphemous,XboxOne,"September 10, 2019",82,8.0,TheGameKitchen,"Action Adventure,Open-World",No Online Multiplayer,14,88
Hacknet,PC,"August 12, 2015",82,7.8,Orann,"General,Miscellaneous,General",No Online Multiplayer,7,70
The Walking Dead: Season Two Episode 3 - In Harm's Way,Xbox360,"May 14, 2014",82,8.2,TelltaleGames,"General,Action,Adventure,General,Point-and-Click",No info,12,62
Test Drive Unlimited,Xbox360,"September 5, 2006",82,8.1,EdenStudios,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",8  Online,69,99
Assassin's Creed Valhalla,PC,"November 10, 2020",82,7.4,UbisoftMontreal,"Action Adventure,Open-World",No Online Multiplayer,31,2532
Tales of Monkey Island Chapter 3: Lair of the Leviathan,PC,"September 29, 2009",82,7.7,TelltaleGames,"Adventure,General,3D,Fantasy,Third-Person,Fantasy",No Online Multiplayer,33,35
The Walking Dead: A Telltale Games Series - The Complete First Season,PlayStationVita,"August 20, 2013",82,8.4,TelltaleGames,"Miscellaneous,Adventure,Compilation,Compilation,Point-and-Click",No Online Multiplayer,7,164
Blur,Xbox360,"May 25, 2010",82,8.2,BizarreCreations,"Driving,Racing,Arcade,Arcade,Automobile",Up to 20 ,78,194
FIFA 15,XboxOne,"September 23, 2014",82,5.4,EASports,"Sports,Traditional,Team,Soccer,Sim",Up to 22 ,33,367
Neverwinter Nights 2: Mask of The Betrayer,PC,"October 9, 2007",82,8.5,ObsidianEntertainment,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style",4  Online,25,216
Need for Speed Most Wanted,PlayStation2,"November 15, 2005",82,8.9,EACanada,"Driving,Racing,GT / Street",1-2 ,36,244
Sins of a Solar Empire: Rebellion,PC,"June 12, 2012",82,7.9,IroncladGames,"Strategy,General,General",Online Multiplayer,24,285
Broken Sword: The Sleeping Dragon,PC,"November 17, 2003",82,7.3,RevolutionSoftware,"Adventure,3D,Modern,Third-Person,Modern",No Online Multiplayer,32,122
Age of Wonders: Shadow Magic,PC,"July 25, 2003",82,8.7,TriumphStudios,"Strategy,Turn-Based,Fantasy,General,Fantasy",1-8 ,22,111
ATV Offroad Fury 2,PlayStation2,"November 9, 2002",82,8.7,RainbowStudios,"Driving,Racing,Rally / Offroad",1-4 ,26,36
Mega Man Zero,GameBoyAdvance,"September 9, 2002",82,8.8,Inti,"Action,Platformer,2D",1 Player,17,101
SOCOM: U.S. Navy SEALs,PlayStation2,"August 27, 2002",82,8.0,ZipperInteractive,"Action,Shooter,Third-Person,Tactical,Modern",1-16 ,42,90
Tom Clancy's Ghost Recon: Desert Siege,PC,"March 27, 2002",82,6.7,RedStormEntertainment,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",No info,14,19
Warlords Battlecry II,PC,"March 11, 2002",82,8.1,StrategicStudiesGroup,"Strategy,Real-Time,Fantasy,General,Fantasy",No info,21,39
Ring of Red,PlayStation2,"March 12, 2001",82,8.5,Konami,"Strategy,Real-Time,Sci-Fi",1 Player,15,17
