name,platform,r-date,score,user score,developer,genre,players,critics,users
Conquest: Frontier Wars,PC,"August 14, 2001",80,8.1,FeverPitchStudios,"Strategy,General,General",Online Multiplayer,13,15
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",PC,"October 5, 1999",80,8.3,SierraEntertainment,"Adventure,General,Point-and-Click",No Online Multiplayer,19,58
Jet Force Gemini,Nintendo64,"September 30, 1999",80,8.7,RareLtd.,"Action,Shooter,Third-Person,Sci-Fi",1-4 ,14,92
Star Ocean: The Second Story,PlayStation,"May 31, 1999",80,8.5,Tri-Ace,"Role-Playing,Console-style RPG",1 Player,13,68
Sid Meier's Pirates!,Xbox,"July 11, 2005",80,6.4,FiraxisGames,"Strategy,General",1-4 ,47,24
Tyranny,PC,"November 10, 2016",80,7.8,ObsidianEntertainment,"Role-Playing,Western-Style",No Online Multiplayer,67,624
Gitaroo Man Lives!,PSP,"November 14, 2006",80,8.4,Koei/Inis,"Action,Miscellaneous,Rhythm,Music,Music",1-2 ,37,20
Skul: The Hero Slayer,PC,"January 21, 2021",80,6.4,SouthPAWGames,"Action,Platformer,2D",No Online Multiplayer,22,36
Football Manager 2017,PC,"November 4, 2016",80,5.4,SportsInteractive,"Sports,Team,Soccer,Management",No info,47,129
Super Time Force,XboxOne,"May 14, 2014",80,6.5,CapyGames,"Action,Platformer,Shooter,2D,Scrolling,Shoot-'Em-Up,Vertical",No info,36,118
SoulCalibur VI,PC,"October 18, 2018",80,5.2,"BandaiNamcoGames,ProjectSoul","Action,Fighting,3D",2 ,17,163
Mutazione,PC,"September 19, 2019",80,7.5,DieGuteFabrik,"Adventure,Point-and-Click",No Online Multiplayer,7,23
SpellForce 3: Soul Harvest,PC,"May 28, 2019",80,8.4,GrimloreGames,"Strategy,Real-Time,Tactics",Online Multiplayer,7,39
King's Quest Chapter 3: Once Upon a Climb,XboxOne,"April 26, 2016",80,5.7,TheOddGentlemen,"Adventure,General",No info,8,10
Life is Strange: Episode 5 - Polarized,XboxOne,"October 20, 2015",80,8.3,DONTNODEntertainment,"Action Adventure,General",No info,7,87
Westerado: Double Barreled,PC,"April 16, 2015",80,7.7,OstrichBanditos,"Action,General",No Online Multiplayer,18,43
Anomaly: Warzone Earth,PC,"April 8, 2011",80,7.2,11bitstudios,"Strategy,Real-Time,General,Sci-Fi,General",No info,36,177
Assassin's Creed: Revelations,Xbox360,"November 15, 2011",80,7.3,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",Up to 8 ,77,705
Tiger Woods PGA Tour 06,PSP,"September 26, 2005",80,7.9,TeamFusion,"Sports,Traditional,Individual,Golf,Sim,Sim",1-4 ,15,8
Age of Empires: The Age of Kings,DS,"February 14, 2006",80,8.0,BackboneEntertainment,"Strategy,Turn-Based,Historic,General,Historic",1-4 ,38,66
Madden NFL 07,Xbox360,"August 22, 2006",80,6.0,EATiburon,"Sports,Traditional,Team,Football,Sim,Sim",2  Online,54,151
Vitamin Connection,Switch,"January 17, 2020",80,8.0,WayForward,"Action,General",No Online Multiplayer,10,11
Children of Morta,Switch,"November 20, 2019",80,8.4,DeadMage,"Role-Playing,Adventure,General,Action RPG",No Online Multiplayer,9,71
Five Nights at Freddy's VR: Help Wanted,PlayStation4,"May 28, 2019",80,7.8,"SteelWoolGames,Inc.,SteelWoolGames","Action Adventure,Survival",No Online Multiplayer,10,86
NBA 2K18,PlayStation4,"September 15, 2017",80,1.8,VisualConcepts,"Arcade,Sports,Team,Basketball,Sim",Up to 10 ,54,731
Volume,PC,"August 18, 2015",80,7.3,MikeBithell,"Action,Action Adventure,Platformer,Linear,3D",No Online Multiplayer,34,55
GRID 2,PC,"May 27, 2013",80,5.8,Codemasters,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",No info,17,640
The Evil Within 2,PC,"October 12, 2017",80,8.8,TangoGameworks,"Action Adventure,Survival",No Online Multiplayer,28,1014
Mighty Switch Force! Hyper Drive Edition,WiiU,"November 18, 2012",80,7.7,WayForward,"Action,Platformer,Platformer,2D,2D",No info,19,67
FIFA 07 Soccer,PSP,"October 17, 2006",80,8.4,EASports,"Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,15,27
Metal Slug Anthology,PlayStation2,"March 28, 2007",80,8.7,TerminalReality,"Miscellaneous,Compilation",1-2 ,20,30
Amnesia: Rebirth,PC,"October 20, 2020",80,6.4,FrictionalGames,"Action Adventure,Survival",No Online Multiplayer,54,204
"Snipperclips - Cut it out, together!",Switch,"March 3, 2017",80,8.2,"Nintendo,SFBGames","Puzzle,General",No info,61,382
The Banner Saga,PC,"January 14, 2014",80,8.0,Stoic,"Role-Playing,General,Strategy,Turn-Based,Tactics",No Online Multiplayer,74,802
Resident Evil 4,Switch,"May 21, 2019",80,8.7,Capcom,"Action Adventure,Survival",No Online Multiplayer,22,163
WWE SmackDown vs. Raw 2010,Xbox360,"October 20, 2009",80,8.2,Yuke's,"Action,Sports,Fighting,Fighting,Individual,Wrestling,Combat,Wrestling",No info,59,54
Sam & Max Episode 202: Moai Better Blues,PC,"January 10, 2008",80,7.0,TelltaleGames,"Adventure,General,3D,Point-and-Click,Third-Person",No Online Multiplayer,30,14
Final Fantasy Tactics A2: Grimoire of the Rift,DS,"June 24, 2008",80,8.8,SquareEnix,"Strategy,Turn-Based,Fantasy,Fantasy,Tactics",2 ,47,228
F.I.S.T.: Forged In Shadow Torch,PlayStation5,"September 7, 2021",80,7.4,TIGAMES,"Action Adventure,Open-World",No info,35,87
Trine 4: The Nightmare Prince,Switch,"October 8, 2019",80,7.9,"Frozenbyte,Inc.","Action,Platformer,2D",Up to 4 ,21,35
Pinball FX3: Bethesda Pinball,Switch,"April 4, 2018",80,8.0,ZenStudios,"Action,Pinball",No info,8,6
Age of Wonders III - Eternal Lords,PC,"April 14, 2015",80,8.5,TriumphStudios,"Strategy,Turn-Based,General",No info,10,116
Game of Thrones: Episode Three - The Sword in the Darkness,XboxOne,"March 25, 2015",80,7.8,TelltaleGames,"Action,Adventure,General,Point-and-Click",No info,9,35
Pro Evolution Soccer 2013,PC,"September 25, 2012",80,7.1,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",No info,8,253
Red Dead Redemption: Liars and Cheats,PlayStation3,"September 21, 2010",80,7.8,RockstarSanDiego,"Action Adventure,Historic,General,Historic,Open-World",No info,7,25
FIFA 07 Soccer,GameCube,"October 3, 2006",80,8.3,EACanada,"Sports,Traditional,Soccer,Sim",1-4 ,11,11
Tiger Woods PGA Tour 10,Xbox360,"June 8, 2009",80,6.9,EATiburon,"Sports,Traditional,Individual,Golf,Sim,Sim",Up to 4 ,51,20
Hot Shots Golf Fore!,PlayStation2,"August 17, 2004",80,8.4,ClapHanz,"Sports,Traditional,Golf,Arcade",1-4 ,46,13
Assassin's Creed: Revelations,PlayStation3,"November 15, 2011",80,7.6,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",Up to 8 ,39,813
