name,platform,r-date,score,user score,developer,genre,players,critics,users
Perfect Dark,Xbox360,"March 17, 2010",79,8.4,4JStudios,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No info,46,115
Frozen Cortex,PC,"February 19, 2015",79,6.3,Mode7Games,"General,Sports,Team,Futuristic",No info,11,30
Burnout Paradise Remastered,XboxOne,"March 16, 2018",79,6.9,"CriterionGames,STELLARENTERTAINMENTSOFTWARELTD","Racing,Arcade,Automobile",Up to 8 ,30,53
Tacoma,XboxOne,"August 2, 2017",79,6.2,"TheFullbrightCompany,Fullbright","Adventure,General",No info,20,55
Alan Wake Remastered,PlayStation5,"October 5, 2021",79,8.0,RemedyEntertainment,"Action Adventure,Survival",No Online Multiplayer,39,91
Sphinx and the Cursed Mummy,GameCube,"November 10, 2003",79,8.4,EurocomEntertainmentSoftware,"Action Adventure,Fantasy",1 Player,22,17
Gears of War: Judgment,Xbox360,"March 19, 2013",79,5.7,EpicGames,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",No info,81,927
Halo Wars 2,XboxOne,"February 17, 2017",79,6.3,CreativeAssembly,"Strategy,Real-Time,General",Up to 6 ,79,569
Anarcute,PC,"July 12, 2016",79,7.3,Anarteam,"Action,General",No Online Multiplayer,7,10
Pool Nation,Xbox360,"October 31, 2012",79,7.6,CherryPopGames,"Sports,Miscellaneous,Parlor,Individual,Billiards,Billiards",No info,12,18
Free Realms,PC,"April 29, 2009",79,6.7,SonyOnlineEntertainment,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",No info,8,15
Homeworld: Deserts of Kharak,PC,"January 20, 2016",79,8.0,BlackbirdInteractive,"Strategy,Real-Time,Command",No info,52,213
L.A. Noire,Switch,"November 14, 2017",79,8.1,"TeamBondi,Virtuos","Action Adventure,Adventure,3D,Open-World,Third-Person",No Online Multiplayer,47,232
Don't Starve,PC,"April 23, 2013",79,8.3,KleiEntertainment,"Action Adventure,Fantasy,General,Fantasy,Sandbox",No Online Multiplayer,33,1098
Bleed 2,PlayStation4,"February 6, 2018",79,7.0,BootdiskRevolution,"Action,Platformer,2D",No Online Multiplayer,9,9
Hue,PC,"August 30, 2016",79,7.7,FiddlesticksGames,"Puzzle,Action",No Online Multiplayer,8,47
Assault Android Cactus,PC,"September 23, 2015",79,7.1,WitchBeam,"General,General,Scrolling,Action,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,15,33
Chessmaster,Xbox,"October 26, 2004",79,8.3,Ubisoft,"Miscellaneous,Board Games",1-2 ,12,7
All-Star Baseball 2003,Xbox,"February 25, 2002",79,7.3,Acclaim,"Sports,Traditional,Baseball,Sim",1-4 ,15,8
Trainz,PC,"February 10, 2002",79,7.2,Auran,"Strategy,Tycoon,Management,Tycoon,Business / Tycoon",1 Player,16,6
NHL Hitz 20-02,Xbox,"November 14, 2001",79,7.8,BlackBox,"Sports,Traditional,Ice Hockey,Arcade",1-4 ,20,11
Super Dodge Ball Advance,GameBoyAdvance,"June 10, 2001",79,7.8,AtlusCo.,"Sports,Alternative,Other",No info,11,5
Super Smash Bros.,Nintendo64,"April 26, 1999",79,8.7,HALLabs,"Action,Fighting,3D",1-4 ,11,467
Observation,PC,"May 21, 2019",79,7.4,NoCode,"Adventure,General",No Online Multiplayer,29,167
Atelier Escha & Logy: Alchemists of the Dusk Sky,PlayStation3,"March 11, 2014",79,8.3,Gust,"General,Role-Playing,General,Japanese-Style",No Online Multiplayer,27,92
The Life and Suffering of Sir Brante,PC,"March 4, 2021",79,8.5,Sever,"Adventure,Text",No Online Multiplayer,12,68
Pro Evolution Soccer 2015,XboxOne,"November 11, 2014",79,6.7,Konami,"Action,General,Sports,Traditional,Team,Soccer,Sim",Up to 22 ,9,70
The Lord of the Rings: The Two Towers,Xbox,"December 30, 2002",79,8.2,StormfrontStudios,"Action,Beat-'Em-Up",1 Player,17,19
Tiger Woods PGA Tour 11,Xbox360,"June 8, 2010",79,7.8,EASports,"Sports,Traditional,Individual,Golf,Sim,Sim",Up to 4 ,51,19
River City Girls,PlayStation4,"September 5, 2019",79,6.5,WayForward,"Action,Beat-'Em-Up,2D",No Online Multiplayer,16,54
Paper Beast,PlayStation4,"March 24, 2020",79,7.6,PixelReef,"Adventure,General,Action Adventure,Sandbox",No Online Multiplayer,38,38
Twisted Metal: Head-On,PSP,"March 24, 2005",79,8.2,IncognitoInc.,"Simulation,Driving,Car Combat,Car Combat,Vehicle,Combat",Up to 6 ,45,50
