name,platform,r-date,score,user score,developer,genre,players,critics,users
Farming Simulator 17,PC,"October 24, 2016",69,7.5,GiantsSoftware,"Simulation,Virtual,Career",Up to 6 ,12,65
8-Bit Armies,PC,"April 22, 2016",69,7.3,Petroglyph,"Strategy,Real-Time,Command",Online Multiplayer,9,20
Bloodsports.TV,PC,"March 30, 2015",69,6.2,"FatsharkAB,Fatshark","Action,Strategy,Real-Time,General,MOBA",No info,8,11
The Marvellous Miss Take,PC,"November 20, 2014",69,6.4,WonderstruckGames,"Adventure,General",No info,11,16
Home (2012),PC,"June 1, 2012",69,5.9,BenjaminRivers,"Action Adventure,Adventure,Horror,General,Horror",No Online Multiplayer,10,73
Earth Defense Force: Insect Armageddon,PC,"December 14, 2011",69,6.9,ViciousCycle,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",No info,10,33
Fishing Resort,Wii,"November 22, 2011",69,7.5,Prope,"Sports,Individual,Nature,Fishing,Fishing",No info,9,8
Romance of the Three Kingdoms XI,PlayStation2,"February 6, 2007",69,7.4,Koei,"Strategy,Turn-Based,Historic",1-8 ,10,9
Greg Hastings' Tournament Paintball Max'd,Xbox,"October 18, 2005",69,8.3,WXP,"Action,Shooter,First-Person,Tactical,Modern",14  Online,15,24
Powerdrome,Xbox,"June 16, 2004",69,7.0,ArgonautGames,"Driving,Racing,Futuristic",1-4 ,12,9
Worms 3D,GameCube,"March 11, 2004",69,7.8,Team17,"Strategy,General",1-4 ,23,21
Sonic Battle,GameBoyAdvance,"January 5, 2004",69,8.0,SonicTeam,"Action,Fighting,2D",1-4 ,28,47
XGRA: Extreme-G Racing Association,GameCube,"November 24, 2003",69,7.3,AcclaimStudiosCheltenham,"Driving,Racing,Futuristic",1-4 ,13,6
Kya: Dark Lineage,PlayStation2,"November 18, 2003",69,8.4,EdenStudios,"Action Adventure,Fantasy",1 Player,25,37
POD: Speedzone,Dreamcast,"December 5, 2000",69,7.5,UbisoftRomania,"Driving,Racing,Futuristic",No info,10,4
Submarine Titans,PC,"August 3, 2000",69,7.5,EllipseStudios,"Strategy,Real-Time,General,General,Command",Up to 24 ,16,30
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,PlayStation4,"June 23, 2020",68,8.9,PurpleLampStudios,"Action,Platformer,3D",2 ,38,2087
Battlefield 2042,PC,"November 12, 2021",68,2.2,EADICE,"Action,Shooter,First-Person,Tactical",Up to more than 64 ,71,4152
Maneater,PlayStation4,"May 22, 2020",68,7.3,"TripwireInteractive,BlindsideInteractive","Action Adventure,General",No Online Multiplayer,34,155
Conan Exiles,PC,"May 8, 2018",68,6.6,Funcom,"Action Adventure,Survival",Up to 40 ,24,214
Kingdom Hearts Re: Chain of Memories,PlayStation2,"December 2, 2008",68,7.7,JupiterCorporation,"Role-Playing,Action RPG",1 Player,20,364
MySims,Wii,"September 18, 2007",68,7.1,EARedwoodShores,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",1 Player,38,64
Shadowgate,PC,"August 21, 2014",68,7.0,ZojoiStudios,"Action,Adventure,General,Point-and-Click",No Online Multiplayer,20,47
Band of Bugs,Xbox360,"June 20, 2007",68,7.1,NinjaBee,"Strategy,Turn-Based,General,General,Tactics",8  Online,15,11
Joint Task Force,PC,"September 12, 2006",68,7.9,"HDInteractive,MostWantedEntertainment","Strategy,Real-Time,Modern,Modern,Tactics",8  Online,31,26
Painkiller: Hell Wars,Xbox,"July 24, 2006",68,7.7,PeopleCanFly,"Action,Shooter,First-Person,Fantasy",8  Online,33,19
Gang Beasts,PlayStation4,"December 12, 2017",68,6.4,Boneloaf,"Action,Miscellaneous,General,Party / Minigame",Up to 8 ,17,66
Layers of Fear 2,PlayStation4,"May 28, 2019",68,6.2,BlooberTeam,"Action Adventure,Survival",No Online Multiplayer,15,67
WWE 2K17,XboxOne,"October 11, 2016",68,4.9,Yuke's,"Sports,Individual,Combat,Wrestling",Up to 6 ,12,48
Art Style: Rotozoa,Wii,"June 21, 2010",68,tbd,SkipLtd.,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",1 Player,8,0
Pokemon Ranger: Guardian Signs,DS,"October 4, 2010",68,8.1,CreaturesInc.,"Role-Playing,General,General",No info,25,38
Madballs in Babo: Invasion,Xbox360,"July 15, 2009",68,8.5,Playbrains,"Action,General,General",16  Online,41,24
Harry Potter and the Goblet of Fire,Xbox,"November 8, 2005",68,4.7,ElectronicArts,"Action Adventure,Fantasy",1-3 ,26,15
King's Quest Chapter 2: Rubble Without a Cause,PlayStation4,"December 15, 2015",68,5.5,TheOddGentlemen,"Adventure,General",No info,12,29
BioShock Infinite: Clash in the Clouds,Xbox360,"July 30, 2013",68,6.7,IrrationalGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No info,9,53
Madden NFL 09,PSP,"August 12, 2008",68,6.5,EATiburon,"Sports,Traditional,Team,Football,Sim,Sim",No info,8,4
Tom Clancy's EndWar,PC,"February 24, 2009",68,6.7,UbisoftShanghai,"Strategy,Real-Time,Military,Military,Tactics",No info,24,51
Call of Duty: Black Ops III - Descent,PlayStation4,"July 12, 2016",68,3.0,Treyarch,"Action,Shooter,First-Person,Arcade",No info,8,5
Call of Duty: Ghosts,PC,"November 4, 2013",68,2.2,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",No info,14,3544
Empires Apart,PC,"March 29, 2018",68,5.0,DESTINYbit,"Strategy,Real-Time,General",Online Multiplayer,14,8
Exist Archive: The Other Side of the Sky,PlayStationVita,"October 18, 2016",68,8.1,Tri-Ace,"Role-Playing,Japanese-Style",No info,9,21
NCAA Basketball 09,PlayStation3,"November 17, 2008",68,tbd,EACanada,"Sports,Traditional,Team,Basketball,Sim,Sim",2  Online,17,0
World Poker Tour,PSP,"April 17, 2006",68,tbd,Coresoft,"Miscellaneous,Parlor,Gambling,Gambling",Up to 6 ,14,0
Automachef,Switch,"July 23, 2019",68,7.6,HermesInteractive,"Strategy,Management,Business / Tycoon",No Online Multiplayer,12,5
WWE All Stars,Wii,"March 29, 2011",68,7.2,THQ,"Action,Sports,Fighting,Fighting,Individual,Wrestling,Combat,Wrestling",No info,11,10
Lost Sphear,PlayStation4,"January 23, 2018",68,6.9,TokyoRPGFactory,"Role-Playing,Japanese-Style",No Online Multiplayer,53,64
Metrico,PlayStationVita,"August 5, 2014",68,5.8,DigitalDreams,"General,Miscellaneous,Puzzle,Action,General",No info,41,48
Link's Crossbow Training,Wii,"November 19, 2007",68,7.2,Nintendo,"Action,Shooter,Shooter,Light Gun,Light Gun",No Online Multiplayer,34,52
Hellpoint,XboxOne,"July 30, 2020",68,5.7,CradleGames,"Role-Playing,Action RPG",Up to 4 ,7,12
Red Wings: Aces of the Sky,Switch,"May 21, 2020",68,6.8,Allin!Games,"Simulation,Flight,Combat",No Online Multiplayer,13,20
Steel Rats,PC,"November 7, 2018",68,7.2,TateMultimedia,"Simulation,Vehicle,Combat",No Online Multiplayer,7,18
Scribblenauts Unmasked: A DC Comics Adventure,3DS,"September 24, 2013",68,6.4,5THCell,"Puzzle,Action,Platformer,Platformer,2D,2D",No info,7,24
Call of Duty: Modern Warfare 2 - Stimulus Package,Xbox360,"March 30, 2010",68,2.6,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18 ,9,112
Wolfenstein: Youngblood,XboxOne,"July 26, 2019",68,2.6,MachineGames,"Action,Shooter,First-Person,Arcade",2 ,23,229
The Signifier,PC,"October 15, 2020",68,6.9,Playmestudio,"Adventure,General,3D,First-Person",No Online Multiplayer,19,18
Squids Odyssey,WiiU,"May 22, 2014",68,6.2,TheGameBakers,"Role-Playing,Console-style RPG,Japanese-Style",No info,14,6
