name,platform,r-date,score,user score,developer,genre,players,critics,users
Nancy Drew: Secret of the Old Clock,PC,"July 26, 2005",80,7.5,HerInteractive,"Adventure,First-Person,Point-and-Click,Modern,Modern",No Online Multiplayer,10,15
The Banner Saga 3,PlayStation4,"July 26, 2018",80,7.1,Stoic,"Strategy,Turn-Based,Tactics",No Online Multiplayer,10,39
VVVVVV,Switch,"November 17, 2017",80,8.0,TerryCavanagh,"Action,Platformer,2D",No Online Multiplayer,11,27
TowerFall Ascension,XboxOne,"January 25, 2017",80,7.2,MattMakesGamesInc.,"Action,General,Platformer,2D",No info,10,6
ArcheAge,PC,"September 16, 2014",80,3.7,XLGAMES,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",No info,11,771
Worms: Open Warfare 2,PSP,"September 4, 2007",80,8.2,"Team17,TwoTribes","Strategy,Turn-Based,Fantasy,Fantasy,Artillery",Up to 4 ,26,32
Resident Evil: Revelations,WiiU,"May 21, 2013",80,7.8,Capcom,"Action Adventure,Horror,Horror,Survival",2 ,19,197
The Sims 4: Snowy Escape,PC,"November 13, 2020",80,5.1,Maxis,"Simulation,Virtual,Virtual Life",No Online Multiplayer,15,17
AVICII Invector,PlayStation4,"December 10, 2019",80,6.9,WiredProductions,"Action,Rhythm,Music",No Online Multiplayer,15,23
Call of Duty: WWII,XboxOne,"November 3, 2017",80,4.4,SledgehammerGames,"Action,Shooter,First-Person,Arcade",Up to 18 ,21,450
SMITE,XboxOne,"August 19, 2015",80,7.3,Hi-RezStudios,"Strategy,Real-Time,MOBA",Up to 10 ,21,120
Thomas Was Alone,PlayStation3,"April 23, 2013",80,6.9,MikeBithell,"Action,Platformer,Platformer,2D,2D",1 Player,21,92
World of Tanks,PlayStation4,"January 19, 2016",80,5.0,Wargaming.net,"Action,Simulation,Shooter,Vehicle,Third-Person,Combat,Tactical",Up to 30 ,18,145
Pushmo World,WiiU,"June 19, 2014",80,8.0,IntelligentSystems,"Miscellaneous,Puzzle,Action,Logic",No Online Multiplayer,37,60
Knockout City,PlayStation4,"May 21, 2021",80,7.2,VelanStudios,"Action,Sports,General,Team,Other",Up to 8 ,25,40
CAPSIZED,PC,"April 29, 2011",80,7.1,Alientrap,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer,19,106
Skate 3,PlayStation3,"May 11, 2010",80,8.0,EABlackBox,"Sports,Alternative,Individual,Skateboarding,Skateboarding,Skate / Skateboard",Up to 6 ,46,128
Enslaved: Odyssey to the West,PlayStation3,"October 5, 2010",80,7.6,NinjaTheory,"Action Adventure,Modern,General,Modern",No Online Multiplayer,53,367
FlatOut: Ultimate Carnage,Xbox360,"October 2, 2007",80,8.6,Bugbear,"Driving,Racing,Demolition Derby,Arcade,Demolition Derby,Automobile",8  Online,44,73
Scarlet Nexus,PlayStation4,"June 25, 2021",80,7.8,BandaiNamcoGames,"Action Adventure,Open-World,Role-Playing,Action RPG",No Online Multiplayer,12,66
Signs of the Sojourner,Switch,"March 18, 2021",80,tbd,EchodogGames,"Strategy,Adventure,Turn-Based,General,Card Battle",No Online Multiplayer,8,0
If Found...,Switch,"October 22, 2020",80,7.6,dreamfeel,"Adventure,Visual Novel",No Online Multiplayer,7,9
Total War: Three Kingdoms - A World Betrayed,PC,"March 19, 2020",80,6.1,CreativeAssembly,"Strategy,Real-Time,General",No info,10,11
Autonauts,PC,"October 17, 2019",80,8.0,Denki,"Strategy,Management,Government",No Online Multiplayer,8,9
Children of Morta,PlayStation4,"October 15, 2019",80,8.4,"DeadMageStudio,DeadMage","Role-Playing,Adventure,General,Action RPG",Online Multiplayer,12,97
NBA 2K20,XboxOne,"September 6, 2019",80,1.5,VisualConcepts,"Sports,Team,Basketball,Sim",Up to 10 ,18,327
Judgment,PlayStation4,"June 21, 2019",80,8.5,RyugaGotokuStudios,"Action Adventure,General,Open-World",No Online Multiplayer,83,436
Minit,Switch,"August 9, 2018",80,7.9,"JW,Kitty,Jukio,andDom","Adventure,General",No Online Multiplayer,7,24
Layers of Fear: Legacy,Switch,"February 21, 2018",80,8.0,BlooberTeam,"Adventure,3D,First-Person",No Online Multiplayer,25,39
Middle-earth: Shadow of War,PlayStation4,"October 10, 2017",80,4.6,MonolithProductions,"Action Adventure,Open-World",No Online Multiplayer,69,1533
Zero Escape: Zero Time Dilemma,PlayStation4,"August 18, 2017",80,7.0,AksysGames,"Adventure,Visual Novel",No Online Multiplayer,8,38
Tales of Berseria,PC,"January 26, 2017",80,6.5,BandaiNamcoGames,"Japanese-Style,Role-Playing,Action RPG",No Online Multiplayer,18,355
World of Van Helsing: Deathtrap,XboxOne,"December 30, 2016",80,6.9,NeocoreGames,"Strategy,General",No info,7,16
BADLAND: Game of the Year Edition,WiiU,"July 30, 2015",80,7.5,Frogmind,"Action,Action Adventure,Arcade,Linear",No info,7,16
Ziggurat,PlayStation4,"April 21, 2015",80,7.0,MilkstoneStudios,"Action,Shooter,First-Person,Arcade",No info,8,25
Hitman: Sniper Challenge,Xbox360,"May 15, 2012",80,7.7,IoInteractive,"Action Adventure,Modern,General,Modern",No Online Multiplayer,7,20
Sonic CD,PlayStation3,"December 20, 2011",80,8.2,Sega,"Action,Platformer,Platformer,2D,2D",No info,12,54
Microsoft Flight Simulator X,PC,"October 17, 2006",80,7.3,MicrosoftGameStudios,"Simulation,Flight,Modern Jet,Modern Jet,Combat",32  Online,28,135
Metal Gear Acid 2,PSP,"March 21, 2006",80,8.2,KojimaProductions,"Strategy,Turn-Based,Modern,Modern,Card Battle",2 ,51,39
Myst V: End of Ages,PC,"September 19, 2005",80,7.6,CyanWorlds,"Adventure,3D,First-Person,Fantasy,Fantasy",No Online Multiplayer,26,58
Star Ocean: Till the End of Time,PlayStation2,"August 31, 2004",80,8.6,Tri-Ace,"Role-Playing,Action RPG",1-2 ,55,141
Railroad Tycoon 3,PC,"October 23, 2003",80,7.7,PopTopSoftware,"Strategy,Tycoon,Management,Tycoon,Business / Tycoon",1-4 ,19,64
Otogi: Myth of Demons,Xbox,"August 27, 2003",80,8.7,FromSoftware,"Action Adventure,Fantasy",1 Player,40,32
Sega Soccer Slam,Xbox,"August 22, 2002",80,8.3,BlackBox,"Sports,Traditional,Soccer,Arcade",1-4 ,15,9
World of Outlaws: Sprint Cars 2002,PlayStation2,"March 26, 2002",80,8.3,Ratbag,"Driving,Racing,Rally / Offroad",1-2 ,10,10
Wave Race: Blue Storm,GameCube,"November 17, 2001",80,7.9,Nintendo,"Driving,Racing,Snow / Water",No info,21,34
Phantasy Star Online Ver. 2,Dreamcast,"September 24, 2001",80,8.6,SonicTeam,"Role-Playing,General",No info,10,26
Hostile Waters: Antaeus Rising,PC,"June 13, 2001",80,7.7,RageSoftware,"Strategy,General,General",No Online Multiplayer,14,39
Crazy Taxi,PlayStation2,"May 14, 2001",80,7.9,AcclaimStudiosCheltenham,"Driving,Racing,Arcade",1 Player,15,62
Forza Motorsport 5,XboxOne,"November 22, 2013",79,6.0,Turn10,"GT / Street,Driving,Racing,Simulation,GT / Street,Automobile",Up to 16 ,76,1146
Dustforce,PC,"January 17, 2012",79,7.5,Hitbox,"Action,Platformer,Platformer,2D,2D",No info,35,111
Hitman: Absolution,Xbox360,"November 20, 2012",79,7.2,IoInteractive,"Action Adventure,Modern,General,Modern",No Online Multiplayer,51,512
WWE SmackDown vs. Raw 2009,Xbox360,"November 9, 2008",79,7.0,Yuke's,"Action,Sports,Fighting,Fighting,Individual,Wrestling,Combat,Wrestling",Up to 4 ,47,49
Skylanders Imaginators,PlayStation4,"October 16, 2016",79,5.7,ToysforBob,"Action,Platformer,3D",No info,49,39
Empire Earth II,PC,"April 26, 2005",79,7.2,MadDocSoftware,"Strategy,Real-Time,Historic,General,Historic",Up to 10 ,39,111
LocoRoco 2 Remastered,PlayStation4,"December 9, 2017",79,7.4,SCEJapanStudio,"Action,Platformer,2D",No Online Multiplayer,20,21
Hitman: Absolution,PC,"November 19, 2012",79,7.2,"IoInteractive,NixxesSoftware","Action Adventure,Modern,General,Modern",No Online Multiplayer,26,1657
Wolfenstein: The New Order,PlayStation4,"May 20, 2014",79,8.1,MachineGames,"General,Shooter,Historic,Action,Shooter,First-Person,Historic,Arcade",No info,73,1626
Fallout 3: Point Lookout,PC,"June 23, 2009",79,7.6,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,General,Western-Style",1 Player,23,133
Fractured Space,PC,"September 22, 2016",79,7.6,EdgeCaseGames,"Sci-Fi,Strategy,Real-Time,General",Online Multiplayer,10,28
Resident Evil 5: Lost in Nightmares,Xbox360,"February 17, 2010",79,8.1,Capcom,"Action Adventure,Horror,Horror,Survival",No info,27,38
