name,platform,r-date,score,user score,developer,genre,players,critics,users
Sunless Sea,PC,"July 1, 2014",81,7.6,FailbetterGames,"Sci-Fi,Action Adventure,General",No Online Multiplayer,38,167
The Walking Dead: Season Two Episode 3 - In Harm's Way,PC,"May 13, 2014",81,8.2,TelltaleGames,"General,Action,Adventure,General,Point-and-Click",No info,39,273
Duke Nukem Advance,GameBoyAdvance,"August 12, 2002",81,8.3,TorusGames,"Action,Shooter,First-Person,Sci-Fi",1-4 ,15,15
Marvel Heroes 2015,PC,"June 4, 2014",81,8.2,Gazillion,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Sci-Fi",No info,10,583
Football Manager 2016,PC,"November 13, 2015",81,7.1,Sega,"Sports,Team,Soccer,Management",No info,34,135
Tearaway Unfolded,PlayStation4,"September 8, 2015",81,8.0,MediaMolecule,"Action,Action Adventure,Adventure,General,Platformer,Fantasy,3D",No Online Multiplayer,70,308
Trackmania Turbo,PlayStation4,"March 22, 2016",81,7.5,Nadeo,"Racing,Arcade,Automobile",Up to more than 64 ,52,201
Ratchet: Deadlocked,PlayStation2,"October 25, 2005",81,8.8,InsomniacGames,"Action,Shooter,Third-Person,Sci-Fi",10  Online,51,225
Phantom Brave,PlayStation2,"August 31, 2004",81,8.1,NipponIchiSoftware,"Strategy,Turn-Based,Fantasy",1 Player,40,28
LEGO Star Wars II: The Original Trilogy,Xbox360,"September 12, 2006",81,8.0,Traveller'sTales,"Action Adventure,Sci-Fi,Sci-Fi,General",1-2 ,50,58
VVVVVV,PC,"January 11, 2010",81,7.9,TerryCavanagh,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer,15,256
Monster Hunter Freedom Unite,PSP,"June 22, 2009",81,8.5,Capcom,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,48,172
Tokyo Mirage Sessions #FE Encore,Switch,"January 17, 2020",81,6.3,Atlus,"Role-Playing,Japanese-Style",No Online Multiplayer,62,236
The Sims 4: Discover University,PC,"December 17, 2019",81,4.6,Maxis,"Simulation,Virtual,Virtual Life",No info,11,30
Contra Anniversary Collection,Switch,"June 11, 2019",81,6.9,"Konami,M2","Miscellaneous,Compilation",No Online Multiplayer,10,29
Stellaris: Console Edition,XboxOne,"February 26, 2019",81,7.5,ParadoxDevelopmentStudio,"Strategy,Real-Time,General",No Online Multiplayer,8,25
The Sims 4: Seasons,PC,"June 22, 2018",81,6.3,Maxis,"Simulation,Virtual,Virtual Life",No info,15,68
Teslagrad,Switch,"December 7, 2017",81,8.0,RainGames,"Action,Platformer,2D",No Online Multiplayer,8,22
Call of Duty: Black Ops III,XboxOne,"November 6, 2015",81,4.8,Treyarch,"Action,Shooter,First-Person,Arcade",Up to 18 ,15,786
