name,platform,r-date,score,user score,developer,genre,players,critics,users
Life Goes On: Done to Death,PlayStation4,"May 17, 2016",77,6.9,InfiniteMonkeys,"Action,Platformer,2D",No info,15,12
Proteus,PlayStationVita,"October 29, 2013",77,6.1,EdKeyandDavidKanaga,"Adventure,General,General,3D,First-Person,Fantasy",1 Player,7,49
Rune Factory 3: A Fantasy Harvest Moon,DS,"November 9, 2010",77,8.3,Neverland,"Role-Playing,Action RPG,Action RPG",Up to 3 ,10,55
Shank 2,Xbox360,"February 8, 2012",77,6.3,KleiEntertainment,"Action,Beat-'Em-Up,Beat-'Em-Up,2D",No info,36,44
Far Cry Primal,XboxOne,"February 23, 2016",77,6.6,UbisoftMontreal,"Action,Shooter,First-Person,Arcade",No Online Multiplayer,27,272
Sanctum 2,Xbox360,"May 15, 2013",77,4.8,CoffeeStainStudios,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No info,12,68
Sky Force Anniversary,XboxOne,"December 9, 2016",77,6.4,InfiniteDreamsInc.,"Action,Shooter,Shoot-'Em-Up,Vertical",No info,11,7
Livelock,XboxOne,"August 30, 2016",77,6.5,TuqueGames,"Action,Shooter,Shoot-'Em-Up,Top-Down",No info,10,8
Eets: Chowdown,Xbox360,"April 25, 2007",77,5.8,KleiEntertainment,"Action,Platformer,Platformer,2D,2D",1-4 ,14,6
DOOM Eternal: The Ancient Gods Part Two,PC,"March 18, 2021",77,6.0,idSoftware,"Action,Shooter,First-Person,Arcade",Up to 3 ,11,52
Aven Colony,XboxOne,"July 25, 2017",77,7.9,"SoldOut,MothershipEntertainment","Strategy,Management,Government",No Online Multiplayer,12,8
Nintendo Labo: Toycon 01 Variety Kit,Switch,"April 20, 2018",77,6.9,Nintendo,"Miscellaneous,Party / Minigame",No Online Multiplayer,23,208
RISK: Factions,Xbox360,"June 23, 2010",77,7.4,StainlessGames,"Strategy,Miscellaneous,Turn-Based,Wargame,Board / Card Game,Turn-Based,General",No info,33,25
Lost in Random,PC,"September 10, 2021",77,7.2,Zoink!,"Action Adventure,General",No Online Multiplayer,17,38
ArmA II,PC,"July 7, 2009",77,7.5,BohemiaInteractive,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",No info,38,631
Rebel Galaxy Outlaw,PC,"August 13, 2019",77,5.5,DoubleDamageGames,"Action Adventure,Open-World",No Online Multiplayer,23,121
Ultimate Marvel vs. Capcom 3,PlayStation4,"December 3, 2016",77,7.3,Capcom,"Action,Fighting,2D",Up to 8 ,27,68
Dead or Alive 5 Ultimate,PlayStation3,"September 3, 2013",77,8.1,TeamNinja,"Action,Fighting,Fighting,3D,3D",Up to 16 ,25,72
Life is Strange: Before the Storm - Episode 3: Hell is Empty,PlayStation4,"December 19, 2017",77,7.4,DeckNineGames,"Action Adventure,General",No Online Multiplayer,26,84
Pac-Man Championship Edition 2,PlayStation4,"September 13, 2016",77,7.5,BandaiNamcoGames,"Action,Arcade",No info,26,39
Street Fighter V,PlayStation4,"February 16, 2016",77,3.6,Capcom,"Action,Fighting,2D",2 ,80,1409
Narita Boy,PlayStation4,"March 30, 2021",77,6.4,StudioKoba,"Action Adventure,General",No Online Multiplayer,13,31
I Am Dead,PC,"October 8, 2020",77,5.8,HollowPondsandRichardHogg,"Adventure,General",No Online Multiplayer,10,6
Mega Man 11,XboxOne,"October 2, 2018",77,8.6,Capcom,"Action,Platformer,2D",No Online Multiplayer,12,88
Minecraft: Wii U Edition,WiiU,"December 17, 2015",77,7.4,4JStudios,"Action Adventure,Sandbox",No info,15,106
F1 2013,PC,"October 3, 2013",77,6.8,Codemasters,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",No info,18,164
Your Shape Fitness Evolved 2012,Xbox360,"November 8, 2011",77,7.5,Ubisoft,"Sports,Miscellaneous,General,Exercise / Fitness",No Online Multiplayer,13,20
Angry Birds,PSP,"January 4, 2011",77,3.6,"RovioMobile,AbstractionGames,RovioEntertainment","Strategy,Miscellaneous,Puzzle,Action,General,General,General",1 Player,14,53
DeathSpank,PC,"October 25, 2010",77,7.7,HotheadGames,"Action,Role-Playing,General,Action RPG",No Online Multiplayer,11,82
Al Emmo and the Lost Dutchman's Mine,PC,"September 6, 2006",77,7.1,HimalayaStudios,"Adventure,Third-Person,Point-and-Click,Modern,Modern",No Online Multiplayer,7,21
Tony Hawk's American Wasteland,Xbox,"October 18, 2005",77,7.7,NeversoftEntertainment,"Sports,Alternative,Skateboarding",6  Online,40,15
SoulCalibur V,Xbox360,"January 31, 2012",77,6.3,ProjectSoul,"Action,Fighting,Fighting,3D,3D",2 ,56,140
Pro Evolution Soccer 2011,PlayStation3,"October 19, 2010",77,6.9,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",Up to 8 ,40,99
Final Fantasy IV: The Complete Collection,PSP,"April 18, 2011",77,8.9,Bullets,"Role-Playing,Miscellaneous,General,Console-style RPG,Compilation,Compilation",No Online Multiplayer,41,205
Othercide,PlayStation4,"July 28, 2020",77,7.0,LightbulbCrew,"Strategy,Turn-Based,Tactics",No Online Multiplayer,22,21
Expeditions: Conquistador,PC,"May 30, 2013",77,8.1,LogicArtists,"Role-Playing,General,General",No info,21,213
Call of Juarez: Bound in Blood,Xbox360,"June 30, 2009",77,7.6,Techland,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",Up to 12 ,77,103
Capcom Arcade Stadium,PlayStation4,"May 25, 2021",77,4.5,Capcom,"Miscellaneous,Compilation",No Online Multiplayer,20,4
Life is Strange: Episode 1 - Chrysalis,PC,"January 30, 2015",77,8.5,DONTNODEntertainment,"Action Adventure,General",No info,28,434
Wasteland 2: Director's Cut,XboxOne,"October 13, 2015",77,7.0,InXileEntertainment,"Role-Playing,Western-Style",No Online Multiplayer,13,75
Field Commander,PSP,"May 23, 2006",77,7.9,"SonyOnlineEntertainment,MindControlSoftware","Strategy,Turn-Based,Sci-Fi,Sci-Fi,General",2  Online,53,32
Cyber Shadow,PlayStation5,"January 26, 2021",77,6.6,YachtClubGames,"Action,Platformer,2D",No Online Multiplayer,9,11
Shu,PlayStation4,"October 4, 2016",77,6.8,CoatsinkSoftware,"Action,Platformer,2D",No info,13,10
Gary Grigsby's World at War,PC,"March 25, 2005",77,5.9,2By3Games,"Strategy,Turn-Based,Historic,Historic",5  Online,12,12
