name,platform,r-date,score,user score,developer,genre,players,critics,users
Star Wars: Squadrons,XboxOne,"October 2, 2020",78,5.1,MotiveStudios,"Simulation,Space,Combat",Up to 10 ,20,95
The Count Lucanor,PC,"March 3, 2016",78,7.3,BaroqueDecay,"Action Adventure,General",No Online Multiplayer,11,23
Five Nights at Freddy's,PC,"August 8, 2014",78,7.4,animdude,"Action Adventure,Adventure,General,Survival",No Online Multiplayer,8,593
Baseball Mogul 2007,PC,"April 12, 2006",78,6.9,SportsMogul,"Sports,Traditional,Team,Baseball,Management,Management,Sim",1 Player,8,7
Outlast,PlayStation4,"February 4, 2014",78,7.8,RedBarrels,"Horror,Action Adventure,Horror,Survival",No info,33,842
NASCAR 06: Total Team Control,PlayStation2,"August 30, 2005",78,7.6,EASports,"Driving,Racing,Stock Car",4  Online,18,20
Solar Ash,PlayStation5,"December 2, 2021",78,6.7,HeartMachine,"Action Adventure,General",No info,36,28
Pac-Man Championship Edition 2,PC,"September 13, 2016",78,7.0,BandaiNamcoGames,"Action,Arcade",No Online Multiplayer,17,23
Call of Duty: Black Ops III - Zombies Chronicles,PlayStation4,"May 16, 2017",78,6.5,Treyarch,"Action,Shooter,First-Person,Arcade",No info,12,51
Crashlands,PC,"January 21, 2016",78,7.7,ButterscotchShenanigans,"Role-Playing,Action RPG",No Online Multiplayer,10,49
DOOM Eternal: The Ancient Gods Part Two,PC,"March 18, 2021",78,6.0,idSoftware,"Action,Shooter,First-Person,Arcade",Up to 3 ,12,52
Iratus: Lord of the Dead,PC,"April 23, 2020",78,7.5,Unfrozen,"Role-Playing,Roguelike",No Online Multiplayer,11,59
King's Bounty: Crossworlds,PC,"September 17, 2010",78,8.5,KatauriInteractive,"Strategy,Turn-Based,Fantasy,General,Fantasy",No info,13,118
Everybody's Gone to the Rapture,PlayStation4,"August 11, 2015",78,6.5,TheChineseRoom,"Action,General,General,Adventure,3D,First-Person",No info,89,617
Horizon Chase Turbo,PlayStation4,"May 15, 2018",78,7.8,AquirisGameStudio,"Racing,Arcade,Automobile",No Online Multiplayer,15,134
Offworld Trading Company,PC,"April 28, 2016",78,7.6,MohawkGames,"Real-Time,General,Strategy,Management,Business / Tycoon",Online Multiplayer,29,85
Olija,Switch,"January 28, 2021",78,8.0,SkeletonCrewStudio,"Action,Action Adventure,Platformer,Open-World,2D",No Online Multiplayer,19,4
Dawn of Discovery: Venice,PC,"February 26, 2010",78,8.1,RelatedDesigns,"Simulation,General,General",No info,16,28
EyeToy: Play 2,PlayStation2,"August 16, 2005",78,6.8,SCEE,"Miscellaneous,General",1-4 ,30,12
Destiny 2: Shadowkeep,PC,"October 1, 2019",78,5.6,Bungie,"Action,Shooter,First-Person,Arcade",Up to 16 ,18,255
Pro Evolution Soccer 2010,Xbox360,"November 3, 2009",78,7.6,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",No info,34,33
Mega Man 10,PlayStation3,"March 11, 2010",78,8.1,IntiCreates,"Action,Platformer,Platformer,2D,2D",No info,27,81
Lemnis Gate,PC,"September 28, 2021",78,7.4,RatloopGamesCanada,"Action,Shooter,First-Person,Arcade",Up to 4 ,11,7
Haven,Switch,"February 4, 2021",78,7.5,TheGameBakers,"Adventure,General",No Online Multiplayer,8,6
Wingspan,Switch,"December 29, 2020",78,8.5,MonsterCouch,"Strategy,General,Miscellaneous,Board / Card Game",Up to 5 ,12,6
PHOGS!,Switch,"December 3, 2020",78,tbd,BitLoomGames,"Adventure,3D,Third-Person",2 ,14,0
Inmost,Switch,"August 21, 2020",78,7.8,HiddenLayerGames,"Action,Platformer,2D,3D",No Online Multiplayer,19,28
Atomicrops,PC,"May 28, 2020",78,7.5,"DanielWynne,BirdBathGames","Action,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,7,10
Depixtion,Switch,"February 28, 2020",78,7.8,"DevHourGames,LLC","Puzzle,Logic",No Online Multiplayer,7,12
Age of Wonders: Planetfall,PlayStation4,"August 6, 2019",78,6.7,TriumphStudios,"Strategy,Turn-Based,General,4X",Up to 8 ,10,41
