name,platform,r-date,score,user score,developer,genre,players,critics,users
Fallout 3: Mothership Zeta,PC,"August 3, 2009",68,5.6,BethesdaSoftworks,"Role-Playing,First-Person,First-Person,Western-Style",No info,24,115
GORN,PlayStation4,"May 19, 2020",68,5.0,FreeLives,"Action,General",No Online Multiplayer,11,11
NASCAR 07,PlayStation2,"September 6, 2006",68,8.2,EATiburon,"Driving,Racing,Stock Car",4  Online,26,18
Wii Sports Club,WiiU,"November 7, 2013",68,7.0,Nintendo,"Sports,General,General,Individual,Athletics",Up to 4 ,21,122
Lost in Shadow,Wii,"January 4, 2011",68,8.7,HudsonSoft,"Action,Platformer,Platformer,3D,2D,3D",No info,38,22
Bone: Out From Boneville,PC,"September 15, 2005",68,6.5,TelltaleGames,"Adventure,3D,Fantasy,Third-Person",No Online Multiplayer,19,21
King of Seas,PC,"May 25, 2021",68,7.5,3DClouds,"Role-Playing,Adventure,General,Action RPG",No Online Multiplayer,14,4
Hatoful Boyfriend,PC,"February 15, 2012",68,7.1,HatoMoa,"General,Adventure,General,Visual Novel",No Online Multiplayer,35,94
Binary Domain,PC,"April 27, 2012",68,7.7,DevilsDetails,"Action,Action Adventure,Sci-Fi,Sci-Fi,General,Shooter,Third-Person,Tactical,Arcade",No info,11,357
Test Drive Unlimited 2,Xbox360,"February 8, 2011",68,6.5,"EdenStudios,Eden","Driving,Racing,Simulation,General,General,Automobile",Up to 8 ,61,92
Pathway,PC,"April 11, 2019",68,6.4,Robotality,"Strategy,Turn-Based,Tactics",No Online Multiplayer,15,28
Juiced,Xbox,"June 13, 2005",68,8.1,JuiceGames,"Driving,Racing,GT / Street",6  Online,39,20
The Ascent,XboxSeriesX,"July 29, 2021",68,7.9,NeonGiant,"Action Adventure,General,Role-Playing,Action RPG",No info,34,426
Mario Party: Star Rush,3DS,"November 4, 2016",68,6.9,"Nintendo,NdCube","Miscellaneous,Party / Minigame",No info,40,53
Major League Baseball 2K12,Xbox360,"March 6, 2012",68,6.4,VisualConcepts,"Sports,Traditional,Team,Baseball,Sim,Sim",2 ,19,22
Wii Party,Wii,"October 3, 2010",68,7.9,NdCube,"Miscellaneous,Party,Party,Party / Minigame",No info,42,101
Tokyo Crash Mobs,3DS,"January 17, 2013",68,7.4,Mitchell,"Miscellaneous,Puzzle,General,Puzzle,General",No info,25,10
Buzz! Master Quiz,PSP,"September 23, 2008",68,7.0,RelentlessSoftware,"Miscellaneous,Trivia / Game Show,Trivia / Game Show",4  Online,31,4
Costume Quest 2,PC,"October 7, 2014",68,7.3,DoubleFineProductions,"Role-Playing,Action RPG,Japanese-Style",No Online Multiplayer,27,38
Juiced 2: Hot Import Nights,Xbox360,"September 17, 2007",68,7.4,JuiceGames,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",Up to 8 ,24,26
Grand Theft Auto,GameBoyAdvance,"October 26, 2004",68,7.3,DigitalEclipse,"Action Adventure,Modern",1 Player,33,38
Doomsday Vault,Switch,"August 5, 2021",68,tbd,Flightless,"Adventure,3D,Third-Person",No info,11,0
Empire of Sin,XboxOne,"December 1, 2020",68,5.7,RomeroGamesLtd.,"Action Adventure,General",No Online Multiplayer,9,7
Doraemon: Story of Seasons,PlayStation4,"September 4, 2020",68,tbd,Brownies,"Strategy,Management,Business / Tycoon",No Online Multiplayer,8,0
Edna & Harvey: The Breakout - 10th Anniversary Edition,Switch,"June 17, 2020",68,tbd,"DaedalicEntertainment,TheKnightsofUnity","Adventure,General,Point-and-Click",No Online Multiplayer,7,0
Star Wars Jedi Knight: Jedi Academy,Switch,"March 26, 2020",68,5.4,Aspyr,"Action,Shooter,First-Person,Arcade",Up to 16 ,15,13
American Fugitive,XboxOne,"May 24, 2019",68,6.3,FallenTreeGames,"Action Adventure,Sandbox,Open-World",No Online Multiplayer,8,7
NASCAR Heat 3,XboxOne,"September 7, 2018",68,7.3,704Games,"Racing,Simulation,Automobile",Up to 40 ,7,8
The Council - Episode 3: Ripples,PlayStation4,"July 24, 2018",68,6.9,BigBadWolf,"Adventure,General",No Online Multiplayer,9,14
The 25th Ward: The Silver Case,PlayStation4,"March 13, 2018",68,8.0,GrasshopperManufacture,"Adventure,Visual Novel",No Online Multiplayer,15,34
One Piece: Unlimited World Red - Deluxe Edition,Switch,"September 29, 2017",68,7.1,Ganbarion,"Action,General",No info,13,19
"LEVEL 22, Gary's Misadventures",XboxOne,"January 29, 2016",68,7.1,"MovingPlayer,Noego","Action,General",No info,8,9
Kromaia Omega,PlayStation4,"October 16, 2015",68,5.9,KrakenEmpire,"Action,Shooter,Rail",No info,11,8
Warlocks vs Shadows,PC,"August 19, 2015",68,tbd,FrozenDistrict,"Role-Playing,Action RPG",Online Multiplayer,0,0
Five Nights at Freddy's 3,PC,"March 2, 2015",68,7.0,ScottCawthon,"Action,General",No Online Multiplayer,7,218
Assassin's Creed Unity: Dead Kings,PlayStation4,"January 13, 2015",68,6.5,"Ubisoft,UbisoftMontreal","Action Adventure,Historic,Open-World",No info,9,106
