name,platform,r-date,score,user score,developer,genre,players,critics,users
Zombie Revenge,Dreamcast,"December 31, 1999",60,8.3,Sega,"Action,Beat-'Em-Up",1-2 ,22,7
The Caligula Effect: Overdose,Switch,"March 12, 2019",60,6.1,Aquria,"Role-Playing,General",No Online Multiplayer,12,18
GoldenEye: Rogue Agent,PlayStation2,"November 22, 2004",60,6.8,EALA,"Action,Shooter,First-Person,Modern",8  Online,38,39
PokePark 2: Wonders Beyond,Wii,"February 27, 2012",60,7.7,CreaturesInc.,"Action Adventure,Adventure,General,Fantasy,General,Fantasy",No Online Multiplayer,18,52
.hack//G.U. vol. 3//Redemption,PlayStation2,"September 10, 2007",60,8.6,CyberConnect2,"Role-Playing,Action RPG",1 Player,15,21
The Peanuts Movie: Snoopy's Grand Adventure,XboxOne,"November 3, 2015",60,5.6,"Activision,BehaviourInteractive","Action,Platformer,2D",No info,9,5
The Complex,PlayStation4,"March 31, 2020",60,5.6,WalesInteractive,"Adventure,General",No Online Multiplayer,22,34
The Spiderwick Chronicles,DS,"February 5, 2008",60,tbd,StormfrontStudios,"Role-Playing,Adventure,Console-style RPG,General",No Online Multiplayer,8,0
James Cameron's Avatar: The Game,PlayStation3,"December 1, 2009",60,6.8,"Ubisoft,UbisoftMontreal","Action,General,General",Up to 16 ,44,62
Zoo Tycoon 2 DS,DS,"February 4, 2008",60,5.4,Altron,"Strategy,Breeding/Constructing,Management,Tycoon,Business / Tycoon",No Online Multiplayer,17,7
Cooking Mama 5: Bon Appetit!,3DS,"September 16, 2014",60,7.6,CookingMamaLimited,"Action,Simulation,Miscellaneous,General,Virtual,Career",No info,11,9
Helix,Wii,"August 25, 2008",60,8.3,GhostfireGames,"Action,Miscellaneous,Rhythm,Dancing,Dancing",No info,18,8
Yu-Gi-Oh! GX Tag Force 2,PSP,"September 18, 2007",60,8.3,Konami,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle",Online Multiplayer,7,13
King Arthur,GameCube,"November 18, 2004",60,tbd,KromeStudios,"Action Adventure,Fantasy",1-2 ,14,0
Monster House,GameCube,"July 18, 2006",60,tbd,ArtificialMindandMovement,"Action Adventure,Horror",1 Player,18,0
GoldenEye: Rogue Agent,GameCube,"November 22, 2004",60,6.6,EALA,"Action,Shooter,First-Person,Modern",2  Online,35,19
AC/DC Live: Rock Band Track Pack,PlayStation3,"November 2, 2008",60,5.3,HarmonixMusicSystems,"Action,Miscellaneous,Rhythm,Music,Music",No Online Multiplayer,12,14
Defiance,Xbox360,"April 2, 2013",60,7.2,TrionWorlds,"Role-Playing,Massively Multiplayer Online,Sci-Fi,Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",Massively Multiplayer,27,249
Fatal Frame: Maiden of Black Water,XboxSeriesX,"October 28, 2021",60,7.1,KoeiTecmoGames,"Action Adventure,Survival",No Online Multiplayer,9,8
The Town of Light,XboxOne,"June 6, 2017",60,6.6,"LKAInteractive,LKA","Adventure,3D,First-Person",No info,13,17
Puzzle Scape,PSP,"June 18, 2007",60,tbd,FarmindLtd,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",1-8 ,10,0
Tomb Raider Underworld: Beneath the Ashes,Xbox360,"February 24, 2009",60,7.4,CrystalDynamics,"Action Adventure,Adventure,General,General,Modern",No info,15,13
Ryse: Son of Rome,XboxOne,"November 22, 2013",60,6.4,Crytek,"Action Adventure,Fantasy,General,Fantasy,Linear",2 ,77,1694
Dragon Quest II: Luminaries of the Legendary Line,Switch,"September 27, 2019",60,6.2,SquareEnix,"Role-Playing,Japanese-Style",No Online Multiplayer,9,13
The Secret Saturdays: Beasts of the 5th Sun,Wii,"October 20, 2009",60,tbd,HighVoltageSoftware,"Action Adventure,Fantasy,General,Fantasy",No Online Multiplayer,8,0
Conflict: Vietnam,Xbox,"October 5, 2004",60,7.3,PivotalGames,"Action,Shooter,Third-Person,Historic",1-4 ,40,12
Sega Smash Pack,GameBoyAdvance,"September 23, 2002",60,5.0,CodeFire,"Miscellaneous,Compilation",1-2 ,14,6
Star X,GameBoyAdvance,"April 17, 2002",60,tbd,GraphicState,"Action,Shooter,Rail",No info,10,0
Atari Anniversary Edition,Dreamcast,"July 2, 2001",60,7.6,DigitalEclipse,"Miscellaneous,Compilation",No info,7,5
Black Mirror,PC,"November 28, 2017",60,4.8,KINGArt,"Adventure,3D,Third-Person",No Online Multiplayer,19,37
Buku Sudoku,Xbox360,"May 28, 2008",60,tbd,"AbsolutistLtd,Absolutist","Miscellaneous,Puzzle,Puzzle,Puzzle,Logic,Logic",8  Online,19,0
Guilty Gear Dust Strikers,DS,"April 25, 2006",60,6.1,ArcSystemWorks,"Action,Fighting,Fighting,2D,2D",1-4 ,25,10
The Shoot,PlayStation3,"October 19, 2010",60,6.5,CohortStudios,"Action,General,Shooter,Shooter,Third-Person,Light Gun,Light Gun,Modern",No Online Multiplayer,39,16
The Bunker,Switch,"April 9, 2018",60,1.8,Channel4,"Adventure,Point-and-Click",No Online Multiplayer,10,5
Spectra (2015),PC,"July 10, 2015",60,tbd,GatewayInteractive,"Futuristic,Racing,Arcade,Automobile",No Online Multiplayer,10,0
The Dwarves,PlayStation4,"December 1, 2016",60,5.5,NordicGamesPublishing,"Role-Playing,General",No info,12,32
Lifeless Planet: Premier Edition,PlayStation4,"July 19, 2016",60,4.6,Stage2Studios,"Action Adventure,General",No info,10,22
NBA Live 16,XboxOne,"September 29, 2015",60,5.6,EASports,"Sports,Team,Basketball,Sim",Up to 10 ,17,70
Create,Xbox360,"November 16, 2010",60,5.8,EABrightLight,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",No Online Multiplayer,19,10
Wario: Master of Disguise,DS,"March 5, 2007",60,7.5,Suzak,"Action,General,Platformer,Platformer,2D,2D",1 Player,35,30
Foreclosed,PlayStation5,"August 12, 2021",60,tbd,Antab,"Action Adventure,General",No info,12,0
Conglomerate 451,PC,"February 21, 2020",60,4.7,RuneHeads,"Action RPG,Role-Playing,Western-Style",No Online Multiplayer,18,7
SkateBIRD,XboxOne,"September 16, 2021",60,3.2,GlassBottomGames,"Sports,Individual,Skate / Skateboard",No info,11,6
Tennis World Tour 2,PC,"September 24, 2020",60,8.0,BigAntStudios,"Sports,Individual,Tennis",Up to 4 ,7,51
Bakugan Battle Brawlers,Xbox360,"October 20, 2009",60,6.2,NowProduction,"Action,General,General",No Online Multiplayer,16,13
Resident Evil 6,PlayStation4,"March 29, 2016",60,6.6,Capcom,"Action Adventure,Survival",Up to 6 ,19,506
James Noir's Hollywood Crimes,3DS,"November 1, 2011",60,6.6,Ubisoft,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",No info,22,7
