name,platform,r-date,score,user score,developer,genre,players,critics,users
Tennis World Tour 2,XboxOne,"September 22, 2020",58,7.8,BigAntStudios,"Sports,Individual,Tennis",Up to 4 ,12,58
The Suicide of Rachel Foster,PlayStation4,"September 9, 2020",58,6.0,ONEOONEGAMES,"Adventure,3D,First-Person",No Online Multiplayer,9,13
Ary and the Secret of Seasons,Switch,"September 1, 2020",58,5.2,Exiin,"Action Adventure,General",No Online Multiplayer,8,5
Sword Art Online: Alicization Lycoris,PlayStation4,"July 10, 2020",58,5.9,"BandaiNamcoGames,Aquria","Role-Playing,Japanese-Style",Up to 4 ,27,84
Memoranda,PC,"January 25, 2017",58,6.3,BitByterz,"Adventure,Point-and-Click",No Online Multiplayer,19,13
Pokemon Rumble World,3DS,"April 8, 2015",58,6.0,"Ambrella,ThePokemonCompany","Action,General,Beat-'Em-Up,3D",No Online Multiplayer,16,89
Dynasty Warriors 8 Empires,XboxOne,"February 24, 2015",58,6.8,KoeiTecmoGames,"Action,Beat-'Em-Up,3D",No info,10,16
Atomic Ninjas,PlayStation3,"October 8, 2013",58,5.6,GripGames,"Action,Platformer,Platformer,2D,2D",No info,8,11
God Mode,Xbox360,"April 19, 2013",58,6.3,OldSchoolGames,"Action,Shooter,Shooter,Third-Person,Fantasy,Fantasy,Arcade",1-4 ,8,27
BreakQuest,PSP,"March 18, 2010",58,5.9,Beatshapers,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",1 Player,10,15
Hotel Giant 2,PC,"January 27, 2010",58,2.5,EnlightSoftware,"Strategy,Tycoon,Management,Tycoon,Business / Tycoon",No info,7,22
Bee Movie Game,DS,"October 30, 2007",58,8.6,VicariousVisions,"Action,General,General",1 Player,9,63
Hired Guns: The Jagged Edge,PC,"October 19, 2007",58,6.4,GFIRussia,"Strategy,Turn-Based,Modern,Modern",No info,10,10
The Sims 2,GameBoyAdvance,"October 24, 2005",58,7.9,Maxis,"Miscellaneous,Virtual Life",No info,11,8
Trivial Pursuit Unhinged,Xbox,"March 24, 2004",58,8.0,ArtechStudios,"Miscellaneous,Trivia / Game Show",1-6 ,10,4
Egg Mania: Eggstreme Madness,Xbox,"September 11, 2002",58,tbd,HotGen,"Miscellaneous,Puzzle,General",1-2 ,7,0
Virtua Striker 2002,GameCube,"May 20, 2002",58,6.6,AmusementVision,"Sports,Traditional,Soccer,Sim",1-2 ,20,7
CART Fury Championship Racing,PlayStation2,"May 25, 2001",58,6.3,GratuitousGames,"Driving,Racing,Arcade",1-2 ,13,4
Q*Bert,Dreamcast,"November 30, 2000",58,7.2,ArtechDigitalEntertainment,"Action,General",No info,8,5
PGA European Tour,Nintendo64,"June 15, 2000",58,8.0,Infogrames,"Sports,Traditional,Golf,Sim",No info,12,4
Drakengard 2,PlayStation2,"February 14, 2006",58,7.0,CaviaInc.,"Role-Playing,Action RPG",1 Player,34,62
Blade Kitten,Xbox360,"September 22, 2010",58,6.4,KromeStudios,"Adventure,General,General",No info,27,15
Ninja Gaiden 3,Xbox360,"March 20, 2012",58,4.4,TeamNinja,"Action,Action Adventure,Platformer,General,Platformer,3D,3D",Up to 8 ,39,141
Pet Alien: An Intergalactic Puzzlepalooza,DS,"August 28, 2007",58,tbd,Shin'en,"Action,Platformer,Platformer,3D,3D",1 Player,16,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,DS,"November 1, 2005",58,7.4,Konami,"Action,Beat-'Em-Up,Beat-'Em-Up,2D,3D",No Online Multiplayer,10,10
Alone in the Dark,Xbox360,"June 23, 2008",58,5.5,EdenStudios,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer,53,172
Pro Evolution Soccer 2008,DS,"March 11, 2008",58,6.3,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,8,9
Assassin's Creed II: Battle of Forli,Xbox360,"January 28, 2010",58,6.5,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",No info,17,31
MySims Kingdom,DS,"October 28, 2008",58,6.5,TOSE,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",No Online Multiplayer,9,4
Stitchy in Tooki Trouble,Switch,"April 15, 2021",58,tbd,Polygoat,"Action,Platformer,2D",No Online Multiplayer,12,0
Hunter's Legacy,PC,"July 19, 2016",58,tbd,Lienzo,"Action,Action Adventure,Platformer,Open-World,2D",No Online Multiplayer,12,0
Space Hulk,PC,"August 15, 2013",58,6.6,"FullControlApS,FullControl","Strategy,Turn-Based,General,General",No info,22,167
