name,platform,r-date,score,user score,developer,genre,players,critics,users
Lost Orbit,PlayStation4,"May 12, 2015",77,7.1,PixelNAUTS,"Action,Platformer,2D",No info,19,23
Dragon's Crown,PlayStationVita,"August 6, 2013",77,8.4,Vanillaware,"Action,Role-Playing,Action RPG,Beat-'Em-Up,Action RPG,Beat-'Em-Up,2D",Up to 4 ,16,219
Observer,PlayStation4,"August 15, 2017",77,7.3,BlooberTeam,"Adventure,3D,First-Person",No Online Multiplayer,19,93
Pro Evolution Soccer 2009,PlayStation3,"March 17, 2009",77,7.6,KCET,"Sports,Traditional,Team,Soccer,Sim,Sim",4  Online,34,84
Metro 2033,Xbox360,"March 16, 2010",77,7.8,4AGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,83,430
Resident Evil 3,PC,"April 3, 2020",77,5.8,M-Two,"Action Adventure,Survival",No Online Multiplayer,30,1291
Exit,PSP,"February 14, 2006",77,7.6,TaitoCorporation,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",24  Online,36,15
The Sexy Brutale,PlayStation4,"April 11, 2017",77,7.7,"AbstractionGames,TequilaWorks,CavalierGameStudios","Adventure,General",No info,28,76
Sniper Elite 4,PlayStation4,"February 14, 2017",77,7.1,Rebellion,"Action,Shooter,First-Person,Tactical",Up to 12 ,55,304
Guilty Gear XX Accent Core,PlayStation2,"September 11, 2007",77,8.4,ArcSystemWorks,"Action,Fighting,2D",1-2 ,9,21
NHL Eastside Hockey Manager,PC,"October 19, 2004",77,6.9,SportsInteractive,"Sports,Traditional,Team,Ice Hockey,Management,Sim",1-32 ,7,10
Final Fantasy XI: Chains of Promathia,PlayStation2,"September 21, 2004",77,8.4,SquareEnix,"Role-Playing,Massively Multiplayer Online,Fantasy",Massively Multiplayer,13,14
F-Zero GP Legend,GameBoyAdvance,"September 20, 2004",77,8.3,Suzak,"Driving,Racing,Futuristic",1-4 ,31,27
MLB SlugFest: Loaded,PlayStation2,"June 23, 2004",77,7.7,PointofView,"Sports,Traditional,Baseball,Arcade",1-4 ,30,7
The Suffering,PlayStation2,"March 9, 2004",77,8.7,SurrealSoftware,"Action Adventure,Horror",1 Player,47,60
FIFA Soccer 2004,PC,"November 4, 2003",77,6.9,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",1-4 ,13,58
The Thing,PC,"August 20, 2002",77,7.6,ComputerArtworks,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer,19,65
All-Star Baseball 2002,PlayStation2,"March 12, 2001",77,7.6,AcclaimStudiosAustin,"Sports,Traditional,Baseball,Sim",1-4 ,16,8
Starfleet Command Volume II: Empires at War,PC,"December 13, 2000",77,6.4,Taldren,"Strategy,Real-Time,General,Tactics",1-6 ,16,7
Resident Evil 2,Dreamcast,"December 6, 2000",77,9.1,Capcom,"Action Adventure,Horror",No info,11,65
Demolition Racer: No Exit,Dreamcast,"October 23, 2000",77,8.7,PitbullSyndicate,"Driving,Demolition Derby",1-2 ,19,24
SimCity 3000 Unlimited,PC,"May 16, 2000",77,8.5,Maxis,"Strategy,City Building,Management,Modern,Modern,Government",1 Player,9,68
SkyDrift,Xbox360,"September 7, 2011",77,8.3,DigitalReality,"Driving,Racing,Arcade,Arcade,Other,Automobile",No info,24,23
NCAA Football 14,Xbox360,"July 9, 2013",77,6.0,EATiburon,"Sports,Traditional,Team,Football,Sim,Sim",Online Multiplayer,18,82
Evolve,PC,"February 9, 2015",77,4.3,TurtleRockStudios,"Action,Shooter,First-Person,Sci-Fi,Arcade",No info,39,970
Need for Speed: Hot Pursuit Remastered,XboxOne,"November 6, 2020",77,6.2,CriterionGames,"Racing,Arcade,Automobile",Up to 8 ,18,39
Cross Racing Championship 2005,PC,"October 4, 2005",77,7.0,Invictus,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",8  Online,12,6
Ruined King: A League of Legends Story,PlayStation4,"November 16, 2021",77,6.3,AirshipSyndicateEntertainment,"Role-Playing,General",No info,11,27
Disney Classic Games: Aladdin and the Lion King,PlayStation4,"October 29, 2019",77,5.0,DigitalEclipse,"Miscellaneous,Compilation",No Online Multiplayer,13,30
Inazuma Eleven Go: Chrono Stones: Wildfire,3DS,"March 27, 2015",77,7.9,Level5,"Sports,Soccer,Arcade,Team",No info,12,12
MotoGP 21,PlayStation5,"April 22, 2021",77,6.3,MilestoneS.r.l,"Racing,Simulation,Automobile",Up to 22 ,28,15
Unruly Heroes,XboxOne,"January 23, 2019",77,6.0,MagicDesignStudios,"Action,Platformer,2D",Online Multiplayer,9,20
Ruiner,XboxOne,"September 26, 2017",77,7.6,ReikonGames,"Action,General,Shooter,Third-Person,Arcade",No info,8,42
Borderlands: The Pre-Sequel,PlayStation3,"October 14, 2014",77,6.8,2KAustralia,"Action,Shooter,First-Person,Sci-Fi,Arcade",Up to 4 ,24,193
Transformers: War for Cybertron,PlayStation3,"June 22, 2010",77,8.1,HighMoonStudios,"Action,Action Adventure,Sci-Fi,Sci-Fi,General,Shooter,Third-Person,Arcade",No info,45,137
NHL 18,XboxOne,"September 12, 2017",77,4.1,EASports,"Sports,Team,Ice Hockey,Sim",No info,16,50
NHL 20,PlayStation4,"September 10, 2019",77,3.7,ElectronicArts,"Sports,Team,Ice Hockey,Sim",Up to 12 ,26,149
Darksiders Genesis,XboxOne,"February 14, 2020",77,5.8,AirshipSyndicateEntertainment,"Role-Playing,Action RPG",Online Multiplayer,13,42
Virtua Tennis 4: World Tour Edition,PlayStationVita,"February 15, 2012",77,7.9,Sega,"Sports,Traditional,Individual,Tennis,Tennis",Up to 4 ,35,64
Tropico 4,Xbox360,"October 18, 2011",77,7.6,"Haemimont,HaemimontGames","Strategy,Tycoon,Management,Tycoon,Government",No Online Multiplayer,18,40
Trajectile,DS,"January 4, 2010",77,tbd,Q-Games,"Action,General,General",1 Player,10,0
The Godfather,Xbox360,"September 19, 2006",77,7.8,ElectronicArts,"Action Adventure,Historic,General,Historic,Open-World",No Online Multiplayer,51,69
Riders Republic,PlayStation5,"October 28, 2021",77,6.9,Ubisoft,"Sports,Individual,Other",No info,49,97
Strider,PlayStation4,"February 18, 2014",77,7.1,DoubleHelixGames,"Fantasy,Action Adventure,General,Fantasy",No info,38,269
Grandia III,PlayStation2,"February 14, 2006",77,8.6,GameArts,"Role-Playing,Console-style RPG",1 Player,38,77
Super Monkey Ball: Banana Mania,XboxSeriesX,"October 5, 2021",77,7.8,Sega,"Miscellaneous,Compilation",No info,16,6
DOOM Eternal: The Ancient Gods Part Two,XboxOne,"March 18, 2021",77,6.7,idSoftware,"Action,Shooter,First-Person,Arcade",No info,7,17
Ys Origin,PlayStation4,"May 30, 2017",77,7.2,Falcom,"Role-Playing,Action RPG",No info,18,53
Day of Infamy,PC,"July 28, 2016",77,7.8,NewWorldInteractive,"Action,Shooter,First-Person,Tactical",Online Multiplayer,10,51
