name,platform,r-date,score,user score,developer,genre,players,critics,users
Crawl,XboxOne,"April 11, 2017",76,6.5,Powerhoof,"Role-Playing,General,Action RPG",No Online Multiplayer,8,6
The Magic Circle: Gold Edition,PlayStation4,"April 26, 2016",76,7.1,Question,"Adventure,3D,First-Person",No info,13,8
DISTRAINT,PC,"October 21, 2015",76,7.5,JesseMakkonen,"Adventure,General",No Online Multiplayer,8,78
Sayonara UmiharaKawase +,PlayStationVita,"April 21, 2015",76,8.2,StudioSaizensen,"Action,Platformer,2D",No info,8,13
Lone Survivor: The Director's Cut,WiiU,"October 16, 2014",76,8.0,"CurveStudios,superflatgames","Action Adventure,Horror,Survival",No info,7,16
Watch Dogs: Legion,XboxOne,"October 29, 2020",76,6.1,Ubisoft,"Action Adventure,Open-World",Up to 8 ,50,563
Digimon Story Cyber Sleuth: Complete Edition,Switch,"October 18, 2019",76,6.5,Media.Vision,"Miscellaneous,Compilation",2 ,20,133
Payday: The Heist,PC,"October 20, 2011",76,7.7,OverkillSoftware,"Action,Shooter,Shooter,First-Person,Fantasy,Fantasy,Arcade",No info,17,541
Snoopy vs. the Red Baron,PSP,"October 24, 2006",76,8.2,SmartBombInteractive,"Action Adventure,Fantasy,General,Fantasy",1-6 ,7,5
Paper Mario: Color Splash,WiiU,"October 7, 2016",76,7.1,"Nintendo,IntelligentSystems","Role-Playing,Japanese-Style",No Online Multiplayer,74,436
Batman: Arkham Origins,PlayStation3,"October 25, 2013",76,7.8,WBGamesMontreal,"Action Adventure,Fantasy,Fantasy,Open-World",No Online Multiplayer,46,893
Wulverblade,Switch,"October 12, 2017",76,7.5,DarkwindMedia,"Action,Beat-'Em-Up,2D",No Online Multiplayer,16,41
Furi,PC,"July 5, 2016",76,7.9,TheGameBakers,"Action,General,Fighting,3D",No Online Multiplayer,12,182
Forgotton Anne,PC,"May 15, 2018",76,7.4,ThroughlineGames,"Adventure,General",No Online Multiplayer,28,53
The Wild At Heart,PC,"May 19, 2021",76,7.5,MoonlightKids,"Adventure,General",No Online Multiplayer,14,15
Journey to the Savage Planet,PC,"January 28, 2020",76,6.7,TyphoonStudios,"Action Adventure,General",No Online Multiplayer,26,84
Everybody's Gone to the Rapture,PC,"April 14, 2016",76,5.4,TheChineseRoom,"Adventure,3D,First-Person",No Online Multiplayer,8,102
Phantom Brave: We Meet Again,Wii,"August 14, 2009",76,7.7,NipponIchiSoftware,"Strategy,Turn-Based,Fantasy,Fantasy,Tactics",No Online Multiplayer,12,17
Silent Hill 4: The Room,PlayStation2,"September 7, 2004",76,8.0,KCET,"Action Adventure,Horror",1 Player,54,351
UEFA Euro 2004: Portugal,PlayStation2,"May 4, 2004",76,6.4,EACanada,"Sports,Traditional,Soccer,Sim",1-4 ,21,18
Midtown Madness 3,Xbox,"June 17, 2003",76,8.2,DigitalIllusions,"Driving,Mission-based",1-8 ,41,37
Grand Prix Challenge,PlayStation2,"March 3, 2003",76,8.3,Atari,"Driving,Racing,Formula One",1-2 ,9,10
Harry Potter and the Chamber of Secrets,GameBoyAdvance,"November 14, 2002",76,7.6,EurocomEntertainmentSoftware,"Action Adventure,Fantasy",1 Player,11,19
Summoner 2,PlayStation2,"September 23, 2002",76,8.4,VolitionInc.,"Role-Playing,Action RPG",1 Player,20,25
MX Superfly,PlayStation2,"June 17, 2002",76,8.3,PacificCoastPower&Light,"Driving,Racing,Motorcycle,Motocross",1-2 ,13,7
NBA Live 2002,Xbox,"November 18, 2001",76,7.5,ElectronicArts,"Sports,Traditional,Basketball,Sim",1-4 ,15,6
LEGO Star Wars III: The Clone Wars,PlayStation3,"March 22, 2011",76,7.6,Traveller'sTales,"Action Adventure,Sci-Fi,Sci-Fi,General",No Online Multiplayer,36,51
SingStar Amped,PlayStation2,"September 18, 2007",76,tbd,SCEELondonStudio,"Miscellaneous,Rhythm,Music",1-8 ,20,0
Artifact,PC,"November 28, 2018",76,2.2,ValveSoftware,"Strategy,Turn-Based,Card Battle",Online Multiplayer,20,614
Firewatch,PlayStation4,"February 9, 2016",76,6.8,CampoSanto,"Adventure,3D,First-Person",No info,45,649
Darius Cozmic Collection: Arcade,Switch,"June 16, 2020",76,tbd,"M2,ININGames","Miscellaneous,Compilation",No Online Multiplayer,13,0
Pro Evolution Soccer 2016,PC,"September 16, 2015",76,4.3,Konami,"Sports,Team,Soccer,Sim",No info,12,316
Diablo III: Rise of the Necromancer,PC,"June 27, 2017",76,4.6,BlizzardEntertainment,"Role-Playing,Action RPG",No info,23,180
Wii Sports,Wii,"November 19, 2006",76,8.1,Nintendo,"Sports,General,General,Individual,Athletics",No Online Multiplayer,51,467
The Sims 2: Nightlife,PC,"September 13, 2005",76,6.8,Maxis,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",1 Player,31,77
Konami Classics Series: Arcade Hits,DS,"March 30, 2007",76,tbd,M2,"Miscellaneous,Compilation,Compilation",No Online Multiplayer,29,0
Ultimate Spider-Man,GameCube,"September 21, 2005",76,7.8,Treyarch,"Action,Beat-'Em-Up",1 Player,36,29
"Warhammer 40,000: Space Marine",Xbox360,"September 6, 2011",76,7.9,Relic,"Action,Role-Playing,Action RPG,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",16  Online,57,246
Destiny 2: Beyond Light,PlayStation4,"November 10, 2020",76,3.9,Bungie,"Action,Shooter,First-Person,Arcade",No info,16,89
Nobunaga's Ambition: Iron Triangle,PlayStation2,"January 27, 2009",76,8.3,Koei,"Strategy,Turn-Based,Historic",1 Player,8,9
Scene It? Box Office Smash,Xbox360,"October 28, 2008",76,7.4,"KromeStudios,ScreenlifeGames","Miscellaneous,Trivia / Game Show,Trivia / Game Show",Up to 4 ,32,25
Legend of Keepers: Career of a Dungeon Manager,PC,"April 29, 2021",76,tbd,GoblinzStudio,"Strategy,Turn-Based,Tactics",No Online Multiplayer,13,0
Langrisser I & II,Switch,"March 10, 2020",76,7.3,Kadokawa,"Strategy,Miscellaneous,Turn-Based,Compilation,Tactics",No Online Multiplayer,15,23
Worms,PlayStation3,"March 26, 2009",76,7.6,Team17,"Strategy,Turn-Based,Wargame,Turn-Based,Fantasy,Artillery",Up to 4 ,9,18
Suikoden V,PlayStation2,"March 21, 2006",76,8.7,Konami,"Role-Playing,Console-style RPG",1 Player,43,142
The King of Fighters 02/03,Xbox,"August 31, 2005",76,tbd,SNK,"Miscellaneous,Compilation",2  Online,23,0
Demigod,PC,"April 14, 2009",76,7.8,GasPoweredGames,"Strategy,Real-Time,Fantasy,MOBA,MOBA",Online Multiplayer,50,198
The Sims 4: Paranormal Stuff Pack,PC,"January 26, 2021",76,tbd,Maxis,"Simulation,Virtual,Virtual Life",No Online Multiplayer,9,0
The Jackbox Party Pack 7,Switch,"October 15, 2020",76,7.5,"JackboxGames,Inc.","Miscellaneous,Party / Minigame",Up to 8 ,7,6
A Hat in Time,Switch,"October 18, 2019",76,8.2,GearsforBreakfast,"Action,Platformer,3D",No Online Multiplayer,7,49
Amnesia Collection,Switch,"September 12, 2019",76,7.1,FrictionalGames,"Miscellaneous,Compilation",No Online Multiplayer,7,14
RIDE 3,XboxOne,"November 30, 2018",76,7.2,"MileStoneInc.,MilestoneS.r.l","Racing,Simulation,Automobile",Up to 12 ,8,16
XType Plus,WiiU,"August 14, 2014",76,8.2,PhobosLab,"Action,Shooter,Static,Shoot-'Em-Up,Top-Down",No info,7,19
Pokemon Emerald Version,GameBoyAdvance,"April 30, 2005",76,8.9,GameFreak,"Role-Playing,Console-style RPG",1-4 ,28,755
Metal Gear Solid V: Ground Zeroes,XboxOne,"March 18, 2014",76,5.7,KojimaProductions,"Action Adventure,General,Modern,Open-World",No info,13,388
Tales of Hearts R,PlayStationVita,"November 11, 2014",76,8.1,7thChord,"Role-Playing,Action RPG,Console-style RPG,Japanese-Style",No Online Multiplayer,35,123
LEGO Marvel Super Heroes 2,Switch,"November 14, 2017",76,7.1,TTGames,"Action,Platformer,3D",No Online Multiplayer,10,68
1000 Tiny Claws,PSP,"October 4, 2011",76,6.3,Mediatonic,"Action,General,General",No info,8,4
RoboBlitz,Xbox360,"November 28, 2006",76,8.3,NakedSkyEntertainment,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",1 Player,22,12
Sam & Max: The Devil's Playhouse - Episode 4: Beyond the Alley of the Dolls,PC,"July 20, 2010",76,7.7,TelltaleGames,"Miscellaneous,Adventure,General,3D,Compilation,Third-Person",No Online Multiplayer,19,20
Maskmaker,PC,"April 20, 2021",76,tbd,"InnerspaceVR,InnerspaceVR","Adventure,3D,First-Person",No Online Multiplayer,10,0
TouchMaster 2,DS,"October 21, 2008",76,tbd,MidwayStudios-SanDiego,"Miscellaneous,Puzzle,Puzzle,General,General",1 Player,8,0
Mary Skelter: Nightmares,PlayStationVita,"September 19, 2017",76,8.6,CompileHeart,"Role-Playing,Action RPG,Roguelike",No Online Multiplayer,14,37
Sports Champions,PlayStation3,"September 7, 2010",76,7.8,"SCEA,ZindagiGames","Sports,General,General,Individual,Athletics",No Online Multiplayer,64,122
Max & the Magic Marker,Wii,"March 8, 2010",76,8.4,PressPlay,"Action,Platformer,Platformer,2D,2D",1 Player,21,25
Tomb Raider: Underworld,Xbox360,"November 18, 2008",76,6.8,CrystalDynamics,"Action Adventure,Modern,General,Modern",No Online Multiplayer,57,218
Jurassic World Evolution,XboxOne,"June 12, 2018",76,6.8,FrontierDevelopments,"Strategy,Management,Business / Tycoon",No Online Multiplayer,17,59
American Truck Simulator,PC,"February 2, 2016",76,7.2,SCSSoftware,"Simulation,Vehicle,Civilian",No Online Multiplayer,31,284
The Outer Worlds: Murder on Eridanos,PC,"March 17, 2021",76,7.1,ObsidianEntertainment,"Role-Playing,Western-Style",No info,19,25
Floor Kids,Switch,"December 7, 2017",76,7.5,MerjMedia,"Action,Rhythm,Dancing",No Online Multiplayer,16,22
Wonderbook: Diggs Nightcrawler,PlayStation3,"November 12, 2013",76,tbd,ExientEntertainment,"Miscellaneous,General,General",No Online Multiplayer,18,0
Ghostbusters: The Video Game,Wii,"June 16, 2009",76,8.3,RedFlyStudio,"Action,General,General",No Online Multiplayer,29,35
Star Wars Jedi Knight: Jedi Academy,Xbox,"November 19, 2003",76,8.1,VicariousVisions,"Action,Shooter,First-Person,Sci-Fi",1-2 ,30,43
Mortal Kombat vs. DC Universe,PlayStation3,"November 16, 2008",76,7.0,Midway,"Action,Fighting,Fighting,3D,2D,3D",2  Online,44,145
Jak X: Combat Racing,PlayStation2,"October 18, 2005",76,7.9,NaughtyDog,"Driving,Mission-based",6  Online,46,111
Shin Megami Tensei III: Nocturne HD Remaster,PlayStation4,"May 24, 2021",76,7.5,"AtlusCo.,Atlus","Role-Playing,Japanese-Style",No Online Multiplayer,34,37
Dead Space 3,PlayStation3,"February 5, 2013",76,6.5,VisceralGames,"Action,Action Adventure,Shooter,Shooter,Linear,Third-Person,Sci-Fi,Sci-Fi",2 ,37,600
The Wonderful 101: Remastered,PlayStation4,"May 19, 2020",76,6.4,PlatinumGames,"Action,General",Up to 5 ,10,48
Shenmue I & II,PC,"August 21, 2018",76,7.9,"Sega,d3tLtd","Miscellaneous,Compilation",No Online Multiplayer,14,109
Horizon Chase Turbo,PC,"May 15, 2018",76,7.6,AquirisGameStudio,"Racing,Arcade,Automobile",No Online Multiplayer,7,49
.hack//G.U. Last Recode,PlayStation4,"November 3, 2017",76,8.1,CyberConnect2,"Miscellaneous,Compilation",No Online Multiplayer,21,68
Redout,XboxOne,"August 29, 2017",76,7.8,34BigThings,"Racing,General,Arcade,Futuristic",No info,10,29
Unit 4,XboxOne,"May 24, 2017",76,7.0,"GameraGames,GameraInteractive","Action,Platformer,2D",No info,10,10
Watch Dogs: Bad Blood,PlayStation4,"September 30, 2014",76,7.3,UbisoftMontreal,"Action Adventure,General,Modern,Open-World",No info,9,89
Madden NFL 25,PlayStation3,"August 27, 2013",76,4.2,EASports,"Sports,Traditional,Team,Football,Arcade,Arcade,Sim",Up to 6 ,19,94
