,name,platform,r_date,score,user score,developer,genre,players,critics,users,SMA_year
4184,Dead Rising,Xbox360,2006-08-08,85,7.7,Capcom,"Action Adventure,Horror,Horror,Open-World",No Online Multiplayer,82,577,8.305714285714286
4190,Dirge of Cerberus: Final Fantasy VII,PlayStation2,2006-08-15,57,7.9,SquareEnix,"Action Adventure,Fantasy",1 Player,51,273,7.9125
4198,Madden NFL 07,PlayStation2,2006-08-22,84,8.2,EASports,"Sports,Traditional,Football,Sim",1-2 ,29,44,7.313333333333333
4236,Mario Hoops: 3 on 3,DS,2006-09-11,69,7.8,SquareEnix,"Sports,Traditional,Team,Basketball,Arcade,Arcade",1-4 ,40,57,7.8999999999999995
4242,NHL 07,Xbox360,2006-09-12,79,5.3,EASports,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",4  Online,49,168,7.248387096774193
4243,NHL 07,Xbox,2006-09-12,75,6.6,EASports,"Sports,Traditional,Ice Hockey,Sim",4  Online,14,7,7.2281249999999995
4246,NHL 07,PlayStation2,2006-09-12,76,4.7,EASports,"Sports,Traditional,Ice Hockey,Sim",4  Online,11,53,7.1515151515151505
4247,NHL 07,PSP,2006-09-12,76,6.6,EASports,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",4  Online,7,27,7.135294117647058
4255,NHL 07,PC,2006-09-12,72,4.2,EASports,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",2  Online,10,32,7.051428571428571
4273,Open Season,Xbox360,2006-09-19,59,7.3,Ubisoft,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,15,9,7.58
4279,NBA Live 07,PlayStation2,2006-09-25,63,6.0,EASports,"Sports,Traditional,Basketball,Sim",2  Online,12,39,7.09
4282,NBA Live 07,Xbox,2006-09-25,69,6.6,EASports,"Sports,Traditional,Basketball,Sim",1-4 ,14,14,7.074193548387096
4288,NBA Live 07,PC,2006-09-25,61,3.9,EASports,"Sports,Traditional,Team,Basketball,Sim,Sim",2  Online,9,29,6.975
4290,NBA Live 07,PSP,2006-09-25,64,7.5,EASports,"Sports,Traditional,Team,Basketball,Sim,Sim",2  Online,9,4,6.99090909090909
4293,NBA Live 07,Xbox360,2006-09-25,59,5.0,EASports,"Sports,Traditional,Team,Basketball,Sim,Sim",1-4 ,32,60,6.93235294117647
4295,Dance Dance Revolution SuperNOVA,PlayStation2,2006-09-26,73,7.8,Konami,"Miscellaneous,Rhythm,Dancing",2  Online,25,8,7.482608695652174
4321,FIFA 07 Soccer,PC,2006-10-03,78,7.8,EASports,"Sports,Traditional,Team,Soccer,Sim,Sim",4  Online,16,72,6.957142857142857
4324,FIFA 07 Soccer,GameCube,2006-10-03,80,8.3,EACanada,"Sports,Traditional,Soccer,Sim",1-4 ,11,11,7.7625
4326,FIFA 07 Soccer,DS,2006-10-03,72,6.2,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",1 Player,8,9,7.735087719298245
4327,FIFA 07 Soccer,Xbox,2006-10-03,85,8.1,EASports,"Sports,Traditional,Soccer,Sim",4  Online,23,15,6.988888888888889
4366,Nintendogs: Dalmatian & Friends,DS,2006-10-16,83,7.4,Nintendo,"Simulation,Miscellaneous,Virtual Life,Virtual Life,Virtual,Pet",1 Player,7,28,7.970588235294118
4375,FIFA 07 Soccer,PSP,2006-10-17,80,8.4,EASports,"Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,15,27,7.027027027027027
4393,Sam & Max Episode 101: Culture Shock,PC,2006-10-18,81,7.7,TelltaleGames,"Adventure,General,3D,Point-and-Click,Third-Person",No Online Multiplayer,47,39,7.15
4424,Tom Clancy's Splinter Cell Double Agent,PlayStation2,2006-10-24,84,8.3,UbisoftMontreal,"Action Adventure,Modern",4  Online,13,47,7.938461538461539
4428,Tom Clancy's Splinter Cell Double Agent,GameCube,2006-10-26,64,6.7,UbisoftMontreal,"Action Adventure,Modern",1-2 ,8,9,7.8500000000000005
4437,Power Stone Collection,PSP,2006-10-31,74,7.3,Capcom,"Miscellaneous,Compilation,Compilation",Up to 4 ,34,9,8.284848484848483
4439,Final Fantasy XII,PlayStation2,2006-10-31,92,7.6,SquareEnix,"Role-Playing,Console-style RPG",1 Player,64,1466,7.75
4440,Need for Speed Carbon: Own the City,PSP,2006-10-31,73,8.0,EACanada,"Driving,Racing,Simulation,Arcade,GT / Street,GT / Street,Automobile",Up to 4 ,14,55,7.7320754716981135
4441,Need for Speed Carbon,GameCube,2006-10-31,75,7.9,EACanada,"Driving,Racing,GT / Street",1-2 ,12,21,7.735185185185186
4442,Need for Speed Carbon,Xbox360,2006-10-31,77,6.7,EACanada,"Driving,Racing,Simulation,Arcade,GT / Street,GT / Street,Automobile",Up to 8 ,52,101,7.716363636363637
4444,Need for Speed Carbon,Xbox,2006-10-31,74,7.5,EACanada,"Driving,Racing,GT / Street",1-2 ,19,16,7.7125
4447,FIFA 07 Soccer,Xbox360,2006-10-31,73,7.5,EASports,"Sports,Traditional,Team,Soccer,Sim,Sim",4  Online,39,53,7.0394736842105265
4449,Need for Speed Carbon,PlayStation2,2006-10-31,74,8.4,EACanada,"Driving,Racing,GT / Street",1-2 ,26,104,7.724561403508772
4487,My Frogger: Toy Trials,DS,2006-11-13,66,6.0,Konami,"Action,General,General",1-4 ,10,4,7.514999999999999
4494,Yu-Gi-Oh! GX Tag Force,PSP,2006-11-14,62,8.6,Konami,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle",2  Online,8,42,7.5666666666666655
4516,Madden NFL 07,Wii,2006-11-14,81,8.1,EACanada,"Sports,Traditional,Team,Football,Sim,Sim",No Online Multiplayer,35,17,7.715789473684211
4540,Need for Speed Carbon,PlayStation3,2006-11-16,75,7.4,EACanada,"Driving,Racing,Simulation,Arcade,GT / Street,GT / Street,Automobile",Up to 8 ,31,67,7.678571428571429
4551,Need for Speed Carbon,Wii,2006-11-19,67,7.5,EACanada,"Driving,Racing,Simulation,Arcade,GT / Street,GT / Street,Automobile",No Online Multiplayer,21,29,7.681818181818182
4554,The Legend of Zelda: Twilight Princess,Wii,2006-11-19,95,9.0,Nintendo,"Action Adventure,Fantasy,General,Fantasy,Open-World",No Online Multiplayer,73,2177,8.046666666666667
4555,Monster 4X4: World Circuit,Wii,2006-11-19,51,7.8,Ubisoft,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",No Online Multiplayer,11,18,7.621428571428572
4556,Wii Sports,Wii,2006-11-19,76,8.1,Nintendo,"Sports,General,General,Individual,Athletics",No Online Multiplayer,51,462,8.05
4563,Tom Clancy's Rainbow Six Vegas,Xbox360,2006-11-20,88,8.2,UbisoftMontreal,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",16  Online,69,243,7.873333333333333
4590,Castlevania: Portrait of Ruin,DS,2006-12-05,85,8.3,Konami,"Action,Role-Playing,Platformer,Platformer,Action RPG,2D,2D",No Online Multiplayer,51,118,7.6
4599,Star Wars: Lethal Alliance,PSP,2006-12-07,61,6.8,UbisoftMontreal,"Action Adventure,Sci-Fi,Sci-Fi,General",1-2 ,31,10,7.684615384615385
4603,The Legend of Zelda: Twilight Princess,GameCube,2006-12-11,96,8.9,Nintendo,"Action Adventure,Fantasy",1 Player,16,902,8.0875
4605,Blazing Angels: Squadrons of WWII,PlayStation3,2006-12-12,67,7.0,Ubisoft,"Simulation,Flight,WWII,WWII,Combat",Up to 16 ,26,13,7.684615384615385
4606,Elebits,Wii,2006-12-12,75,7.3,Konami,"Action,General,General",No Online Multiplayer,46,38,7.586956521739131
4608,Far Cry Vengeance,Wii,2006-12-12,38,5.4,UbisoftMontreal,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",No Online Multiplayer,23,59,7.521428571428571
4610,Tom Clancy's Rainbow Six: Vegas,PC,2006-12-12,85,7.6,UbisoftMontreal,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",16  Online,22,155,7.526666666666667
4615,Sam & Max Episode 102: Situation: Comedy,PC,2006-12-20,79,7.4,TelltaleGames,"Adventure,General,3D,Point-and-Click,Third-Person",No Online Multiplayer,36,19,7.2
4620,Yu-Gi-Oh! GX: Spirit Caller,DS,2007-01-02,66,8.2,Konami,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle",2  Online,12,28,7.6125
4625,Lost Planet: Extreme Condition,Xbox360,2007-01-12,79,7.1,Capcom,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",Up to 16 ,76,212,8.315625
4628,Phoenix Wright: Ace Attorney - Justice for All,DS,2007-01-16,76,8.6,Capcom,"Adventure,First-Person,Visual Novel,Modern,Modern",No Online Multiplayer,51,171,8.324242424242424
4631,NCAA March Madness 07,PlayStation2,2007-01-17,63,8.6,EACanada,"Sports,Traditional,Basketball,Sim",2  Online,9,8,7.698214285714286
4639,"Sam & Max Episode 103: The Mole, the Mob and the Meatball",PC,2007-01-25,74,7.5,TelltaleGames,"Adventure,General,3D,Point-and-Click,Third-Person",No Online Multiplayer,30,20,7.25
4648,MVP 07 NCAA Baseball,PlayStation2,2007-02-06,76,8.4,EACanada,"Sports,Traditional,Baseball,Sim",4  Online,25,15,7.7105263157894735
4655,Winning Eleven: Pro Evolution Soccer 2007,PlayStation2,2007-02-06,86,8.9,Konami,"Sports,Traditional,Soccer,Sim",8  Online,19,52,7.664
4660,Wii Play,Wii,2007-02-12,58,6.6,Nintendo,"Miscellaneous,Party,Party,Party / Minigame",No Online Multiplayer,41,170,8.0
4681,NBA Street Homecourt,Xbox360,2007-02-20,80,7.8,EACanada,"Sports,Traditional,Team,Basketball,Arcade,Arcade",2  Online,42,33,7.6909090909090905
4683,Sam & Max Episode 104: Abe Lincoln Must Die!,PC,2007-02-22,80,7.4,TelltaleGames,"Adventure,General,3D,Point-and-Click,Third-Person",1 Player,24,45,7.271428571428571
4695,Dance Dance Revolution Universe,Xbox360,2007-02-27,74,8.0,Konami,"Action,Miscellaneous,Rhythm,Dancing,Dancing",Up to 4 ,26,6,7.636
4713,NBA Street Homecourt,PlayStation3,2007-03-06,81,6.2,EACanada,"Sports,Traditional,Team,Basketball,Arcade,Arcade",2  Online,31,17,7.653703703703704
4726,Rocky Balboa,PSP,2007-03-13,58,6.6,Ubisoft,"Sports,Traditional,Individual,Boxing,Boxing,Combat,Boxing / Martial Arts",2 ,17,11,7.607142857142857
4733,TMNT,Xbox360,2007-03-20,58,6.5,UbisoftMontreal,"Action,Beat-'Em-Up,Beat-'Em-Up,2D,3D",No Online Multiplayer,31,35,7.4625
4742,TMNT,PlayStation2,2007-03-20,61,5.9,UbisoftMontreal,"Action,Beat-'Em-Up",1 Player,19,9,7.370588235294117
4748,TMNT,PSP,2007-03-20,37,4.3,UbisoftMontreal,"Action,Beat-'Em-Up,Beat-'Em-Up,2D,3D",1-2 ,7,16,7.199999999999999
4749,TMNT,GameBoyAdvance,2007-03-20,80,7.3,UbisoftMontreal,"Action,Beat-'Em-Up",1 Player,7,16,7.205263157894737
4755,Blazing Angels: Squadrons of WWII,Wii,2007-03-20,57,6.8,Ubisoft,"Simulation,Flight,WWII,WWII,Combat",No Online Multiplayer,11,31,7.535714285714286
4756,TMNT,Wii,2007-03-20,60,5.9,UbisoftMontreal,"Action,Beat-'Em-Up,Beat-'Em-Up,2D,3D",No Online Multiplayer,17,11,7.140000000000001
4758,UEFA Champions League 2006-2007,Xbox360,2007-03-20,72,8.2,EACanada,"Sports,Traditional,Team,Soccer,Management,Management",1-2 ,27,11,7.663636363636364
4761,Yu-Gi-Oh! World Championship 2007,DS,2007-03-20,76,7.7,Konami,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle",1-2 ,8,23,7.691999999999999
4763,UEFA Champions League 2006-2007,PlayStation2,2007-03-20,72,7.4,EACanada,"Sports,Traditional,Soccer,Management",1-8 ,13,8,7.658928571428572
4764,TMNT,PC,2007-03-20,55,7.0,UbisoftMontreal,"Action,Beat-'Em-Up,Beat-'Em-Up,2D,3D",1 Player,11,41,7.133333333333334
4773,Brian Lara International Cricket 2007,PC,2007-03-23,71,8.6,Codemasters,"Sports,Alternative,Team,Cricket,Cricket",No info,7,9,7.95
4784,Sam & Max Episode 105: Reality 2.0,PC,2007-03-29,82,7.5,TelltaleGames,"Adventure,General,3D,Point-and-Click,Third-Person",No Online Multiplayer,23,22,7.3
4789,Prince of Persia: Rival Swords,Wii,2007-04-03,70,7.8,UbisoftMontreal,"Action Adventure,Fantasy,General,Fantasy",1 Player,30,23,6.844444444444444
4824,Sam & Max Episode 106: Bright Side of the Moon,PC,2007-04-26,79,6.9,TelltaleGames,"Adventure,General,3D,Point-and-Click,Third-Person",No Online Multiplayer,26,16,7.2555555555555555
4853,Resident Evil 4,PC,2007-05-15,76,7.8,Capcom,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer,15,415,8.328571428571427
4877,Dawn of Mana,PlayStation2,2007-05-24,57,7.4,SquareEnix,"Action Adventure,Fantasy",1 Player,27,18,7.625
4890,Surf's Up,PlayStation3,2007-05-30,59,5.1,UbisoftMontreal,"Sports,Alternative,Individual,Surfing,Surfing,Surf / Wakeboard",No Online Multiplayer,8,7,6.752631578947367
4891,Surf's Up,Wii,2007-05-30,64,5.8,UbisoftMontreal,"Sports,Alternative,Individual,Surfing,Surfing,Surf / Wakeboard",2  Online,9,4,6.705
4893,Surf's Up,Xbox360,2007-05-30,61,6.2,Ubisoft,"Sports,Alternative,Individual,Surfing,Surfing,Surf / Wakeboard",No Online Multiplayer,15,10,7.3769230769230765
4907,Big Brain Academy: Wii Degree,Wii,2007-06-11,68,7.0,Nintendo,"Miscellaneous,Edutainment,Edutainment",1-8 ,33,41,7.953333333333334
4908,Tom Clancy's Rainbow Six Vegas,PSP,2007-06-12,60,7.0,UbisoftMontreal,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",Up to 4 ,20,35,6.719047619047619
4924,DiRT,Xbox360,2007-06-19,83,7.5,Codemasters,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",2  Online,59,102,7.859999999999999
4927,Resident Evil 4: Wii Edition,Wii,2007-06-19,91,8.9,Capcom,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer,49,478,8.389285714285714
4930,DiRT,PC,2007-06-19,84,7.3,Codemasters,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",2  Online,20,113,7.766666666666667
4957,Tom Clancy's Rainbow Six Vegas,PlayStation3,2007-06-26,86,7.6,UbisoftMontreal,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",14  Online,32,91,6.759090909090909
4958,Lost Planet: Extreme Condition,PC,2007-06-26,66,7.2,Capcom,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",16  Online,23,359,8.329629629629629
4989,NCAA Football 08,PlayStation3,2007-07-17,77,7.9,EASports,"Sports,Traditional,Team,Football,Sim,Sim",2  Online,13,29,6.780645161290322
4991,NCAA Football 08,Xbox360,2007-07-17,81,7.8,EASports,"Sports,Traditional,Team,Football,Sim,Sim",2  Online,30,46,6.8125
4992,Rugby 08,PlayStation2,2007-07-17,74,7.5,EACanada,"Sports,Alternative,Rugby",1-4 ,21,26,7.661538461538462
5004,Super Contra,Xbox360,2007-07-25,61,6.3,Konami,"Action,Shooter,Platformer,Shooter,Scrolling,2D,Scrolling,Shoot-'Em-Up,Horizontal",2  Online,10,8,7.721739130434782
5017,Mega Man Star Force: Leo,DS,2007-08-07,58,8.6,Capcom,"Role-Playing,Action RPG,Action RPG",6  Online,20,58,8.322222222222221
5018,Mega Man Star Force: Dragon,DS,2007-08-07,60,8.5,Capcom,"Role-Playing,Action RPG,Action RPG",6  Online,19,62,8.328571428571427
5020,Mega Man Star Force: Pegasus,DS,2007-08-07,60,8.6,Capcom,"Role-Playing,Action RPG,Action RPG",6  Online,17,59,8.337931034482759
5038,Brain Age 2: More Training in Minutes a Day,DS,2007-08-20,77,7.2,Nintendo,"Miscellaneous,Edutainment,Edutainment",1-16 ,37,26,7.906250000000001
5071,Monster Hunter Freedom 2,PSP,2007-08-28,72,8.5,Capcom,"Role-Playing,Action RPG,Action RPG",Up to 4 ,38,95,8.343333333333334
5094,DiRT,PlayStation3,2007-09-11,83,8.1,Codemasters,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",8  Online,32,38,7.814285714285715
5095,NHL 08,PlayStation3,2007-09-11,86,7.0,EACanada,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",Up to 12 ,23,24,7.616326530612245
5099,NHL 08,PC,2007-09-11,65,4.4,EACanada,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",8  Online,8,20,7.552
5100,NHL 08,Xbox360,2007-09-12,85,8.2,EACanada,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",Up to 8 ,44,44,7.56470588235294
5116,Yu-Gi-Oh! GX Tag Force 2,PSP,2007-09-18,60,8.2,Konami,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle",Online Multiplayer,7,12,7.721739130434782
5140,Dance Dance Revolution Hottest Party,Wii,2007-09-25,73,7.1,Konami,"Action,Miscellaneous,Rhythm,Dancing,Dancing",1-4 ,16,27,7.695833333333333
5141,CSI: Crime Scene Investigation: Hard Evidence,PC,2007-09-25,63,6.3,TelltaleGames,"Adventure,General,General,Point-and-Click",No Online Multiplayer,9,12,7.2333333333333325
5144,CSI: Crime Scene Investigation: Hard Evidence,Xbox360,2007-09-26,48,5.6,TelltaleGames,"Adventure,General,General,Point-and-Click",No Online Multiplayer,13,17,7.07
5148,NBA Live 08,PSP,2007-10-01,73,6.7,EACanada,"Sports,Traditional,Team,Basketball,Sim,Sim",2  Online,11,6,7.585714285714286
5150,The Legend of Zelda: Phantom Hourglass,DS,2007-10-01,90,8.0,Nintendo,"Action Adventure,Fantasy,Fantasy,Open-World",2 ,57,566,7.928571428571429
5151,NBA Live 08,PlayStation3,2007-10-01,73,6.8,EACanada,"Sports,Traditional,Team,Basketball,Sim,Sim",Up to 8 ,28,10,7.57
5152,NBA Live 08,Wii,2007-10-01,52,7.1,EACanada,"Sports,Traditional,Team,Basketball,Sim,Sim",1-4 ,11,21,7.560784313725491
5153,NBA Live 08,Xbox360,2007-10-01,73,5.3,EACanada,"Sports,Traditional,Team,Basketball,Sim,Sim",Up to 4 ,37,19,7.517307692307693
5154,NBA Live 08,PlayStation2,2007-10-01,68,6.7,EACanada,"Sports,Traditional,Basketball,Sim",2  Online,10,10,7.50188679245283
5173,MLB Power Pros,PlayStation2,2007-10-03,80,8.2,Konami,"Sports,Traditional,Baseball,Arcade",1-2 ,10,13,7.716
5174,MLB Power Pros,Wii,2007-10-03,83,8.0,Konami,"Sports,Traditional,Team,Baseball,Arcade,Arcade",No Online Multiplayer,12,48,7.726923076923077
5178,FIFA Soccer 08,PSP,2007-10-08,79,7.5,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,7,17,7.46875
5184,FIFA Soccer 08,Wii,2007-10-09,65,6.0,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,13,27,7.438775510204081
5190,FIFA Soccer 08,PC,2007-10-09,77,6.6,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,7,80,7.422000000000001
5197,FIFA Soccer 08,PlayStation2,2007-10-09,83,6.9,EACanada,"Sports,Traditional,Soccer,Sim",4  Online,12,46,7.411764705882353
5198,FIFA Soccer 08,PlayStation3,2007-10-09,81,6.9,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",4  Online,28,52,7.401923076923077
5204,FIFA Soccer 08,Xbox360,2007-10-09,82,7.6,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",32  Online,43,61,7.40566037735849
5244,EA Playground,Wii,2007-10-22,66,7.6,EACanada,"Action,General,General",1-4 ,32,30,7.36530612244898
5249,Castlevania: The Dracula X Chronicles,PSP,2007-10-23,80,8.2,Konami,"Action,Miscellaneous,Platformer,Platformer,Compilation,2D,2D",No Online Multiplayer,43,89,7.7153846153846155
5250,Zack & Wiki: Quest for Barbaros' Treasure,Wii,2007-10-23,87,8.5,Capcom,"Adventure,General,General",1-4 ,59,135,8.366666666666667
5252,Front Mission,DS,2007-10-23,72,7.6,SquareEnix,"Strategy,Turn-Based,Sci-Fi,Sci-Fi,Tactics",2  Online,19,14,7.5875
5257,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007-10-23,81,9.0,Capcom,"Adventure,First-Person,Visual Novel,Modern,Modern",No Online Multiplayer,45,208,8.389285714285714
5292,Naruto: Rise of a Ninja,Xbox360,2007-10-30,78,8.5,UbisoftMontreal,"Action,Action Adventure,General,General,Open-World",2  Online,35,94,6.872727272727272
5341,My Word Coach,Wii,2007-11-06,68,7.8,Ubisoft,"Miscellaneous,Edutainment,Edutainment",1 Player,8,4,7.438461538461538
5343,My Word Coach,DS,2007-11-06,71,6.8,Ubisoft,"Miscellaneous,Edutainment,Edutainment",1 Player,7,5,7.392857142857143
5348,Sam & Max Episode 201: Ice Station Santa,PC,2007-11-08,82,8.2,TelltaleGames,"Adventure,General,3D,Point-and-Click,Third-Person",No Online Multiplayer,32,19,7.172727272727273
5352,Super Mario Galaxy,Wii,2007-11-12,97,9.1,Nintendo,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,73,3374,8.006666666666666
5359,Assassin's Creed,PlayStation3,2007-11-13,81,7.3,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",No Online Multiplayer,40,1065,6.891304347826087
5364,Beowulf: The Game,PC,2007-11-13,44,5.1,Ubisoft,"Action Adventure,Fantasy,General,Fantasy",1 Player,12,28,7.239999999999999
5367,Beowulf: The Game,PlayStation3,2007-11-13,51,5.0,Ubisoft,"Action Adventure,Fantasy,General,Fantasy",No Online Multiplayer,18,21,7.1
5375,Medal of Honor Heroes 2,Wii,2007-11-13,73,7.5,EACanada,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",No Online Multiplayer,37,85,7.368
5389,Assassin's Creed,Xbox360,2007-11-13,81,7.6,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",No Online Multiplayer,77,1359,6.920833333333333
5408,Link's Crossbow Training,Wii,2007-11-19,68,7.2,Nintendo,"Action,Shooter,Shooter,Light Gun,Light Gun",No Online Multiplayer,34,52,7.906666666666667
5445,Dance Dance Revolution Universe 2,Xbox360,2007-12-04,65,7.4,Konami,"Action,Miscellaneous,Rhythm,Dancing,Dancing",Up to 4 ,10,5,7.671428571428571
5459,NCAA March Madness 08,PlayStation3,2007-12-11,67,4.6,EACanada,"Sports,Traditional,Team,Basketball,Sim,Sim",2  Online,15,5,7.243181818181818
5475,Sensible World of Soccer,Xbox360,2007-12-19,81,7.4,Codemasters,"Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,15,17,7.7625
5483,Brain Challenge,DS,2008-01-08,68,7.0,Ubisoft,"Miscellaneous,Edutainment,Edutainment",No info,7,4,6.815384615384615
5485,Yu-Gi-Oh! GX: The Beginning of Destiny,PlayStation2,2008-01-08,49,8.3,Konami,"Miscellaneous,Card Battle",1-2 ,7,20,7.7
5490,Sam & Max Episode 202: Moai Better Blues,PC,2008-01-10,80,7.0,TelltaleGames,"Adventure,General,3D,Point-and-Click,Third-Person",No Online Multiplayer,30,14,7.158333333333334
5492,CSI: Crime Scene Investigation: Hard Evidence,Wii,2008-01-15,49,6.5,TelltaleGames,"Adventure,General,General,Point-and-Click",No Online Multiplayer,8,16,7.107692307692308
5522,Devil May Cry 4,PlayStation3,2008-02-05,84,8.5,Capcom,"Action,Action Adventure,Fantasy,Beat-'Em-Up,General,Fantasy,Linear",No Online Multiplayer,63,512,8.269565217391305
5529,Devil May Cry 4,Xbox360,2008-02-05,84,8.4,Capcom,"Action,Action Adventure,Shooter,Fantasy,General,Fantasy,Linear,Third-Person,Fantasy",No Online Multiplayer,61,349,8.275
5540,Sam & Max Episode 203: Night of the Raving Dead,PC,2008-02-12,79,7.2,TelltaleGames,"Adventure,General,3D,Point-and-Click,Third-Person",No Online Multiplayer,26,19,7.114285714285714
5549,FIFA Street 3,Xbox360,2008-02-18,63,7.0,EACanada,"Sports,Traditional,Team,Soccer,Arcade,Arcade",Up to 8 ,48,23,7.186046511627907
5550,FIFA Street 3,PlayStation3,2008-02-18,63,6.7,EACanada,"Sports,Traditional,Team,Soccer,Arcade,Arcade",Up to 8 ,37,22,7.175
5558,Apollo Justice: Ace Attorney,DS,2008-02-19,78,8.0,Capcom,"Adventure,General,General,Visual Novel",No Online Multiplayer,48,109,8.26086956521739
5567,Lost: Via Domus,PlayStation3,2008-02-26,54,6.5,UbisoftMontreal,"Action Adventure,Modern,General,Modern",No Online Multiplayer,30,33,6.7956521739130435
5572,Lost: Via Domus,PC,2008-02-26,52,6.1,UbisoftMontreal,"Action Adventure,Modern,General,Modern",1 Player,22,49,6.766666666666667
5573,Lost: Via Domus,Xbox360,2008-02-26,55,6.3,UbisoftMontreal,"Action Adventure,Modern,General,Modern",No Online Multiplayer,50,66,6.748000000000001
5575,Lost Planet: Extreme Condition,PlayStation3,2008-02-26,67,6.9,Capcom,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",Up to 16 ,34,41,8.204166666666667
5603,Final Fantasy Crystal Chronicles: Ring of Fates,DS,2008-03-11,77,7.4,SquareEnix,"Role-Playing,Action RPG,Action RPG",1-4 ,41,29,7.566666666666666
5607,Pro Evolution Soccer 2008,PSP,2008-03-11,80,6.6,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,17,13,7.6521739130434785
5608,Pro Evolution Soccer 2008,Xbox360,2008-03-11,76,7.5,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,29,42,7.645833333333333
5610,Pro Evolution Soccer 2008,DS,2008-03-11,58,6.3,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,8,9,7.592
5612,Pro Evolution Soccer 2008,PlayStation2,2008-03-11,82,7.8,Konami,"Sports,Traditional,Soccer,Sim",8  Online,10,49,7.6
5614,Pro Evolution Soccer 2008,PlayStation3,2008-03-11,74,6.2,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,19,55,7.548148148148147
5618,Sam & Max Episode 204: Chariots of the Dogs,PC,2008-03-13,85,7.1,TelltaleGames,"Adventure,General,3D,Point-and-Click,Third-Person",No Online Multiplayer,23,15,7.085714285714286
5626,Tom Clancy's Rainbow Six Vegas 2,PlayStation3,2008-03-18,81,7.9,UbisoftMontreal,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",Up to 14 ,32,100,6.792307692307693
5627,Tom Clancy's Rainbow Six Vegas 2,Xbox360,2008-03-18,82,7.8,UbisoftMontreal,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",1-2 ,66,192,6.82962962962963
5630,Pro Evolution Soccer 2008,Wii,2008-03-18,83,8.2,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,19,46,7.571428571428571
5634,Crisis Core: Final Fantasy VII,PSP,2008-03-24,83,8.6,SquareEnix,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,67,751,7.67
5658,Assassin's Creed: Director's Cut Edition,PC,2008-04-08,79,7.4,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",No Online Multiplayer,38,1313,6.869230769230769
5661,"Sam & Max Episode 205: What's New, Beelzebub?",PC,2008-04-10,85,7.3,TelltaleGames,"Adventure,General,3D,Point-and-Click,Third-Person",No Online Multiplayer,20,20,7.1
5665,Tom Clancy's Rainbow Six: Vegas 2,PC,2008-04-15,78,7.4,UbisoftMontreal,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",No info,20,221,6.888888888888889
