,name,platform,r_date,score,user score,developer,genre,players,critics,users,SMA_year
2832,Classic NES Series: Dr. Mario,GameBoyAdvance,2004-10-25,66,8.2,Nintendo,"Miscellaneous,Puzzle,Matching",1-2 ,10,13,8.326086956521738
2834,Classic NES Series: Metroid,GameBoyAdvance,2004-10-25,58,8.3,Nintendo,"Action Adventure,Sci-Fi",1 Player,9,33,8.325000000000001
2835,Classic NES Series: Zelda II: The Adventure of Link,GameBoyAdvance,2004-10-25,73,7.3,Nintendo,"Role-Playing,Action RPG",1 Player,8,67,8.283999999999999
2836,Classic NES Series: Castlevania,GameBoyAdvance,2004-10-25,74,8.6,Konami,"Action,Platformer,2D",1 Player,10,24,7.322727272727272
2839,Chessmaster,Xbox,2004-10-26,79,8.3,Ubisoft,"Miscellaneous,Board Games",1-2 ,12,7,7.779999999999999
2844,NBA Live 2005,PC,2004-10-26,79,8.3,EACanada,"Sports,Traditional,Team,Basketball,Sim,Sim",2  Online,9,30,7.517391304347826
2853,Colin McRae Rally 2005,PC,2004-10-28,83,7.6,Codemasters,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",8  Online,11,75,7.636363636363637
2854,Manchester United Soccer 2005,PC,2004-10-28,56,2.8,Codemasters,"Sports,Traditional,Soccer,Sim,Sim",1-4 ,9,6,7.233333333333333
2901,Need for Speed: Underground 2,PC,2004-11-09,82,8.6,EACanada,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",No Online Multiplayer,31,789,7.586956521739131
2921,Need for Speed Underground 2,Xbox,2004-11-15,77,8.6,EACanada,"Driving,Racing,GT / Street",6  Online,35,39,7.68
2922,Need for Speed Underground 2,PlayStation2,2004-11-15,82,8.6,EACanada,"Driving,Racing,GT / Street",6  Online,39,206,7.723809523809523
2927,Capcom Fighting Evolution,PlayStation2,2004-11-16,57,5.2,Capcom,"Action,Fighting,2D",1-2 ,33,6,7.821875
2942,NCAA March Madness 2005,PlayStation2,2004-11-17,78,8.3,EACanada,"Sports,Traditional,Basketball,Sim",2  Online,19,13,7.75
2947,NCAA March Madness 2005,Xbox,2004-11-17,80,6.7,EACanada,"Sports,Traditional,Basketball,Sim",2  Online,18,6,7.7043478260869565
2962,Super Mario 64 DS,DS,2004-11-20,85,8.3,Nintendo,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,54,398,8.265217391304347
2976,Prince of Persia: Warrior Within,PlayStation2,2004-11-30,83,8.6,UbisoftMontreal,"Action Adventure,Fantasy",1 Player,51,199,8.275
2980,Prince of Persia: Warrior Within,Xbox,2004-11-30,83,7.8,UbisoftMontreal,"Action Adventure,Fantasy",1 Player,55,42,8.222222222222221
2981,Prince of Persia: Warrior Within,GameCube,2004-11-30,83,8.0,Ubisoft,"Action Adventure,Fantasy",1 Player,31,30,7.866666666666666
2982,Prince of Persia: Warrior Within,PC,2004-11-30,83,8.6,UbisoftMontreal,"Action Adventure,Fantasy,Fantasy,Linear",No Online Multiplayer,29,528,8.26
3001,Sprung,DS,2004-12-08,48,5.8,Ubisoft,"Simulation,Adventure,First-Person,Virtual,Modern,Modern,Virtual Life",1 Player,30,10,7.811111111111111
3018,Resident Evil 4,GameCube,2005-01-11,96,9.2,Capcom,"Action Adventure,Horror",1 Player,82,1735,7.776666666666667
3039,Shadow of Rome,PlayStation2,2005-02-08,75,8.5,Capcom,"Action Adventure,Historic",1 Player,52,91,7.778571428571429
3042,NBA Street V3,GameCube,2005-02-08,88,7.9,EACanada,"Sports,Traditional,Basketball,Arcade",1-6 ,36,17,7.7124999999999995
3044,NBA Street V3,Xbox,2005-02-08,89,7.9,EACanada,"Sports,Traditional,Basketball,Arcade",2  Online,41,14,7.72
3045,NBA Street V3,PlayStation2,2005-02-08,89,8.5,EACanada,"Sports,Traditional,Basketball,Arcade",2  Online,36,47,7.75
3051,Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,GameBoyAdvance,2005-02-15,66,8.7,Konami,"Miscellaneous,Card Battle",1 Player,10,26,7.333333333333333
3062,FIFA Street,Xbox,2005-02-22,60,8.0,EACanada,"Sports,Traditional,Soccer,Arcade",1-4 ,21,10,7.7592592592592595
3063,Street Fighter Anniversary Collection,Xbox,2005-02-22,79,7.0,Capcom,"Miscellaneous,Compilation",2  Online,33,11,7.774074074074075
3064,MVP Baseball 2005,PC,2005-02-22,85,7.3,EASports,"Sports,Traditional,Team,Baseball,Sim,Sim",2  Online,11,21,7.619354838709677
3065,MVP Baseball 2005,GameCube,2005-02-22,88,7.8,EASports,"Sports,Traditional,Baseball,Sim",1-2 ,20,19,7.625
3066,MVP Baseball 2005,PlayStation2,2005-02-22,87,8.7,EASports,"Sports,Traditional,Baseball,Sim",2  Online,25,51,7.657575757575757
3069,FIFA Street,PlayStation2,2005-02-22,59,7.9,EACanada,"Sports,Traditional,Soccer,Arcade",1-4 ,29,62,7.764285714285714
3082,Fight Night Round 2,PlayStation2,2005-02-28,88,8.8,EASports,"Sports,Traditional,Boxing",2  Online,37,40,7.6911764705882355
3086,Fight Night Round 2,GameCube,2005-02-28,87,8.1,EASports,"Sports,Traditional,Boxing",2  Online,32,10,7.702857142857144
3088,Fight Night Round 2,Xbox,2005-02-28,88,8.2,EASports,"Sports,Traditional,Boxing",2  Online,48,30,7.716666666666667
3093,Devil May Cry 3: Dante's Awakening,PlayStation2,2005-03-01,84,9.1,Capcom,"Action Adventure,Fantasy",1 Player,60,490,7.821428571428571
3100,Rave Master,GameCube,2005-03-08,60,6.3,Konami,"Action,Fighting,3D",1-4 ,15,4,7.2789473684210515
3103,Donkey Kong Jungle Beat,GameCube,2005-03-14,80,8.2,Nintendo,"Action,Platformer,2D",1 Player,49,45,8.234782608695653
3106,Yoshi Touch & Go,DS,2005-03-14,73,6.8,Nintendo,"Action,Platformer,Platformer,2D,2D",1-2 ,41,37,8.175
3117,Silent Hunter III,PC,2005-03-15,90,7.8,Ubisoft,"Simulation,Submarine,Submarine,Marine,Combat",8  Online,23,111,7.8
3123,Musashi: Samurai Legend,PlayStation2,2005-03-15,64,8.4,SquareEnix,"Role-Playing,Action RPG",1 Player,47,14,8.2875
3143,Metal Gear Acid,PSP,2005-03-22,75,7.0,Konami,"Strategy,Turn-Based,Modern,Modern,Card Battle",1-2 ,45,91,7.264999999999999
3155,Tiger Woods PGA Tour,PSP,2005-03-23,78,7.4,EACanada,"Sports,Traditional,Individual,Golf,Sim,Sim",1-4 ,25,14,7.751724137931035
3156,Darkstalkers Chronicle: The Chaos Tower,PSP,2005-03-24,74,7.9,Capcom,"Action,Fighting,Fighting,2D,2D",1-2 ,27,25,7.803703703703703
3164,Tom Clancy's Splinter Cell: Chaos Theory,PC,2005-03-28,92,8.7,UbisoftMontreal,"Action Adventure,Modern,General,Modern",No Online Multiplayer,36,538,8.233333333333333
3165,Tom Clancy's Splinter Cell Chaos Theory,Xbox,2005-03-28,94,9.1,UbisoftMontreal,"Action Adventure,Modern",4  Online,70,225,8.319999999999999
3166,Tom Clancy's Splinter Cell Chaos Theory,PlayStation2,2005-03-28,87,8.5,UbisoftMontreal,"Action Adventure,Modern",4  Online,29,75,8.336363636363636
