name,platform,r-date,score,user score,developer,genre,players,critics,users
Tom Clancy's Splinter Cell Double Agent,Xbox,"October 24, 2006",89,8.2,UbisoftShanghai,"Action Adventure,Modern",6  Online,13,35
Tony Hawk's Pro Skater 1 + 2,PlayStation4,"September 4, 2020",89,8.8,VicariousVisions,"Sports,Individual,Skate / Skateboard",Up to 8 ,74,525
New Super Mario Bros.,DS,"May 15, 2006",89,8.5,Nintendo,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer,65,706
Silent Hill 2,PlayStation2,"September 24, 2001",89,9.2,KCET,"Action Adventure,Horror",1 Player,34,1181
Battlefield 1,PlayStation4,"October 18, 2016",89,7.9,EADICE,"Action,General,Shooter,First-Person,Tactical",Up to 64 ,34,2312
Metal Gear Solid: Peace Walker,PSP,"June 8, 2010",89,8.7,KojimaProductions,"Action Adventure,Modern,General,Modern",No Online Multiplayer,66,660
Virtua Fighter 5 Online,Xbox360,"October 30, 2007",89,7.8,SegaAM2,"Action,Fighting,Fighting,3D,3D",No Online Multiplayer,36,69
"WarioWare, Inc.: Mega Microgame$!",GameBoyAdvance,"May 21, 2003",89,8.8,Nintendo,"Miscellaneous,Puzzle,General",1 Player,35,60
The Orange Box,PlayStation3,"December 11, 2007",89,8.3,EAGames,"Action,Miscellaneous,Shooter,Compilation,First-Person,Sci-Fi",Up to 16 ,21,216
NBA 2K2,PlayStation2,"January 12, 2002",89,8.0,VisualConcepts,"Sports,Traditional,Basketball,Sim",1-8 ,19,14
Grandia,PlayStation,"September 30, 1999",89,7.7,GameArts,"Role-Playing,Console-style RPG",1 Player,14,140
Colors! 3D,3DS,"April 5, 2012",89,7.5,CollectingSmiles,"Miscellaneous,General,General,Application",1-2 ,15,66
Destiny: The Taken King,XboxOne,"September 15, 2015",89,5.3,"BungieSoftware,Bungie","Action,Shooter,First-Person,Arcade",No info,11,423
NBA 2K11,Xbox360,"October 5, 2010",89,8.3,VisualConcepts,"Sports,Traditional,Team,Basketball,Sim,Sim",Up to 10 ,50,105
Disco Elysium: The Final Cut,PlayStation5,"March 30, 2021",89,7.5,ZA/UM,"Role-Playing,General",No Online Multiplayer,30,118
Horizon Zero Dawn,PlayStation4,"February 28, 2017",89,8.4,Guerrilla,"Role-Playing,Action Adventure,Action RPG,Open-World",No Online Multiplayer,115,10680
NBA 2K11,PlayStation3,"October 5, 2010",89,8.0,VisualConcepts,"Sports,Traditional,Team,Basketball,Sim,Sim",Up to 10 ,46,111
Psychonauts 2,PC,"August 25, 2021",89,7.0,DoubleFineProductions,"Action,Platformer,3D,Beat-'Em-Up,Action Adventure,Open-World",No Online Multiplayer,34,781
Injustice 2,XboxOne,"May 16, 2017",89,8.1,NetherRealmStudios,"Action,Fighting,2D",2 ,23,261
Minecraft: PlayStation 4 Edition,PlayStation4,"September 3, 2014",89,6.8,"4JStudios,MojangAB","Action Adventure,Adventure,3D,Sandbox,First-Person,Fantasy,Fantasy",Up to 8 ,14,652
