name,platform,r-date,score,user score,developer,genre,players,critics,users
Saw II: Flesh & Blood,PlayStation3,"October 19, 2010",45,6.2,ZombieStudios,"Action Adventure,Horror,Horror,Survival",No info,34,24
Mobile Suit Gundam Seed: Never Ending Tomorrow,PlayStation2,"September 29, 2005",45,7.6,Bec,"Action,Shooter,Third-Person,Sci-Fi",1-2 ,16,13
Crime Stories: From the Files of Martin Mystere,PC,"March 21, 2006",45,4.7,Artematica,"Adventure,3D,Modern,Third-Person,Modern",1 Player,20,7
Tank! Tank! Tank!,WiiU,"November 18, 2012",45,5.7,NamcoBandaiGames,"Action,General,Simulation,Driving,Car Combat,Car Combat,Vehicle,Combat",No Online Multiplayer,37,61
Impire,PC,"February 13, 2013",45,5.4,Cyanide,"Strategy,General,General",No info,28,147
Without Warning,PlayStation2,"November 1, 2005",45,6.2,CiRCLE,"Action,Shooter,Third-Person,Modern",1 Player,25,10
Unlimited Saga,PlayStation2,"June 17, 2003",45,4.6,SquareSoft,"Role-Playing,Console-style RPG",1 Player,26,40
Arctic Thunder,PlayStation2,"September 17, 2001",45,5.0,InlandProductions,"Driving,Racing,Snow / Water",1-2 ,23,15
Spartacus Legends,Xbox360,"June 26, 2013",45,5.3,KungFuFactory,"Action,General,Fighting,Fighting,3D,3D",No info,8,86
Madagascar 3: The Video Game,Xbox360,"June 5, 2012",45,5.6,D3Publisher,"General,Adventure,General",No Online Multiplayer,8,11
Tennis World Tour,PlayStation4,"May 22, 2018",45,3.0,Breakpoint,"Sports,Individual,Tennis",2 ,22,95
Without Warning,Xbox,"November 1, 2005",45,2.0,CiRCLE,"Action,Shooter,Third-Person,Modern",1 Player,25,5
Wacky World of Sports,Wii,"September 22, 2009",45,tbd,Tabot,"Sports,General,General",No info,10,0
NCAA Final Four 2004,PlayStation2,"November 11, 2003",45,tbd,989Sports,"Sports,Traditional,Basketball,Sim",1-8 ,16,0
Swashbucklers: Blue vs. Grey,PlayStation2,"November 20, 2007",45,5.3,Akella,"Action Adventure,Historic",No info,16,7
Tournament of Legends,Wii,"July 6, 2010",45,7.2,HighVoltageSoftware,"Action,Fighting,Fighting,3D,3D",No info,38,12
Star Trek The Video Game,PlayStation3,"April 23, 2013",45,2.1,DigitalExtremes,"Action Adventure,Sci-Fi,Sci-Fi,General",No info,27,123
Top Gear RPM Tuning,Xbox,"February 16, 2005",45,6.4,BabylonSoftware,"Driving,Racing,GT / Street",1-2 ,10,5
Mushroom Men: Rise of the Fungi,DS,"December 2, 2008",45,6.1,RedFlyStudio,"Action Adventure,Fantasy,General,Fantasy",2  Online,16,8
Iron Man,Xbox360,"May 2, 2008",45,5.8,SecretLevel,"Action,General,General",No Online Multiplayer,43,56
War World,Xbox360,"October 1, 2008",45,7.7,ThirdWaveGames,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",8  Online,13,6
Ugly Americans: Apocalypsegeddon,Xbox360,"August 31, 2011",45,6.4,BackboneEntertainment,"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical",No info,16,19
Sniper: Ghost Warrior,Xbox360,"June 29, 2010",45,5.7,CityInteractive,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",Up to 12 ,39,97
Deus Ex: The Fall,PC,"March 17, 2014",45,3.1,SquareEnix,"Action,Shooter,First-Person,Sci-Fi,Arcade",No Online Multiplayer,14,185
Ghostbusters: Sanctum of Slime,Xbox360,"March 23, 2011",45,3.4,BehaviorStudios,"Action Adventure,Modern,Sci-Fi,Sci-Fi,General",No info,38,21
NFL Tour,PlayStation3,"January 8, 2008",45,tbd,EATiburon,"Sports,Traditional,Team,Football,Arcade,Arcade",2  Online,24,0
LA Cops,PC,"March 13, 2015",45,6.1,ModernDream,"Action,General,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,17,16
Interpol: The Trail of Dr. Chaos,Xbox360,"January 7, 2009",45,3.0,"TikGames,LLC","Miscellaneous,Puzzle,Puzzle,Hidden Object,General,Puzzle,General",4  Online,28,4
Rock of the Dead,PlayStation3,"October 19, 2010",45,tbd,EpicenterStudios,"Action,Miscellaneous,Rhythm,Music,Music",No info,7,0
CSI: Crime Scene Investigation,Xbox,"December 14, 2004",45,7.3,369Interactive,"Adventure,First-Person,Modern",1 Player,14,4
Bubsy: The Woolies Strike Back,PlayStation4,"October 31, 2017",45,5.9,BlackForestGames,"Action,Platformer,2D",No Online Multiplayer,20,135
Soldier of Fortune: Payback,PC,"November 14, 2007",45,4.8,"Activision,CauldronLtd.","Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 12 ,13,92
The Cursed Crusade,PlayStation3,"October 25, 2011",45,5.0,Kylotonn,"Action Adventure,Fantasy,General,Fantasy",2 ,17,29
Hysteria Hospital: Emergency Ward,DS,"June 16, 2009",45,tbd,Gameinvest,"Action,Strategy,General,General,Management,Business / Tycoon",No info,12,0
7 Days to Die,PlayStation4,"June 28, 2016",45,6.0,"IronGalaxyStudios,TheFunPimps","Action,Action Adventure,Shooter,Survival,Sandbox,First-Person,Arcade",Up to 4 ,16,251
Stronghold: Crusader Extreme,PC,"June 2, 2008",45,6.8,FireFlyStudios,"Strategy,Miscellaneous,Real-Time,Compilation,Historic",8  Online,11,62
The Ant Bully,Wii,"December 5, 2006",45,8.0,ArtificialMindandMovement,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,12,27
Golden Axe: Beast Rider,Xbox360,"October 14, 2008",45,5.9,SecretLevel,"Action,General,General",No Online Multiplayer,33,36
D1 Professional Drift Grand Prix Series,PlayStation2,"August 15, 2006",45,7.4,Yuke's,"Driving,Racing,Formula One",1-2 ,14,5
Reservoir Dogs: Bloody Days,PC,"May 18, 2017",45,5.7,BigStarGames,"Action,General",No Online Multiplayer,27,19
