name,platform,r-date,score,user score,developer,genre,players,critics,users
Dragon Ball Z: Shin Budokai - Another Road,PSP,"March 20, 2007",65,8.2,DimpsCorporation,"Action,Fighting,Fighting,3D,3D",2 ,20,37
Cars,Wii,"November 16, 2006",65,7.0,RainbowStudios,"Driving,Racing,Mission-based,Arcade,Mission-based,Automobile",No Online Multiplayer,13,7
Heroes of Annihilated Empires,PC,"November 16, 2006",65,7.8,GSCGameWorld,"Strategy,Real-Time,Fantasy,General,Fantasy",1-6 ,23,72
The Sims 2,PSP,"December 7, 2005",65,7.3,Maxis,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",No Online Multiplayer,17,47
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,Xbox,"October 10, 2005",65,7.9,Capcom,"Action Adventure,Horror",1 Player,19,8
Animaniacs: The Great Edgar Hunt,GameCube,"September 18, 2005",65,tbd,Warthog,"Action,Platformer,3D",24  Online,14,0
RPG Maker II,PlayStation2,"October 24, 2003",65,8.5,KuusouKagaku,"Role-Playing,Console-style RPG",1 Player,9,80
Dragon's Lair 3D,GameCube,"December 22, 2002",65,6.8,Dragonstone,"Action,Platformer,3D",1 Player,20,4
Tiger Woods PGA Tour 2001,PC,"November 6, 2000",65,tbd,Headgate,"Sports,Traditional,Individual,Golf,Sim,Sim",1-4 ,10,0
Chaos Legion,PlayStation2,"August 6, 2003",65,7.9,Capcom,"Action Adventure,Fantasy",1 Player,34,73
Baja: Edge of Control,Xbox360,"September 22, 2008",65,6.9,2XLGames,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",Up to 10 ,35,19
Brave: The Search for Spirit Dancer,PlayStation2,"April 9, 2007",65,7.4,VISEntertainment,"Action,Platformer,3D",1 Player,20,12
Rango,PlayStation3,"March 1, 2011",65,6.5,BehaviourInteractive,"Action Adventure,Historic,General,Historic",No Online Multiplayer,23,11
F1 2015,PlayStation4,"July 21, 2015",65,6.4,Codemasters,"Racing,Simulation,Automobile",Up to 16 ,46,56
Fallout 3 - Operation: Anchorage,PC,"January 27, 2009",65,5.5,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",No info,16,124
The Testament of Sherlock Holmes,PlayStation3,"September 25, 2012",65,7.3,Frogwares,"General,Adventure,General",No Online Multiplayer,16,38
Jet Kave Adventure,Switch,"September 17, 2019",65,6.2,7Levels,"Action,Platformer,2D",No Online Multiplayer,20,22
Kane & Lynch: Dead Men,Xbox360,"November 13, 2007",65,3.3,IoInteractive,"Action,Shooter,Shooter,Third-Person,Tactical,Modern,Modern",8  Online,57,345
Need for Speed,XboxOne,"November 3, 2015",65,7.6,GhostGames,"Racing,Simulation,Automobile",Up to 8 ,30,598
Opoona,Wii,"March 25, 2008",65,7.9,ArtePiazza,"Role-Playing,General,General,Japanese-Style",No Online Multiplayer,33,15
Top Spin 3,DS,"June 23, 2008",65,tbd,"PamDevelopment,2KSports","Sports,Traditional,Individual,Tennis,Tennis",No Online Multiplayer,12,0
Blacksad: Under the Skin,PC,"November 5, 2019",65,7.7,PenduloStudios,"Adventure,3D,First-Person",No Online Multiplayer,29,65
The Crow's Eye,PC,"March 20, 2017",65,7.0,3D2Entertainment,"Action Adventure,Horror,Survival",No info,16,14
Divekick,PlayStation3,"August 20, 2013",65,6.9,IronGalaxyStudios,"Action,Fighting,Fighting,2D,2D",No info,18,49
Monopoly Streets,Wii,"October 26, 2010",65,5.2,ElectronicArts,"Miscellaneous,Board Games,Board Games,Board / Card Game",No info,9,5
TV Show King,Wii,"May 12, 2008",65,7.5,Gameloft,"Miscellaneous,Trivia / Game Show,Trivia / Game Show",No info,17,4
