name,platform,r-date,score,user score,developer,genre,players,critics,users
Bujingai: The Forsaken City,PlayStation2,"July 25, 2004",72,7.9,TaitoCorporation,"Action,Beat-'Em-Up",1 Player,28,19
Lamplight City,PC,"September 13, 2018",72,7.5,GrundislavGames,"Adventure,General,Point-and-Click",No Online Multiplayer,18,23
Headmaster,PlayStation4,"October 13, 2016",72,7.2,FrameInteractive,"Sports,Team,Soccer,Arcade",No info,22,44
Galaga Legions DX,PlayStation3,"August 2, 2011",72,8.0,NamcoBandaiGames,"Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Vertical",No info,7,8
Solar 2,PC,"June 17, 2011",72,6.9,Murudai,"Action,Action Adventure,General,General,Sandbox",No Online Multiplayer,8,72
FIFA World Cup: Germany 2006,PSP,"May 22, 2006",72,7.4,"EACanada,ExientEntertainment","Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,15,9
Midway Arcade Treasures,GameCube,"December 18, 2003",72,8.1,Midway,"Miscellaneous,Compilation",1-4 ,11,7
No More Heroes: Heroes Paradise,PlayStation3,"August 16, 2011",72,7.3,FeelPlus,"Action,Beat-'Em-Up,Beat-'Em-Up,2D,3D",No Online Multiplayer,38,48
Destiny: House of Wolves,PlayStation4,"May 19, 2015",72,4.2,Bungie,"Action,Shooter,First-Person,Arcade",No info,31,239
Castlevania: Lords of Shadow - Mirror of Fate,3DS,"March 5, 2013",72,7.2,MercurySteam,"Action Adventure,Fantasy,General,Fantasy",1 Player,68,256
Dead Rising 4,XboxOne,"December 6, 2016",72,4.8,"Capcom,CapcomVancouver","Action Adventure,Open-World",Up to 4 ,86,375
Battlefield 3: Close Quarters,Xbox360,"June 26, 2012",72,5.5,EADICE,"Action,Shooter,Shooter,First-Person,Modern,Tactical,Modern,Arcade",No info,8,43
The Bigs,PSP,"June 25, 2007",72,tbd,BlueCastleGames,"Sports,Traditional,Team,Baseball,Arcade,Arcade",1-2 ,9,0
Mushroom Wars 2,Switch,"July 5, 2018",72,7.4,ZillionWhales,"Strategy,Real-Time,Command",Online Multiplayer,11,5
Beyond: Two Souls,PlayStation4,"November 24, 2015",72,7.9,QuanticDream,"Adventure,3D,Third-Person",No Online Multiplayer,30,1141
NHL 21,PlayStation4,"October 13, 2020",72,2.2,ElectronicArts,"Sports,Team,Ice Hockey,Sim",Up to 12 ,32,151
Broken Sword 5: The Serpent's Curse,PlayStation4,"September 8, 2015",72,7.3,RevolutionSoftware,"Adventure,General",No Online Multiplayer,14,57
Alpha Protocol,PC,"June 1, 2010",72,7.5,ObsidianEntertainment,"Role-Playing,Console-style RPG,Console-style RPG,Western-Style",No Online Multiplayer,25,587
Bugsnax,PC,"November 12, 2020",72,7.5,"YoungHorses,Inc","Action,General,Adventure,3D,First-Person",No Online Multiplayer,16,49
Control: Ultimate Edition - Cloud Version,Switch,"October 28, 2020",72,5.1,RemedyEntertainment,"Action Adventure,General",No Online Multiplayer,8,15
The Surge,PC,"May 16, 2017",72,6.7,Deck13,"General,Role-Playing,Action RPG",No Online Multiplayer,33,262
Hatoful Boyfriend,PlayStation4,"July 21, 2015",72,6.2,"Mediatonic,HatoMoa","General,Adventure,Visual Novel",No Online Multiplayer,19,33
Call of Duty: Advanced Warfare - Havoc,XboxOne,"January 27, 2015",72,6.4,SledgehammerGames,"Action,Shooter,First-Person,Modern,Arcade",No info,17,20
Need for Speed Underground 2,GameBoyAdvance,"November 15, 2004",72,7.8,Pocketeers,"Driving,Racing,GT / Street",1-2 ,8,18
Puyo Pop Fever,GameCube,"July 20, 2004",72,8.4,SonicTeam,"Miscellaneous,Puzzle,Matching",1-2 ,18,7
Siren,PlayStation2,"April 20, 2004",72,7.9,SCEJapanStudio,"Action Adventure,Horror",1 Player,48,58
Silent Hill 3,PC,"April 6, 2004",72,8.2,KCET,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer,12,233
Medal of Honor: Allied Assault - Breakthrough,PC,"September 22, 2003",72,6.6,TKOSoftware,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",No info,14,56
Buffy the Vampire Slayer: Chaos Bleeds,PlayStation2,"August 27, 2003",72,8.8,EurocomEntertainmentSoftware,"Action,Beat-'Em-Up",1-4 ,27,48
X2: Wolverine's Revenge,GameBoyAdvance,"April 15, 2003",72,7.0,VicariousVisions,"Action,Platformer,2D",1 Player,8,6
Impossible Creatures,PC,"December 29, 2002",72,7.9,Relic,"Strategy,Real-Time,Fantasy,General,Fantasy",1-6 ,30,53
NBA Inside Drive 2003,Xbox,"October 31, 2002",72,7.6,HighVoltageSoftware,"Sports,Traditional,Basketball,Sim",1-4 ,21,10
Fire Pro Wrestling 2,GameBoyAdvance,"September 23, 2002",72,8.3,Spike,"Action,Fighting,Wrestling",1-4 ,7,8
Cultures 2: The Gates of Asgard,PC,"August 26, 2002",72,7.7,"FunaticsDevelopmentGmbH,FunaticsSoftware,Funatics","Strategy,City Building,Management,Historic,Historic,Government",1-8 ,7,12
Looney Tunes: Sheep Raider,PlayStation,"September 27, 2001",72,8.6,Infogrames,"Action,General",No info,12,51
Call to Power II,PC,"November 17, 2000",72,7.1,Activision,"Strategy,Turn-Based,Historic,General,Historic,4X",No Online Multiplayer,21,17
Monster Hunter Freedom 2,PSP,"August 28, 2007",72,8.5,Capcom,"Role-Playing,Action RPG,Action RPG",Up to 4 ,38,95
Grand Ages: Rome,PC,"March 17, 2009",72,8.1,"Haemimont,HaemimontGames","Strategy,Real-Time,Historic,General,Historic",No Online Multiplayer,18,53
RAGE 2,XboxOne,"May 14, 2019",72,6.0,"idSoftware,AvalancheStudios","Action,Shooter,First-Person,Arcade",No Online Multiplayer,21,214
Tricky Towers,PlayStation4,"August 2, 2016",72,6.9,"WeirdBeardB.V.,WeirdBeard","Puzzle,Stacking",Up to 4 ,20,90
Remember Me,PlayStation3,"June 4, 2013",72,7.3,DONTNODEntertainment,"Action Adventure,Sci-Fi,Sci-Fi,General",No Online Multiplayer,37,465
Layers of Fear,PC,"February 16, 2016",72,7.4,BlooberTeam,"Adventure,3D,First-Person",No Online Multiplayer,46,405
Serious Sam 3: BFE,PC,"November 22, 2011",72,8.1,Croteam,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",1 Player,53,723
No Straight Roads,PC,"August 25, 2020",72,7.5,Metronomik,"Action,Rhythm,Music,Action Adventure,Open-World",No Online Multiplayer,11,80
WWE SmackDown vs. Raw 2009,PSP,"November 9, 2008",72,6.5,Yuke's,"Action,Sports,Fighting,Fighting,Individual,Wrestling,Combat,Wrestling",1-4 ,9,14
Zombie Army 4: Dead War,PlayStation4,"February 4, 2020",72,6.2,Rebellion,"Action,Shooter,First-Person,Third-Person,Arcade",Up to 4 ,60,121
Earth Defense Force 2: Invaders From Planet Space,PlayStationVita,"December 8, 2015",72,8.2,Sandlot,"Action,Shooter,Third-Person,Arcade",Up to 4 ,20,24
Bully: Scholarship Edition,PC,"October 21, 2008",72,7.6,"MadDocSoftware,RockstarVancouver","Action Adventure,Modern,Modern,Open-World",No Online Multiplayer,11,417
Final Fantasy Type-0 HD,PlayStation4,"March 17, 2015",72,7.5,HexaDrive,"Role-Playing,Action RPG",No Online Multiplayer,77,637
Legend of Mana Remastered,PlayStation4,"June 24, 2021",72,6.7,"SquareEnix,M2","Role-Playing,Action RPG",No Online Multiplayer,35,17
Marvel vs. Capcom Origins,PlayStation3,"September 25, 2012",72,8.0,IronGalaxyStudios,"Action,Miscellaneous,Fighting,Compilation,2D",No info,11,10
chick chick BOOM,Wii,"December 27, 2010",72,8.2,TonsofBits,"Action,General,General",1-4 ,15,15
Disciples: Liberation,PC,"October 21, 2021",72,4.2,FrimaStudio,"Strategy,Turn-Based,General",No info,8,49
CastleStorm: Virtual Reality,PlayStation4,"August 1, 2017",72,4.3,ZenStudios,"Strategy,Real-Time,Defense",2 ,11,7
Order Up!!,3DS,"June 21, 2012",72,6.5,SuperVillainStudios,"Action,Miscellaneous,General,General,General",No info,7,6
Blocks That Matter,PC,"August 19, 2011",72,7.2,SwingSwingSubmarine,"Action,General,General,Platformer,2D",No info,8,59
DC Universe Online,PC,"January 11, 2011",72,6.7,WBIE,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",Massively Multiplayer,27,262
The Getaway,PlayStation2,"January 19, 2003",72,7.0,TeamSoho,"Action Adventure,Modern",1 Player,49,110
The Wonderful 101: Remastered,Switch,"May 19, 2020",72,6.6,PlatinumGames,"Action,General",Up to 5 ,21,72
NBA 2K8,PlayStation2,"October 2, 2007",72,6.0,VisualConcepts,"Sports,Traditional,Basketball,Sim",10  Online,7,9
Boyfriend Dungeon,Switch,"August 11, 2021",72,5.8,KitfoxGames,"Role-Playing,Action RPG",No info,16,4
Omega Five,Xbox360,"January 9, 2008",72,8.4,Natsume,"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical",1-2 ,33,18
Race Pro,Xbox360,"February 17, 2009",72,7.1,SimBin,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",Up to 12 ,54,61
Anno 2205,PC,"November 2, 2015",72,6.1,BlueByte,"Strategy,Management,Government",No Online Multiplayer,45,321
NBA 06,PSP,"October 4, 2005",72,5.4,SCEASportsStudio,"Sports,Traditional,Team,Basketball,Sim,Sim",2  Online,19,8
Lost Dimension,PlayStationVita,"July 28, 2015",72,7.8,"Lancarse,FuRyu","Adventure,General",No info,28,41
Commanders: Attack of the Genos,Xbox360,"February 13, 2008",72,8.2,SouthendInteractive,"Strategy,Turn-Based,Sci-Fi,Sci-Fi,General,Tactics",Up to 4 ,26,13
