name,platform,r-date,score,user score,developer,genre,players,critics,users
Sacred,PC,"March 25, 2004",74,7.7,"AscaronEntertainmentGmbH,AscaronEntertainment","Role-Playing,Action RPG,Action RPG",1-16 ,37,223
Attack on Titan,PlayStation4,"August 30, 2016",74,7.1,OmegaForce,"Action,Beat-'Em-Up,3D",Up to 4 ,58,134
Dice Legacy,Switch,"September 9, 2021",74,tbd,DESTINYbit,"Strategy,General",No info,7,0
HyperParasite,XboxOne,"April 3, 2020",74,7.1,"TroglobytesGames,S.L.","Action,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,8,8
One Step From Eden,Switch,"March 26, 2020",74,8.5,ThomasMoonKang,"Strategy,Real-Time,Defense",No Online Multiplayer,7,35
Coffee Talk,Switch,"January 29, 2020",74,7.5,TogeProductions,"Adventure,Visual Novel",No Online Multiplayer,11,23
Vasara Collection,Switch,"August 15, 2019",74,7.5,QUByteInteractive,"Miscellaneous,Compilation",No Online Multiplayer,7,11
198X,PlayStation4,"July 16, 2019",74,5.9,Hi-BitStudios,"Action,Miscellaneous,Platformer,Party / Minigame,2D",No Online Multiplayer,7,15
Out There: Omega The Alliance,Switch,"April 9, 2019",74,tbd,Mi-ClosStudio,"Adventure,General",No Online Multiplayer,7,0
Turok,Switch,"March 18, 2019",74,7.9,NightDiveStudios,"Action,Shooter,First-Person,Arcade",No Online Multiplayer,7,14
Implosion - Never Lose Hope,Switch,"July 6, 2017",74,7.7,RayarkInc.,"Action,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,7,36
Sakura Samurai: Art of the Sword,3DS,"February 2, 2012",74,7.3,GroundingInc.,"Action,General,General",1 Player,22,35
Fight Night Round 3,PSP,"February 20, 2006",74,8.3,EAChicago,"Sports,Traditional,Individual,Boxing,Boxing,Combat,Boxing / Martial Arts",2  Online,22,28
Rocky,GameCube,"November 17, 2002",74,tbd,RageSoftware,"Sports,Traditional,Boxing",1-2 ,17,0
Outriders,PlayStation5,"April 1, 2021",74,5.8,PeopleCanFly,"Action,Shooter,Third-Person,Arcade",Up to 3 ,47,422
Fatal Frame,PlayStation2,"March 4, 2002",74,8.7,Tecmo,"Action Adventure,Horror",1 Player,22,124
de Blob 2,PlayStation3,"February 22, 2011",74,7.2,BlueTongueEntertainment,"Action,Adventure,General,Platformer,3D",No info,50,34
Madden NFL 06,Xbox360,"November 16, 2005",74,5.0,EATiburon,"Sports,Traditional,Team,Football,Sim,Sim",2  Online,48,53
Dead Rising 4,PC,"December 6, 2016",74,4.1,"Capcom,CapcomVancouver","Action Adventure,Open-World",Online Multiplayer,14,117
Call of Duty: Black Ops II,PC,"November 12, 2012",74,4.7,Treyarch,"Action,Shooter,Shooter,First-Person,Historic,Modern,Arcade",No info,11,1929
Darwin Project,PC,"January 13, 2020",74,6.8,ScavengersStudio,"Action,General,Shooter,Third-Person,Tactical",Up to 10 ,10,53
Act of War: High Treason,PC,"May 30, 2006",74,7.5,EugenSystems,"Strategy,Real-Time,Military,General,Military",8  Online,8,28
Plants vs. Zombies: Battle for Neighborville - Complete Edition,Switch,"March 19, 2021",74,7.3,PopCap,"Action,Shooter,Third-Person,Tactical",Up to 16 ,25,24
In Other Waters,PC,"April 3, 2020",74,5.5,JumpOverTheAge,"Adventure,General",No Online Multiplayer,17,13
Anarcute,XboxOne,"July 12, 2016",74,7.3,Anarteam,"Action,General",No info,10,4
Neon Chrome,PC,"April 28, 2016",74,7.4,"10tonsEntertainment,10tons","Action,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,10,25
Transformers: Devastation,PC,"October 6, 2015",74,7.4,PlatinumGames,"Action,Beat-'Em-Up,3D",No Online Multiplayer,9,79
Ion Assault,Xbox360,"September 23, 2009",74,7.5,BlackInc.,"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical",No info,23,6
Pro Evolution Soccer 2008,PlayStation3,"March 11, 2008",74,6.2,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,19,55
Midnight Club 3: DUB Edition,PSP,"June 27, 2005",74,8.2,"RockstarSanDiego,RockstarLeeds","Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",1-6 ,34,34
Mafia II,Xbox360,"August 24, 2010",74,8.0,2KCzech,"Action Adventure,Historic,General,Historic,Open-World",No Online Multiplayer,79,658
Eagle Flight,PC,"October 13, 2016",74,6.9,"UbisoftMontreal,FunHouse","Action,Simulation,Flight,General,Combat",Up to 6 ,13,7
Shadow Warrior,XboxOne,"October 21, 2014",74,7.4,FlyingWildHog,"Action,Shooter,Shooter,First-Person,Fantasy,Fantasy,Arcade",No info,14,66
Atelier Firis: The Alchemist and the Mysterious Journey,PlayStation4,"March 7, 2017",74,7.1,KoeiTecmoGames,"Role-Playing,Japanese-Style",No Online Multiplayer,31,48
Attack on Titan 2: Final Battle,XboxOne,"July 5, 2019",74,4.8,OmegaForce,"Action,General",Up to 8 ,7,6
Contra Anniversary Collection,PlayStation4,"June 11, 2019",74,6.0,"Konami,M2","Miscellaneous,Compilation",No Online Multiplayer,14,28
