name,platform,r-date,score,user score,developer,genre,players,critics,users
Pokemon Dream Radar,3DS,"October 7, 2012",54,5.7,CreaturesInc.,"Action,General,Miscellaneous,General,General",No Online Multiplayer,13,28
SpellForce 2: Demons of the Past,PC,"January 14, 2014",54,6.7,MindoverMatter,"Strategy,General",No info,9,23
The Chronicles of Narnia: Prince Caspian,DS,"May 15, 2008",54,4.0,FallLineStudio,"Action Adventure,Adventure,General,Fantasy,General",No info,12,4
Scooby-Doo! Mystery Mayhem,GameCube,"March 2, 2004",54,7.0,ArtificialMindandMovement,"Action Adventure,Modern",1 Player,17,5
BMX XXX,PlayStation2,"November 16, 2002",54,5.0,"Z-Axis,Ltd.","Sports,Alternative,Biking",1-2 ,14,21
Real War: Rogue States,PC,"October 1, 2002",54,6.7,RivalInteractive,"Strategy,Real-Time,Military,General,Military",1-4 ,10,6
Army Men: Sarge's Heroes 2,PlayStation2,"March 20, 2001",54,5.7,3DO,"Action,Shooter,Third-Person,Fantasy",1-2 ,15,7
Sonic Shuffle,Dreamcast,"November 13, 2000",54,7.3,Sega,"Adventure,Party",No info,21,38
Watchmen: The End Is Nigh,PlayStation3,"March 4, 2009",54,6.8,DeadlineGames,"Action,Beat-'Em-Up,Beat-'Em-Up,2D",No info,30,16
Metal Gear Survive,PC,"February 21, 2018",54,1.4,Konami,"Action Adventure,General,Survival",Up to 4 ,16,311
LEGO The Lord of the Rings,PlayStationVita,"October 30, 2012",54,5.6,TTGames,"Miscellaneous,Action Adventure,Adventure,General,General,Compilation,Linear",No Online Multiplayer,8,39
Rise of the Argonauts,Xbox360,"December 16, 2008",54,7.3,LiquidEntertainment,"Role-Playing,Action RPG,Action RPG",No info,43,56
RIDE,XboxOne,"October 6, 2015",54,5.3,MilestoneS.r.l,"Racing,Simulation,General,Automobile",No info,9,19
Sonic and the Black Knight,Wii,"March 3, 2009",54,7.0,SonicTeam,"Action,Adventure,Platformer,Fantasy,Third-Person,Fantasy,3D",No info,51,274
Road to Guangdong,XboxOne,"August 28, 2020",54,tbd,JustAddOilGames,"Simulation,Vehicle,Civilian",No info,7,0
Need for Speed Undercover,Wii,"November 17, 2008",54,6.0,ExientEntertainment,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",No info,12,32
Radiation Island,Switch,"February 22, 2018",54,6.8,AtypicalGames,"Action,Action Adventure,Pinball,Survival",No Online Multiplayer,7,4
Duke Nukem Forever,PC,"June 13, 2011",54,5.8,"GearboxSoftware,3DRealms","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",1 Player,48,1251
Valkyria Revolution,PlayStation4,"June 27, 2017",54,5.7,Media.Vision,"Role-Playing,Strategy,Turn-Based,Action RPG,Tactics",No Online Multiplayer,56,95
Astro Boy,PlayStation2,"August 18, 2004",54,7.3,SonicTeam,"Action,General",1 Player,29,15
Harry Potter for Kinect,Xbox360,"October 9, 2012",54,4.7,"EurocomEntertainmentSoftware,Eurocom","Adventure,General,Action Adventure,General,Fantasy",No info,15,20
No Time to Explain,PC,"August 15, 2011",54,6.0,"tinyBuildGAMES,tinyBuild","Action,Platformer,Platformer,2D,2D",No info,8,52
Die Hard: Vendetta,GameCube,"November 19, 2002",54,7.0,BitsStudios,"Action,Shooter,First-Person,Modern",1 Player,23,10
Minority Report: Everybody Runs,GameBoyAdvance,"November 12, 2002",54,tbd,TorusGames,"Action,Beat-'Em-Up",1 Player,8,0
Die Hard: Nakatomi Plaza,PC,"April 22, 2002",54,5.4,PiranhaGames,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Online Multiplayer,19,17
NCAA March Madness 2002,PlayStation2,"January 7, 2002",54,4.6,NuFX,"Sports,Traditional,Basketball,Sim",1-8 ,17,7
World's Scariest Police Chases,PlayStation,"May 21, 2001",54,7.4,UDS,"Driving,Mission-based",1-2 ,16,14
