name,platform,r-date,score,user score,developer,genre,players,critics,users
Infinite Space,DS,"March 16, 2010",75,8.2,"PlatinumGames,NUDEMAKER,Y.K.","Role-Playing,Simulation,Sci-Fi,General,General,Large Spaceship",No info,46,67
Atelier Ryza: Ever Darkness & the Secret Hideout,PlayStation4,"October 29, 2019",75,8.1,Gust,"General,Role-Playing,Japanese-Style",No Online Multiplayer,21,82
Donut County,PlayStation4,"August 28, 2018",75,7.0,BenEsposito,"Action Adventure,General",No Online Multiplayer,25,46
Labyrinth City: Pierre the Maze Detective,Switch,"July 15, 2021",75,tbd,Darjeeling,"Adventure,General",No Online Multiplayer,8,0
Etherborn,PlayStation4,"July 18, 2019",75,7.5,AlteredMatter,"Action,Adventure,Platformer,First-Person,Third-Person,3D",No Online Multiplayer,15,17
Battle Chasers: Nightwar,PlayStation4,"October 3, 2017",75,6.9,AirshipSyndicateEntertainment,"Role-Playing,Action RPG,Japanese-Style",No Online Multiplayer,34,84
F.E.A.R. Extraction Point,PC,"October 24, 2006",75,7.5,"MonolithProductions,TimeGateStudios","Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",1-16 ,30,181
Medal of Honor,PlayStation3,"October 12, 2010",75,7.5,"EADICE,DangerClose","Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 24 ,56,309
Evil Genius,PC,"September 28, 2004",75,8.3,ElixirStudios,"Strategy,Real-Time,Modern,General,Modern",No Online Multiplayer,51,136
"Wallace & Gromit's Grand Adventures, Episode 3: Muzzled!",PC,"June 15, 2009",75,7.5,TelltaleGames,"Miscellaneous,Adventure,General,Compilation",No info,18,10
Digimon Story Cyber Sleuth,PlayStation4,"February 2, 2016",75,8.1,Media.Vision,"Role-Playing,Japanese-Style,Trainer",2 ,45,422
Ys IX: Monstrum Nox,Switch,"July 6, 2021",75,8.0,Falcom,"Role-Playing,General,Action RPG",No Online Multiplayer,17,22
Norn9: Var Commons,PlayStationVita,"November 3, 2015",75,7.2,"IdeaFactory,Otomate","Adventure,General,Visual Novel",No Online Multiplayer,9,22
Noby Noby Boy,PlayStation3,"February 19, 2009",75,7.1,BandaiNamcoGames,"Action,General,General",No info,27,36
Tempest 4000,PlayStation4,"July 17, 2018",75,5.3,Llamasoft,"Action,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,16,16
