name,platform,r-date,score,user score,developer,genre,players,critics,users
Star Wars Galactic Battlegrounds,PC,"November 11, 2001",75,8.0,LucasArts,"Strategy,Real-Time,Sci-Fi,General",1-8 ,21,92
Earth 2150: The Moon Project,PC,"March 11, 2001",75,7.0,TopWareInteractive,"Strategy,General,General",No info,13,24
FRACT OSC,PC,"April 22, 2014",75,6.1,PhosfiendSystems,"Miscellaneous,Puzzle,General,Puzzle,Puzzle,General",No info,25,29
Ice Age: Dawn of the Dinosaurs,Wii,"June 30, 2009",75,8.8,"Activision,Eurocom","Action,General,General,Platformer,3D",No info,12,9
All-Pro Football 2K8,Xbox360,"July 16, 2007",75,7.0,VisualConcepts,"Sports,Traditional,Team,Football,Sim,Sim",Up to 8 ,22,59
Monster Rancher 1 & 2 DX,Switch,"December 9, 2021",75,tbd,KoeiTecmoGames,"Miscellaneous,Compilation",No info,16,0
Willy Jetman: Astromonkey's Revenge,Switch,"January 31, 2020",75,7.5,"BLGPublishing,LastChickenGames","Action Adventure,Open-World",No Online Multiplayer,8,11
Ken Follett's The Pillars of the Earth,PlayStation4,"September 12, 2017",75,6.7,Kalypso,"Adventure,Visual Novel",No info,9,20
Destiny,XboxOne,"September 9, 2014",75,5.5,"BungieSoftware,Bungie","Shooter,Sci-Fi,Action,Shooter,First-Person,Sci-Fi,Arcade",Up to 16 ,11,1777
MLB 13: The Show,PlayStationVita,"March 5, 2013",75,7.3,SCEASanDiegoStudios,"Sports,Traditional,Team,Baseball,Sim,Sim",No info,7,23
Savage 2: A Tortured Soul,PC,"January 16, 2008",75,8.8,S2Games,"Action,Shooter,Shooter,First-Person,Fantasy,Fantasy,Arcade",Massively Multiplayer,16,101
Hard Corps: Uprising,Xbox360,"February 16, 2011",75,7.1,ArcSystemWorks,"Action,Platformer,Platformer,Shooter,2D,2D,Scrolling,Shoot-'Em-Up,Vertical",No info,47,24
SiN Episodes: Emergence,PC,"May 9, 2006",75,8.1,RitualEntertainment,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",1 Player,42,428
Call of Duty 4: Modern Warfare,DS,"November 5, 2007",75,6.1,n-Space,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",No Online Multiplayer,22,54
Guilty Gear XX Accent Core,Wii,"October 15, 2007",75,8.3,ArcSystemWorks,"Action,Fighting,Fighting,2D,2D",No Online Multiplayer,15,20
Feel the Magic: XY/XX,DS,"November 16, 2004",75,7.5,SonicTeam,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,Party / Minigame,General",No Online Multiplayer,55,20
Mafia II,PlayStation3,"August 24, 2010",75,7.9,2KCzech,"Action Adventure,Historic,General,Historic,Open-World",No Online Multiplayer,61,434
The Denpa Men 3: The Rise of Digitoll,3DS,"May 8, 2014",75,7.9,GeniusSonorityInc.,"Role-Playing,General",No info,13,15
Utawarerumono: Mask of Truth,PlayStation4,"September 5, 2017",75,8.5,AquaPlus,"Strategy,Turn-Based,General",No Online Multiplayer,22,42
Ittle Dew 2,PlayStation4,"November 15, 2016",75,6.0,LudosityInteractive,"Role-Playing,Action Adventure,General,Action RPG",No info,7,6
Shantae and the Pirate's Curse,PlayStation4,"April 9, 2016",75,7.5,WayForward,"Action,Platformer,2D",No Online Multiplayer,8,40
The Wolf Among Us: Episode 5 - Cry Wolf,PlayStation3,"July 8, 2014",75,8.1,TelltaleGames,"Action Adventure,Adventure,General,Fantasy,Point-and-Click",No info,7,55
Transformers: War for Cybertron,PC,"June 22, 2010",75,7.8,HighMoonStudios,"Action,Action Adventure,Sci-Fi,Sci-Fi,General,Shooter,Third-Person,Arcade",No info,20,199
Ace Combat Zero: The Belkan War,PlayStation2,"April 25, 2006",75,8.5,Namco,"Simulation,Flight,Modern Jet",1-2 ,45,74
Hero-U: Rogue to Redemption,Switch,"February 9, 2021",75,tbd,TransolarGames,"Role-Playing,Action RPG",No Online Multiplayer,13,0
The Room VR: A Dark Matter,PlayStation4,"March 26, 2020",75,6.3,FireproofGames,"Adventure,3D,First-Person",No Online Multiplayer,11,16
