name,platform,r-date,score,user score,developer,genre,players,critics,users
Axiom Verge 2,Switch,"August 11, 2021",76,7.3,TomHapp,"Action Adventure,Open-World",No Online Multiplayer,20,47
Call of Duty: Black Ops II - Uprising,Xbox360,"April 16, 2013",76,5.0,Treyarch,"Action,Shooter,Shooter,First-Person,Historic,Modern,Arcade",No info,17,88
Miasmata,PC,"November 28, 2012",76,7.6,IonFX,"Adventure,3D,First-Person,Sci-Fi",No info,21,117
Madden NFL 20,PlayStation4,"July 30, 2019",76,1.4,ElectronicArts,"Action,Sports,General,Team,Football,Sim",Up to 6 ,23,624
Burnout Dominator,PlayStation2,"March 6, 2007",76,7.8,CriterionGames,"Driving,Racing,Arcade",1-4 ,44,50
Gun,PC,"November 8, 2005",76,7.9,"NeversoftEntertainment,Beenox","Action Adventure,Historic,General,Historic,Open-World",No Online Multiplayer,24,180
Puzzle Quest: Galactrix,Xbox360,"April 8, 2009",76,7.6,InfiniteInteractive,"Miscellaneous,Puzzle,Puzzle,Puzzle,Matching,Matching",2  Online,27,5
Multiwinia: Survival of the Flattest,PC,"September 19, 2008",76,8.6,Introversion,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General",4  Online,38,71
The Beginner's Guide,PC,"October 1, 2015",76,7.5,DaveyWreden,"Adventure,General",No Online Multiplayer,35,313
Pokken Tournament,WiiU,"March 18, 2016",76,7.3,BandaiNamcoGames,"Action,Fighting,3D",2 ,74,328
Mary Skelter Finale,Switch,"September 30, 2021",76,tbd,CompileHeart,"Role-Playing,Roguelike",No Online Multiplayer,7,0
Eldest Souls,PC,"July 29, 2021",76,6.8,FallenFlagStudio,"Action Adventure,General,Role-Playing,Action RPG",No Online Multiplayer,13,12
TENS!,Switch,"November 5, 2020",76,tbd,KwaleeLtd,"Puzzle,General",No Online Multiplayer,9,0
Noita,PC,"October 15, 2020",76,8.2,NollaGames,"Adventure,General,Action Adventure,Open-World",No Online Multiplayer,20,77
Minoria,PlayStation4,"September 10, 2020",76,7.0,Bombservice,"Action Adventure,Adventure,General,Open-World",No Online Multiplayer,8,7
Brigandine: The Legend of Runersia,Switch,"June 25, 2020",76,8.3,"MatrixSoftware,HappinetCorporation","Role-Playing,General,Strategy,Turn-Based,Tactics",No Online Multiplayer,31,62
The Surge 2,PC,"September 23, 2019",76,6.2,Deck13,"Role-Playing,Action RPG",No Online Multiplayer,39,159
Old School Musical,Switch,"September 13, 2018",76,7.6,LaMoutarde,"Action,Rhythm,Music",Up to 4 ,16,11
Crash Bandicoot N. Sane Trilogy,PC,"June 29, 2018",76,8.3,"VicariousVisions,IronGalaxyStudios","Miscellaneous,Compilation",No Online Multiplayer,8,212
The Elder Scrolls Online: Summerset,PlayStation4,"June 5, 2018",76,5.2,ZeniMaxMedia,"Role-Playing,Massively Multiplayer",No info,9,39
Masters of Anima,Switch,"April 10, 2018",76,6.8,PasstechGames,"Strategy,Real-Time,MOBA",No Online Multiplayer,9,17
Wulverblade,PlayStation4,"January 30, 2018",76,6.4,DarkwindMedia,"Action,Beat-'Em-Up,2D",No Online Multiplayer,9,8
Syberia,Switch,"October 20, 2017",76,7.4,KoalabsStudio,"Adventure,3D,Third-Person",No Online Multiplayer,8,37
