name,platform,r-date,score,user score,developer,genre,players,critics,users
Danganronpa 2: Goodbye Despair,PlayStationVita,"September 2, 2014",81,8.7,SpikeChunsoft,"Action,Adventure,General,Visual Novel",No Online Multiplayer,50,257
Persona 5 Strikers,Switch,"February 23, 2021",81,7.8,"OmegaForce,P-Studio","Role-Playing,Action RPG",No Online Multiplayer,25,99
FIFA Soccer 08,PlayStation3,"October 9, 2007",81,6.9,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",4  Online,28,52
Worms: Open Warfare 2,DS,"September 4, 2007",81,8.2,"Team17,TwoTribes","Strategy,Turn-Based,Fantasy,Fantasy,Artillery",1-4 ,25,29
RAGE,PlayStation3,"October 4, 2011",81,6.4,idSoftware,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 4 ,37,381
TrackMania 2 Canyon,PC,"September 14, 2011",81,7.6,Nadeo,"Driving,Racing,Arcade,Arcade,Automobile",No info,37,110
The Pathless,PC,"November 12, 2020",81,7.7,GiantSquid,"Action Adventure,General,Open-World",Online Multiplayer,12,48
Gunvolt Chronicles: Luminous Avenger iX,Switch,"September 26, 2019",81,8.0,IntiCreates,"Action,Platformer,2D",No Online Multiplayer,10,25
Motorsport Manager,PC,"November 9, 2016",81,8.1,"PlaysportGames,PlaysportGamesLtd","Action,Simulation,General,Virtual,Career",No Online Multiplayer,16,97
Zero Escape: Zero Time Dilemma,3DS,"June 28, 2016",81,8.1,"SpikeChunsoft,Chime","Adventure,Visual Novel",No Online Multiplayer,19,98
WWE SmackDown vs. Raw 2010,PlayStation3,"October 20, 2009",81,8.1,Yuke's,"Action,Sports,Fighting,Fighting,Individual,Wrestling,Combat,Wrestling",Up to 4 ,38,68
Marvel: Ultimate Alliance,PlayStation2,"October 24, 2006",81,7.9,RavenSoftware,"Role-Playing,Action RPG",4  Online,29,49
Capcom vs. SNK 2: Mark of the Millennium 2001,PlayStation2,"November 6, 2001",81,8.2,Capcom,"Action,Fighting,2D",1-2 ,22,44
Onimusha: Dawn of Dreams,PlayStation2,"March 7, 2006",81,8.7,Capcom,"Action Adventure,Fantasy",1-2 ,45,93
Battlefield V,PC,"November 15, 2018",81,2.9,EADICE,"Action,Shooter,First-Person,Tactical",Up to 64 ,52,3033
Mortal Kombat: Deception,PlayStation2,"October 4, 2004",81,8.5,Midway,"Action,Fighting,3D",1-2 ,43,133
The Vanishing of Ethan Carter,PlayStation4,"July 14, 2015",81,7.5,TheAstronauts,"Miscellaneous,General,Adventure,3D,First-Person",No info,33,195
Pokemon FireRed Version,GameBoyAdvance,"September 7, 2004",81,8.6,GameFreak,"Role-Playing,Console-style RPG",1-5 ,38,466
NBA 2K6,Xbox360,"November 16, 2005",81,8.3,VisualConcepts,"Sports,Traditional,Team,Basketball,Sim,Sim",Up to 8 ,33,37
