name,platform,r-date,score,user score,developer,genre,players,critics,users
Axel & Pixel,Xbox360,"October 14, 2009",72,7.5,SilverWishGames,"Adventure,General,General",1 Player,30,14
Rogue Aces,PlayStation4,"April 12, 2018",72,4.6,InfiniteStateGames,"Action,Shooter,Shoot-'Em-Up,Horizontal",No Online Multiplayer,11,20
Serial Cleaner,PlayStation4,"July 11, 2017",72,7.1,"iFun4all,CurveDigital","Action,Action Adventure,General,Linear",No info,22,21
Until Dawn: Rush of Blood,PlayStation4,"October 13, 2016",72,7.8,SupermassiveGames,"Action,Shooter,Rail",No info,51,202
Shaun White Snowboarding: World Stage,Wii,"November 8, 2009",72,8.7,Ubisoft,"Sports,Alternative,Individual,Snowboarding,Snowboarding,Ski / Snowboard",No info,33,31
Lake,PC,"September 1, 2021",72,6.3,Gamious,"Adventure,General",No Online Multiplayer,18,15
Just Dance 2019,Switch,"October 23, 2018",72,6.1,UbisoftParis,"Action,Rhythm,Dancing",No Online Multiplayer,13,26
Sega SuperStars,PlayStation2,"November 3, 2004",72,7.0,SonicTeam,"Miscellaneous,Party",1 Player,28,8
Narcosis,PC,"March 28, 2017",72,7.2,"NarcosisTeam,HonorCode,Inc.","Action Adventure,Horror,Survival",No Online Multiplayer,15,17
Earth Defense Force 5,PlayStation4,"December 11, 2018",72,7.7,Sandlot,"Action,Shooter,Third-Person,Arcade",Up to 4 ,44,35
The Cave,PlayStation3,"January 22, 2013",72,7.5,DoubleFineProductions,"Action,Platformer,Platformer,2D,2D",No info,22,84
Secret Agent Clank,PSP,"June 17, 2008",72,7.8,HighImpactGames,"Action,Platformer,Platformer,3D,3D",1 Player,56,56
Sonic the Hedgehog 4: Episode I,Xbox360,"October 13, 2010",72,5.4,DimpsCorporation,"Action,General,Platformer,Platformer,2D,2D",No info,43,145
Outriders,PlayStation4,"April 1, 2021",72,4.8,"SquareEnix,PeopleCanFly","General,Action,Shooter,Third-Person,Arcade",Up to 3 ,8,150
Star Ocean 4: The Last Hope - 4K & Full HD Remaster,PlayStation4,"November 28, 2017",72,7.0,"SquareEnix,Tri-Ace","Role-Playing,Action RPG",No Online Multiplayer,22,38
Ghost Blade HD,XboxOne,"February 28, 2017",72,6.4,HUCAST,"Action,Shooter,Shoot-'Em-Up,Vertical",No info,8,7
Minecraft: Story Mode - Episode 4: A Block and a Hard Place,PlayStation4,"December 22, 2015",72,6.5,TelltaleGames,"Action Adventure,Linear,Adventure,Point-and-Click",No info,8,22
