name,platform,r-date,score,user score,developer,genre,players,critics,users
Resident Evil: Revelations 2 - Episode 2: Contemplation,XboxOne,"March 4, 2015",74,7.4,Capcom,"Action Adventure,Survival",No info,11,26
The Sims 3: Ambitions,PC,"June 1, 2010",74,7.1,EARedwoodShores,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",No info,25,57
Pokemon Trozei!,DS,"March 6, 2006",74,7.3,GeniusSonorityInc.,"Miscellaneous,Puzzle,Puzzle,Puzzle,Matching,Matching",No Online Multiplayer,32,23
Tiger Woods PGA Tour 14,PlayStation3,"March 26, 2013",74,4.1,EATiburon,"Sports,Traditional,Individual,Golf,Sim,Sim",Up to 4 ,28,27
FlatOut: Head On,PSP,"April 4, 2008",74,8.3,Bugbear,"Driving,Racing,Arcade,Other,Other",Up to 8 ,28,29
Hellmut: The Badass from Hell,XboxOne,"May 31, 2019",74,tbd,Volcanicc,"Action,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,7,0
Bladed Fury,PC,"December 17, 2018",74,8.2,NExTStudios,"Action,Beat-'Em-Up,2D",No Online Multiplayer,8,13
Lode Runner Legacy,Switch,"March 29, 2018",74,7.5,"TozaiGames,TozaiGames,Inc.","Puzzle,Action",No Online Multiplayer,7,6
Fallout 4: Nuka-World,PC,"August 30, 2016",74,5.4,BethesdaGameStudios,"Role-Playing,Western-Style",No info,12,137
Adventures of Pip,PlayStation4,"August 18, 2015",74,6.8,TicTocGames,"Action,Platformer,2D",No info,8,6
Awesomenauts Assemble!,PlayStation4,"March 4, 2014",74,7.0,"AbstractionGames,RonimoGames","Strategy,Real-Time,MOBA",Up to 6 ,7,84
Medal of Honor,Xbox360,"October 12, 2010",74,6.8,"Dice,DangerClose","Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 24 ,71,297
War World: Tactical Combat,PC,"August 2, 2005",74,7.5,ThirdWaveGames,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Arcade",8  Online,7,11
Sam & Max: Save the World,Xbox360,"June 17, 2009",74,7.6,TelltaleGames,"Miscellaneous,Adventure,General,3D,Compilation,Point-and-Click,Third-Person",1 Player,24,12
Portal Knights,Switch,"November 22, 2017",74,7.7,KeenGames,"Action,Role-Playing,General,Action RPG",No Online Multiplayer,18,49
Greg Hastings' Tournament Paintball,Xbox,"November 16, 2004",74,8.3,WXP,"Sports,Alternative,Other",14  Online,11,48
Overload,PC,"May 31, 2018",74,7.7,"RevivalProductions,LLC","Action,Shooter,First-Person,Arcade",Up to 8 ,8,32
Inazuma Eleven 2: Firestorm,DS,"March 16, 2012",74,8.2,Level5,"Sports,General",No info,19,26
Patapon 3,PSP,"April 12, 2011",74,7.6,SCEJapanStudio,"Action,General,General",8  Online,41,66
Need for Speed ProStreet,DS,"November 13, 2007",74,7.1,ExientEntertainment,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",8  Online,8,18
Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,PC,"October 15, 2014",74,7.8,PinkertonRoadStudio,"Adventure,General,General,Point-and-Click",No Online Multiplayer,38,101
Shadowgrounds,PC,"April 25, 2006",74,7.0,"Frozenbyte,Inc.","Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,30,215
Darksiders Genesis,Switch,"February 14, 2020",74,7.5,AirshipSyndicateEntertainment,"Role-Playing,Action RPG",2 ,16,34
Tom Clancy's Rainbow Six: Lockdown,Xbox,"September 6, 2005",74,6.6,"RedStormEntertainment,UbisoftMontreal","Action,Shooter,First-Person,Tactical,Modern",16  Online,39,28
