name,platform,r-date,score,user score,developer,genre,players,critics,users
Age of Mythology: Extended Edition,PC,"May 8, 2014",66,7.5,EnsembleStudios,"Strategy,Real-Time,General,Fantasy",No info,7,175
Terminator 3: The Redemption,Xbox,"September 2, 2004",66,7.4,ParadigmEntertainment,"Action,Shooter,Third-Person,Sci-Fi",1-2 ,38,8
Ghost in the Shell: Stand Alone Complex (2004),PlayStation2,"November 8, 2004",66,6.6,CaviaInc.,"Action,Shooter,Third-Person,Sci-Fi",1-4 ,34,18
Pro Cycling Manager Season 2015,PC,"June 18, 2015",66,7.2,Cyanide,"Sports,Individual,Biking",No info,7,6
Among the Sleep,PC,"May 29, 2014",66,7.4,KrillbiteStudio,"Modern,Adventure,3D,First-Person,Modern",No Online Multiplayer,40,236
Madden NFL 06,DS,"August 8, 2005",66,6.3,ExientEntertainment,"Sports,Traditional,Team,Football,Sim,Sim",No Online Multiplayer,9,12
Sonic Generations,3DS,"November 22, 2011",66,6.8,"Sega,DimpsCorporation","Action,Platformer,Platformer,3D,3D",No Online Multiplayer,29,148
Save me Mr Tako: Tasukete Tako-San,Switch,"October 30, 2018",66,6.8,"Nicalis,ChristopheGalati","Action,Platformer,2D",No Online Multiplayer,21,10
Culpa Innata,PC,"November 2, 2007",66,7.7,MomentumDMT,"Adventure,3D,Sci-Fi,Sci-Fi,Third-Person",No Online Multiplayer,13,44
Heroes of Might and Magic V: Hammers of Fate,PC,"November 14, 2006",66,8.3,NivalInteractive,"Strategy,Turn-Based,Fantasy,General,Fantasy",8  Online,10,82
Batman Begins,GameCube,"June 14, 2005",66,7.5,EurocomEntertainmentSoftware,"Action,Beat-'Em-Up",1 Player,38,13
Aerial_Knight's Never Yield,Switch,"May 19, 2021",66,tbd,Aerial_Knight,"Action,General,Platformer,2D",No Online Multiplayer,10,0
Potata: Fairy Flower,Switch,"June 6, 2020",66,7.6,OverGamez,"Action,Platformer,2D",No Online Multiplayer,13,9
Windscape,Switch,"March 27, 2019",66,tbd,MagicSandbox,"Action Adventure,Open-World",No Online Multiplayer,13,0
Impact Winter,PlayStation4,"April 5, 2018",66,tbd,MojoBones,"Adventure,General",No Online Multiplayer,12,0
Earthlock: Festival of Magic,XboxOne,"September 1, 2016",66,7.2,SnowCastleGames,"Role-Playing,General",No info,7,46
Foul Play,PlayStation4,"February 23, 2016",66,4.2,Mediatonic,"Action,Beat-'Em-Up,2D",No info,7,14
The Sims 4: Outdoor Retreat,PC,"January 13, 2015",66,5.7,Maxis,"Simulation,Virtual,Virtual Life",No info,7,63
Sparkle 2,PlayStation4,"May 20, 2014",66,6.1,"10tonsLtd,10tons","Action,Puzzle,General,Matching",No info,7,35
True Swing Golf,DS,"January 23, 2006",66,7.7,T&ESoft,"Sports,Traditional,Individual,Golf,Arcade,Arcade,Sim",1-4 ,32,11
Transformers: Decepticons,DS,"June 19, 2007",66,8.3,VicariousVisions,"Action Adventure,Sci-Fi,Sci-Fi,General",1-4 ,26,20
Geist,GameCube,"August 15, 2005",66,8.2,n-Space,"Action,Shooter,First-Person,Sci-Fi",1-4 ,43,31
The Sims 4,XboxOne,"November 17, 2017",66,3.8,Maxis,"Simulation,Virtual,Virtual Life",No Online Multiplayer,19,67
Rubik's World,DS,"October 28, 2008",66,tbd,TwoTribes,"Miscellaneous,Puzzle,Puzzle,General,General",1-2 ,8,0
Tales of the World: Radiant Mythology,PSP,"July 17, 2007",66,7.7,AlfaSystem,"Role-Playing,Console-style RPG,Action RPG,Console-style RPG,Japanese-Style",1 Player,27,27
Tom Clancy's Ghost Recon Advanced Warfighter,Xbox,"March 9, 2006",66,5.6,UbisoftShanghai,"Action,Shooter,First-Person,Tactical,Modern",16  Online,14,29
DreamWorks Madagascar,DS,"May 23, 2005",66,6.8,VicariousVisions,"Action,Platformer,Platformer,2D,3D",1 Player,7,4
Redeemer: Enhanced Edition,XboxOne,"July 19, 2019",66,7.9,Sobaka,"Action Adventure,Linear",No Online Multiplayer,10,8
Red Faction: Guerrilla - Demons of the Badlands,Xbox360,"August 13, 2009",66,5.6,VolitionInc.,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",16  Online,8,9
Devil May Cry 3: Special Edition,PC,"October 16, 2006",66,8.7,Sourcenext,"Action,Action Adventure,Fantasy,Beat-'Em-Up,Fantasy,Linear",No Online Multiplayer,8,329
Scooby-Doo! Night of 100 Frights,Xbox,"August 27, 2003",66,7.3,THQ,"Action Adventure,Fantasy",1 Player,16,8
Blood Omen 2,PC,"March 25, 2002",66,8.3,NixxesSoftware,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer,8,55
F1 Championship Season 2000,PlayStation,"September 30, 2000",66,9.0,VisualSciences,"Driving,Racing,Formula One",No info,8,5
City Life 2008 Edition,PC,"July 29, 2008",66,7.6,ParadoxInteractive,"Strategy,City Building,Management,Modern,Modern,Government",1 Player,14,10
