name,platform,r-date,score,user score,developer,genre,players,critics,users
Deadly Dozen,PC,"October 31, 2001",56,7.2,Nfusion,"Action,Shooter,Shooter,Third-Person,Tactical,Historic,Historic",No Online Multiplayer,7,19
Blair Witch Volume II: The Legend of Coffin Rock,PC,"October 30, 2000",56,4.2,HumanHeadStudios,"Action Adventure,Horror,Horror,Survival",1 Player,21,9
Deadliest Warrior: The Game,Xbox360,"July 14, 2010",56,7.7,"PipeworksSoftware,Inc.","Action,Fighting,Fighting,3D,3D",1-2 ,21,81
MySims Party,Wii,"March 10, 2009",56,tbd,EAGames,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",No Online Multiplayer,16,0
Dynasty Warriors DS: Fighter's Battle,DS,"July 25, 2007",56,6.8,Koei,"Action,Beat-'Em-Up,Beat-'Em-Up,3D",1-3 ,17,5
Scooby-Doo!  Who's Watching Who?,DS,"October 16, 2006",56,tbd,HumanSoft,"Action Adventure,Adventure,General,Fantasy,General,3D,Third-Person",No Online Multiplayer,11,0
Warriors Orochi 2,PSP,"August 28, 2009",56,7.9,OmegaForce,"Action,Beat-'Em-Up,Beat-'Em-Up,3D",2  Online,14,9
SpongeBob SquarePants: Creature from the Krusty Krab,DS,"October 18, 2006",56,5.7,WayForward,"Action,Platformer,Platformer,3D,3D",1-2 ,7,6
Rooms: The Main Building,DS,"March 23, 2010",56,tbd,HandMadeGame,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",No info,23,0
Medal of Honor: Vanguard,Wii,"March 26, 2007",56,7.0,BudCat,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",No Online Multiplayer,29,25
The Chronicles of Narnia: Prince Caspian,PlayStation3,"May 15, 2008",56,5.9,Traveller'sTales,"Action Adventure,Adventure,General,General",No Online Multiplayer,16,12
Roving Rogue,WiiU,"July 2, 2015",56,6.6,PadaoneGames,"Action,Platformer,2D",No info,11,7
Dragon Age: Origins - Witch Hunt,Xbox360,"September 7, 2010",56,5.6,BioWare,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style",1 Player,7,35
Gotcha Force,GameCube,"December 3, 2003",56,8.5,Capcom,"Action,Shooter,Third-Person,Sci-Fi",1-4 ,24,23
DreamWorks Shrek SuperSlam,DS,"October 25, 2005",56,4.8,AmazeEntertainment,"Action,Beat-'Em-Up,Beat-'Em-Up,Fighting,2D,3D",1-4 ,8,12
LOL: Never Party Alone!,DS,"May 30, 2008",56,2.3,Route24,"Miscellaneous,Party,Party,Party / Minigame",1-4 ,20,6
Lethal VR,PlayStation4,"December 20, 2016",56,4.9,"Team17,ThreeFieldsEntertainment","Action,Shooter,First-Person,Light Gun,Arcade",No Online Multiplayer,16,10
Thor: God of Thunder,Wii,"May 3, 2011",56,7.7,RedFlyStudio,"Action,General,General",No Online Multiplayer,14,10
High School Musical: Sing It!,PlayStation2,"October 30, 2007",56,tbd,ArtificialMindandMovement,"Miscellaneous,Puzzle,Puzzle,General",1-8 ,8,0
Dance Factory,PlayStation2,"August 29, 2006",56,6.1,BroadswordInteractive,"Miscellaneous,Rhythm,Dancing",1-16 ,22,8
Gyruss,Xbox360,"April 18, 2007",56,tbd,DigitalEclipse,"Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Top-Down",2  Online,14,0
The Council - Episode 5: Checkmate,PC,"December 4, 2018",56,6.8,BigBadWolf,"Adventure,General",No Online Multiplayer,8,8
Pokemon Shuffle,3DS,"February 18, 2015",56,6.1,GeniusSonorityInc.,"Puzzle,Matching",No Online Multiplayer,16,140
Jambo! Safari: Animal Rescue,Wii,"November 17, 2009",56,6.2,FullFat,"Driving,Racing,Arcade,Arcade,Automobile",No info,13,6
Perception,PlayStation4,"June 6, 2017",56,6.1,TheDeepEndGames,"Adventure,3D,First-Person",No info,24,27
Dangerous Golf,PlayStation4,"June 3, 2016",56,5.0,ThreeFieldsEntertainment,"Sports,Individual,Golf,Arcade",Up to 8 ,22,26
Far Cry 4: Escape from Durgesh Prison,PlayStation4,"January 13, 2015",56,6.1,UbisoftMontreal,"Action,Shooter,First-Person,Modern,Arcade",No info,8,28
Infinity Runner,PC,"July 14, 2014",56,6.5,WalesInteractive,"Action,General,Arcade",No info,8,6
Army Men: Sarge's War,GameCube,"August 21, 2004",56,6.5,3DO,"Action,Shooter,Third-Person,Modern",1-4 ,11,8
Disney Sports: Motocross,GameBoyAdvance,"March 31, 2003",56,tbd,Konami,"Driving,Racing,Motorcycle,Motocross",No info,8,0
Street Hoops,GameCube,"November 28, 2002",56,8.0,BlackOpsEntertainment,"Sports,Traditional,Basketball,Arcade",1-2 ,9,5
Tang Tang,GameBoyAdvance,"August 28, 2001",56,tbd,GameVision,"Action,General",1 Player,8,0
Fair Strike,PC,"February 10, 2004",56,tbd,G5Software,"Simulation,Flight,Helicopter,Helicopter,Civilian",1-16 ,7,0
ADR1FT,PlayStation4,"July 15, 2016",56,4.8,ThreeOneZero,"Action,Action Adventure,General,Survival",No info,21,36
Toren,PlayStation4,"May 12, 2015",56,5.3,Swordtales,"Fantasy,Action Adventure,General",No info,25,83
Sonic Riders: Zero Gravity,Wii,"January 8, 2008",56,8.0,SonicTeam,"Driving,Racing,Arcade,Arcade,Other,Automobile",1-4 ,26,92
Achtung! Cthulhu Tactics,PC,"October 4, 2018",56,6.2,AurochDigital,"Strategy,Turn-Based,Tactics",No Online Multiplayer,13,5
Gal*Gun 2,PlayStation4,"April 24, 2018",56,6.9,IntiCreates,"Action,Shooter,Light Gun",No Online Multiplayer,12,24
Hardware: Rivals,PlayStation4,"January 5, 2016",56,5.1,SCEA,"Simulation,Vehicle,Combat",Up to 10 ,24,87
