,platform,count,year
217,Stadia,0,2004
218,XboxSeriesX,0,2004
219,PlayStation5,0,2004
220,PC,1064,2005
221,PlayStation,189,2005
222,Nintendo64,71,2005
223,Dreamcast,126,2005
224,PlayStation2,1069,2005
225,GameBoyAdvance,411,2005
226,Xbox,705,2005
227,GameCube,416,2005
228,DS,72,2005
229,PSP,71,2005
230,Xbox360,34,2005
231,PlayStation3,0,2005
232,Wii,0,2005
233,3DS,0,2005
234,PlayStationVita,0,2005
235,WiiU,0,2005
236,PlayStation4,0,2005
237,XboxOne,0,2005
238,Switch,0,2005
239,Stadia,0,2005
240,XboxSeriesX,0,2005
241,PlayStation5,0,2005
242,PC,1259,2006
243,PlayStation,189,2006
244,Nintendo64,71,2006
245,Dreamcast,126,2006
246,PlayStation2,1240,2006
247,GameBoyAdvance,439,2006
248,Xbox,793,2006
249,GameCube,451,2006
250,DS,166,2006
251,PSP,202,2006
252,Xbox360,135,2006
253,PlayStation3,19,2006
254,Wii,31,2006
255,3DS,0,2006
256,PlayStationVita,0,2006
257,WiiU,0,2006
258,PlayStation4,0,2006
259,XboxOne,0,2006
260,Switch,0,2006
261,Stadia,0,2006
262,XboxSeriesX,0,2006
263,PlayStation5,0,2006
264,PC,1434,2007
265,PlayStation,189,2007
266,Nintendo64,71,2007
267,Dreamcast,126,2007
268,PlayStation2,1350,2007
269,GameBoyAdvance,442,2007
270,Xbox,793,2007
271,GameCube,452,2007
272,DS,318,2007
273,PSP,307,2007
274,Xbox360,318,2007
275,PlayStation3,114,2007
276,Wii,141,2007
277,3DS,0,2007
278,PlayStationVita,0,2007
279,WiiU,0,2007
280,PlayStation4,0,2007
281,XboxOne,0,2007
282,Switch,0,2007
283,Stadia,0,2007
284,XboxSeriesX,0,2007
285,PlayStation5,0,2007
286,PC,1586,2008
287,PlayStation,189,2008
288,Nintendo64,71,2008
289,Dreamcast,126,2008
290,PlayStation2,1406,2008
291,GameBoyAdvance,442,2008
292,Xbox,793,2008
293,GameCube,452,2008
294,DS,475,2008
295,PSP,356,2008
296,Xbox360,531,2008
297,PlayStation3,257,2008
298,Wii,311,2008
