,genre,count,year
222,Business / Tycoon,0,1996
223,Combat,0,1996
224,Party,0,1996
225,Massively Multiplayer Online,0,1996
226,Massively Multiplayer,0,1996
227,Sports,0,1996
228,Traditional,0,1996
229,Golf,0,1996
230,Mission-based,0,1996
231,Football,0,1996
232,Survival,0,1996
233,Alternative,0,1996
234,Skateboarding,0,1996
235,Motorcycle,0,1996
236,Motocross,0,1996
237,Space,0,1996
238,Breeding/Constructing,0,1996
239,Beat-'Em-Up,0,1996
240,Automobile,0,1996
241,Virtual Life,0,1996
242,Virtual,0,1996
243,Parlor,0,1996
244,Billiards,0,1996
245,City Building,0,1996
246,Government,0,1996
247,Tactics,0,1996
248,Tennis,0,1996
249,Sim,0,1996
250,Large Spaceship,0,1996
251,Civilian,0,1996
252,Rally / Offroad,0,1996
253,Formula One,0,1996
254,Nature,0,1996
255,Fishing,0,1996
256,Baseball,0,1996
257,Olympic Sports,0,1996
258,Helicopter,0,1996
259,Wrestling,0,1996
260,Futuristic Sub,0,1996
261,Individual,0,1996
262,Team,0,1996
263,Athletics,0,1996
264,Ice Hockey,0,1996
265,Futuristic Jet,0,1996
266,Stock Car,0,1996
267,Tank,0,1996
268,Vehicle,0,1996
269,Demolition Derby,0,1996
270,Biking,0,1996
271,Snowboarding,0,1996
272,Street,0,1996
273,WWII,0,1996
274,Board / Card Game,0,1996
275,Basketball,0,1996
276,Boxing,0,1996
277,Mech,0,1996
278,Skate / Skateboard,0,1996
279,Surfing,0,1996
280,Soccer,0,1996
281,Trivia / Game Show,0,1996
282,Car Combat,0,1996
283,Volleyball,0,1996
284,Other,0,1996
285,Linear,0,1996
286,Surf / Wakeboard,0,1996
287,Ship,0,1996
288,Marine,0,1996
289,Compilation,0,1996
290,Pinball,0,1996
291,Dancing,0,1996
292,Music Maker,0,1996
293,Train,0,1996
294,Artillery,0,1996
295,Japanese-Style,0,1996
296,Rugby,0,1996
297,Horse Racing,0,1996
298,Stacking,0,1996
299,Military,0,1996
300,Career,0,1996
301,Civilian Plane,0,1996
302,Submarine,0,1996
303,On-foot,0,1996
304,Open-World,0,1996
305,Truck,0,1996
306,Horizontal,0,1996
307,Skating,0,1996
308,Card Battle,0,1996
309,Board Games,0,1996
310,Old Jet,0,1996
311,Hunting,0,1996
312,Wakeboarding,0,1996
