,name,value,date
169,RockstarSanDiego,0,1995-01-01
170,DigitalDialect,0,1995-01-01
171,eSimGames,0,1995-01-01
172,Studio33,0,1995-01-01
173,Page44Studios,0,1995-01-01
174,Z-Axis,0,1995-01-01
175,Ltd.,0,1995-01-01
176,KCEO,0,1995-01-01
177,HeuristicPark,0,1995-01-01
178,MonsterGamesInc.,0,1995-01-01
179,SSI,0,1995-01-01
180,RadicalEntertainment,0,1995-01-01
181,JoWooDEntertainmentAG,0,1995-01-01
182,ChrisSawyer,0,1995-01-01
183,VisualSciences,0,1995-01-01
184,BlitzGames,0,1995-01-01
185,Codemasters,0,1995-01-01
186,TerminalReality,0,1995-01-01
187,Quest,0,1995-01-01
188,MilestoneS.r.l,0,1995-01-01
189,ArgonautGames,0,1995-01-01
190,AtomicGames,0,1995-01-01
191,Meyer/GlassInteractive,0,1995-01-01
192,GratuitousGames,0,1995-01-01
193,SonicTeam,0,1995-01-01
194,Ratbag,0,1995-01-01
195,ImpressionsGames,0,1995-01-01
196,Raster,0,1995-01-01
197,FreeRadicalDesign,0,1995-01-01
198,PitbullSyndicate,0,1995-01-01
199,Shade,0,1995-01-01
200,InsomniacGames,0,1995-01-01
201,ElectronicArts,0,1995-01-01
202,FromSoftware,0,1995-01-01
203,Arika,0,1995-01-01
204,RandomGamesInc.,0,1995-01-01
205,OmegaForce,0,1995-01-01
206,RageSoftware,0,1995-01-01
207,SCEJ,0,1995-01-01
208,T&ESoft,0,1995-01-01
209,ClimaxEntertainment,0,1995-01-01
210,EASportsBig,0,1995-01-01
211,Saffire,0,1995-01-01
212,HumanHeadStudios,0,1995-01-01
213,Smilebit,0,1995-01-01
214,IdolMinds,0,1995-01-01
215,Jellyvision,0,1995-01-01
216,ShinyEntertainment,0,1995-01-01
217,Ambrella,0,1995-01-01
218,Headgate,0,1995-01-01
219,PolygonMagic,0,1995-01-01
220,BlackOpsEntertainment,0,1995-01-01
221,Takara,0,1995-01-01
222,Treyarch,0,1995-01-01
223,MalfadorMachinations,0,1995-01-01
224,NovaLogic,0,1995-01-01
225,BlueTongueEntertainment,0,1995-01-01
226,MissionStudios,0,1995-01-01
227,TheCounter-StrikeTeam,0,1995-01-01
228,ParadoxDevelopmentStudio,0,1995-01-01
229,CryoInteractive,0,1995-01-01
230,Luxoflux,0,1995-01-01
231,Inc.,0,1995-01-01
232,TimelineComputerEntertainment,0,1995-01-01
233,MelbourneHouse,0,1995-01-01
234,SCEA,0,1995-01-01
235,Overworks,0,1995-01-01
236,CircusFreak,0,1995-01-01
237,DisneyInteractive,0,1995-01-01
238,Carapace,0,1995-01-01
239,Koei,0,1995-01-01
240,Celeris,0,1995-01-01
241,Psikyo,0,1995-01-01
242,DeibusStudios,0,1995-01-01
243,Mattel,0,1995-01-01
244,CAProduction,0,1995-01-01
